# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(6,4),(6,9),-0.0807661 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.13006 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.153069 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0219665 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00325243 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0213968 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0433213 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0565677 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0102093 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00267682 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00293141 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0127924 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0100918 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0950418 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.142568 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0183736 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0112015 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.000237486 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.155742 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.199968 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.269192 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.076941 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.260097 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.203825 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.201396 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.247214 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.171212 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.218955 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.211913 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.157918 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0415021 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.184215 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.152131 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0455082 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.112659 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.20528 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.171212 # DEPENDENCYPART_SIBL
(7,1),(7,26),-0.152131 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.138586 # DEPENDENCYPART_SIBL
(7,1),(7,32),-0.198146 # DEPENDENCYPART_SIBL
(7,1),(7,33),-0.229451 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.117785 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.445496 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.299306 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.549381 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00438857 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00942383 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0634205 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0141928 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0530231 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00736973 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0547212 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.106907 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0403115 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.117767 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0488545 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.108801 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0155592 # DEPENDENCYPART_SIBL
(7,2),(7,24),0.0141928 # DEPENDENCYPART_SIBL
(7,2),(7,26),0.117767 # DEPENDENCYPART_SIBL
(7,2),(7,27),0.0325832 # DEPENDENCYPART_SIBL
(7,2),(7,32),0.0132707 # DEPENDENCYPART_SIBL
(7,2),(7,33),0.0883275 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.00565969 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0620837 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0607244 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0724948 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.00905451 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00720081 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.137514 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0720209 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0177662 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0246675 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.041023 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.018128 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.00893849 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0454347 # DEPENDENCYPART_SIBL
(7,3),(7,20),0.024732 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.139044 # DEPENDENCYPART_SIBL
(7,3),(7,24),-0.137514 # DEPENDENCYPART_SIBL
(7,3),(7,26),0.00893849 # DEPENDENCYPART_SIBL
(7,3),(7,27),-0.033915 # DEPENDENCYPART_SIBL
(7,3),(7,32),-0.0363853 # DEPENDENCYPART_SIBL
(7,3),(7,33),0.00733548 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.15935 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.325407 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0334991 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0134063 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.185854 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.117306 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.103287 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0227834 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0872946 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0150514 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0250953 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0337312 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0395265 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.0141604 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0928487 # DEPENDENCYPART_SIBL
(7,4),(7,24),-0.117306 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.0337312 # DEPENDENCYPART_SIBL
(7,4),(7,27),-0.037764 # DEPENDENCYPART_SIBL
(7,4),(7,32),-0.0442629 # DEPENDENCYPART_SIBL
(7,4),(7,33),-0.104707 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.134281 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0235734 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0557854 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.015521 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.146234 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00208037 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0584654 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00785766 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0790611 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0106222 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0330322 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.00653736 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.0336031 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0985532 # DEPENDENCYPART_SIBL
(7,5),(7,24),-0.146234 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.0330322 # DEPENDENCYPART_SIBL
(7,5),(7,27),0.0146473 # DEPENDENCYPART_SIBL
(7,5),(7,32),-0.00927904 # DEPENDENCYPART_SIBL
(7,5),(7,33),-0.0335471 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.109361 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0241315 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0107158 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0351589 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0674609 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0276933 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.000862957 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0509918 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.00408276 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0521731 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0951304 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0505073 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.122909 # DEPENDENCYPART_SIBL
(7,6),(7,24),-0.0351589 # DEPENDENCYPART_SIBL
(7,6),(7,26),0.0521731 # DEPENDENCYPART_SIBL
(7,6),(7,27),-0.0569731 # DEPENDENCYPART_SIBL
(7,6),(7,32),-0.0543252 # DEPENDENCYPART_SIBL
(7,6),(7,33),0.0768862 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.139671 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.372574 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.171 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0357098 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.154859 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.253119 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0507166 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0641478 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0428892 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0811392 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0406609 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0873588 # DEPENDENCYPART_SIBL
(7,8),(7,24),-0.171 # DEPENDENCYPART_SIBL
(7,8),(7,26),-0.0428892 # DEPENDENCYPART_SIBL
(7,8),(7,27),-0.0746368 # DEPENDENCYPART_SIBL
(7,8),(7,32),-0.0835718 # DEPENDENCYPART_SIBL
(7,8),(7,33),-0.0472404 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.167313 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00784504 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0539606 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.169988 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.303207 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0117627 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0425265 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0533571 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0106904 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.00746885 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0431538 # DEPENDENCYPART_SIBL
(7,9),(7,24),-0.00784504 # DEPENDENCYPART_SIBL
(7,9),(7,26),-0.0533571 # DEPENDENCYPART_SIBL
(7,9),(7,27),-0.0278624 # DEPENDENCYPART_SIBL
(7,9),(7,32),-0.0619282 # DEPENDENCYPART_SIBL
(7,9),(7,33),-0.0340096 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0356227 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0541473 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.165167 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.349435 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.124956 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00514825 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0421827 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.000645905 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.172144 # DEPENDENCYPART_SIBL
(7,10),(7,21),0.023492 # DEPENDENCYPART_SIBL
(7,10),(7,24),-0.0356227 # DEPENDENCYPART_SIBL
(7,10),(7,26),0.0421827 # DEPENDENCYPART_SIBL
(7,10),(7,27),0.00917712 # DEPENDENCYPART_SIBL
(7,10),(7,32),-0.0313777 # DEPENDENCYPART_SIBL
(7,10),(7,33),0.0650127 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.027328 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0852783 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0371462 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0586785 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0488547 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0343064 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0158998 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0689683 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.0059245 # DEPENDENCYPART_SIBL
(7,11),(7,24),-0.254691 # DEPENDENCYPART_SIBL
(7,11),(7,26),0.0343064 # DEPENDENCYPART_SIBL
(7,11),(7,27),-0.0199539 # DEPENDENCYPART_SIBL
(7,11),(7,32),-0.00596342 # DEPENDENCYPART_SIBL
(7,11),(7,33),0.0238588 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.135379 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.13827 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0423448 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.137377 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0986512 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.102746 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0255244 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.0790525 # DEPENDENCYPART_SIBL
(7,12),(7,24),-0.188312 # DEPENDENCYPART_SIBL
(7,12),(7,26),-0.0986512 # DEPENDENCYPART_SIBL
(7,12),(7,27),-0.0274952 # DEPENDENCYPART_SIBL
(7,12),(7,32),-0.156802 # DEPENDENCYPART_SIBL
(7,12),(7,33),-0.188308 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.288114 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.000731749 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0319041 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0145513 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0383097 # DEPENDENCYPART_SIBL
(7,13),(7,20),0.0199633 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0328276 # DEPENDENCYPART_SIBL
(7,13),(7,24),-0.0714119 # DEPENDENCYPART_SIBL
(7,13),(7,26),-0.0145513 # DEPENDENCYPART_SIBL
(7,13),(7,27),-0.00554042 # DEPENDENCYPART_SIBL
(7,13),(7,32),-0.0513059 # DEPENDENCYPART_SIBL
(7,13),(7,33),-0.0266031 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0897061 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0382681 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0119859 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0177251 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.122351 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.00922887 # DEPENDENCYPART_SIBL
(7,14),(7,24),-0.0271946 # DEPENDENCYPART_SIBL
(7,14),(7,26),0.0119859 # DEPENDENCYPART_SIBL
(7,14),(7,27),-0.0499211 # DEPENDENCYPART_SIBL
(7,14),(7,32),-0.0577034 # DEPENDENCYPART_SIBL
(7,14),(7,33),-0.00387439 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.166264 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.00574726 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.198632 # DEPENDENCYPART_SIBL
(7,15),(7,20),-0.186899 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.106233 # DEPENDENCYPART_SIBL
(7,15),(7,24),-0.194454 # DEPENDENCYPART_SIBL
(7,15),(7,26),0.00574726 # DEPENDENCYPART_SIBL
(7,15),(7,27),-0.106748 # DEPENDENCYPART_SIBL
(7,15),(7,32),-0.185688 # DEPENDENCYPART_SIBL
(7,15),(7,33),0.0749812 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0117592 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.00449434 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0141271 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.01475 # DEPENDENCYPART_SIBL
(7,16),(7,24),-0.0485962 # DEPENDENCYPART_SIBL
(7,16),(7,26),-0.0117592 # DEPENDENCYPART_SIBL
(7,16),(7,27),-0.0173501 # DEPENDENCYPART_SIBL
(7,16),(7,32),-0.164694 # DEPENDENCYPART_SIBL
(7,16),(7,33),0.0555127 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.201017 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.679393 # DEPENDENCYPART_SIBL
(7,18),(7,21),0.100126 # DEPENDENCYPART_SIBL
(7,18),(7,24),-0.0505561 # DEPENDENCYPART_SIBL
(7,18),(7,26),-0.237221 # DEPENDENCYPART_SIBL
(7,18),(7,27),0.126216 # DEPENDENCYPART_SIBL
(7,18),(7,32),-0.0255588 # DEPENDENCYPART_SIBL
(7,18),(7,33),0.0654767 # DEPENDENCYPART_SIBL
(7,19),(7,20),0.0158603 # DEPENDENCYPART_SIBL
(7,19),(7,21),-0.0890952 # DEPENDENCYPART_SIBL
(7,19),(7,24),-0.299273 # DEPENDENCYPART_SIBL
(7,19),(7,26),0.0657137 # DEPENDENCYPART_SIBL
(7,19),(7,27),-0.0392976 # DEPENDENCYPART_SIBL
(7,19),(7,32),-0.143675 # DEPENDENCYPART_SIBL
(7,19),(7,33),0.142191 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.0967737 # DEPENDENCYPART_SIBL
(7,20),(7,24),-0.168017 # DEPENDENCYPART_SIBL
(7,20),(7,26),-0.00554934 # DEPENDENCYPART_SIBL
(7,20),(7,27),-0.0956398 # DEPENDENCYPART_SIBL
(7,20),(7,32),-0.175337 # DEPENDENCYPART_SIBL
(7,20),(7,33),0.0918004 # DEPENDENCYPART_SIBL
(7,21),(7,24),-0.142377 # DEPENDENCYPART_SIBL
(7,21),(7,26),-0.0616711 # DEPENDENCYPART_SIBL
(7,21),(7,27),-0.0281291 # DEPENDENCYPART_SIBL
(7,21),(7,32),-0.0328785 # DEPENDENCYPART_SIBL
(7,21),(7,33),-0.051986 # DEPENDENCYPART_SIBL
(7,24),(7,26),0.0343064 # DEPENDENCYPART_SIBL
(7,24),(7,27),-0.0199539 # DEPENDENCYPART_SIBL
(7,24),(7,32),-0.00596342 # DEPENDENCYPART_SIBL
(7,24),(7,33),0.0238588 # DEPENDENCYPART_SIBL
(7,26),(7,27),0.126216 # DEPENDENCYPART_SIBL
(7,26),(7,32),-0.0255588 # DEPENDENCYPART_SIBL
(7,26),(7,33),0.0654767 # DEPENDENCYPART_SIBL
(7,27),(7,32),-0.171072 # DEPENDENCYPART_SIBL
(7,27),(7,33),0.067691 # DEPENDENCYPART_SIBL
(7,32),(7,33),-0.00162114 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00293154 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.015062 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0574097 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0331779 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.105471 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0126124 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0430372 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0349381 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0139946 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0644013 # DEPENDENCYPART_SIBL
(8,6),(8,22),-0.00974377 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0336097 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0337801 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0263401 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0569688 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0329759 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0431607 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.033671 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0313797 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0990397 # DEPENDENCYPART_SIBL
(8,7),(8,22),0.0355375 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0884082 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.148699 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0197407 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0330552 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.163999 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.043316 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.00755046 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.00891334 # DEPENDENCYPART_SIBL
(8,9),(8,22),0.00359261 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.156561 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0218305 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0826216 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.211029 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.00356385 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.114143 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0741118 # DEPENDENCYPART_SIBL
(8,10),(8,22),-0.113955 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0202138 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0372472 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0500148 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0287212 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.00742107 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.00358606 # DEPENDENCYPART_SIBL
(8,11),(8,22),-0.00708609 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0351716 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0161726 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0799431 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0217474 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0337494 # DEPENDENCYPART_SIBL
(8,12),(8,22),-0.0217449 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.12552 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0114399 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.0445663 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.0858853 # DEPENDENCYPART_SIBL
(8,13),(8,22),0.0556991 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0531299 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0929519 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0695382 # DEPENDENCYPART_SIBL
(8,14),(8,22),-0.0929485 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0413659 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.134968 # DEPENDENCYPART_SIBL
(8,15),(8,22),-0.0413614 # DEPENDENCYPART_SIBL
(8,17),(8,18),0.0451156 # DEPENDENCYPART_SIBL
(8,17),(8,22),0.0319411 # DEPENDENCYPART_SIBL
(8,18),(8,22),0.0578728 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.292992 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.000524166 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.150116 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0390206 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0133192 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.128445 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0154302 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0246777 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0208355 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0310852 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0410749 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.0667649 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0488868 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.01229 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.00963292 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0941479 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0894278 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0110633 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.015033 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.00460599 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.174118 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.101866 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.100651 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.10644 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.00217145 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.171417 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.138442 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.180777 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.13597 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0643291 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0848939 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0453658 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0163212 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0166643 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.211572 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.118706 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.194095 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0850747 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.108693 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.00515877 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0644478 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0734589 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.180834 # DEPENDENCYPART_SIBL
(10,1),(10,26),0.0644478 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.199114 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.130399 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.145325 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0391173 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0320577 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0390509 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.111942 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.101799 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0135448 # DEPENDENCYPART_SIBL
