# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,19,22,20,24,0,29,27,28,24,28,24,
(7,2),(7,13),-0.0634106 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0445247 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.113535 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0750155 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.218315 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.019811 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00295851 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.115453 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0250701 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0302656 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0669557 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.158525 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0834421 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00865799 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.016995 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0336444 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0249881 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.06488 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0797908 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.458514 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0776219 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.106779 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0410742 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0334072 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0674215 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0516266 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.216648 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00172853 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.409666 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0277271 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.304767 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.111342 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.029116 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0689897 # DEPENDENCYPART_SIBL
(7,8),(7,12),9.02851e-05 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0441331 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0475357 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0907537 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0957653 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0154941 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0445511 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.279109 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0129775 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.139745 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0313686 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0250454 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0753742 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.047641 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.253427 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.085833 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.150916 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.591534 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.136116 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.142708 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.283298 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.123767 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.247287 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.14914 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.138079 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.27143 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.1235 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.113993 # DEPENDENCYPART_SIBL
(8,1),(8,30),-0.152057 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.145087 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0663824 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0868993 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.340223 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0725105 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0234273 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0446962 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0353915 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0144753 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0452281 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.0967337 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0977308 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.080841 # DEPENDENCYPART_SIBL
(8,2),(8,23),-0.0881328 # DEPENDENCYPART_SIBL
(8,2),(8,30),0.00115728 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0884402 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.233703 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.290761 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.470644 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0223888 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0406738 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0587076 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.000231754 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.068106 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0287585 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0307935 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0503349 # DEPENDENCYPART_SIBL
(8,3),(8,23),-0.0407677 # DEPENDENCYPART_SIBL
(8,3),(8,30),-0.0314441 # DEPENDENCYPART_SIBL
(8,4),(8,5),-0.186462 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.077757 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0624333 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0328817 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0128127 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0640455 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.0738752 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0792238 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.201532 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.179608 # DEPENDENCYPART_SIBL
(8,4),(8,17),-0.165408 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.0968326 # DEPENDENCYPART_SIBL
(8,4),(8,30),0.0959669 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.112928 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0128655 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0416182 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0833847 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0727241 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0187558 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.122915 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0349763 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0692656 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.0961709 # DEPENDENCYPART_SIBL
(8,5),(8,23),-0.0950454 # DEPENDENCYPART_SIBL
(8,5),(8,30),-0.200478 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.136116 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.142708 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.283298 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.123767 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.247287 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.14914 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.138079 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.27143 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.1235 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.113993 # DEPENDENCYPART_SIBL
(8,6),(8,30),-0.152057 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0267353 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0248353 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0514601 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0320178 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0829252 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0685243 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.128491 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.104535 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.0818562 # DEPENDENCYPART_SIBL
(8,7),(8,30),0.0134901 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.136554 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.234185 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.113991 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.189204 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.160973 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0144962 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.000932708 # DEPENDENCYPART_SIBL
(8,9),(8,23),0.0446366 # DEPENDENCYPART_SIBL
(8,9),(8,30),0.145728 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0720936 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0848268 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0770455 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0167327 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.00458852 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0170021 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.110082 # DEPENDENCYPART_SIBL
(8,10),(8,30),-0.0660939 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0157898 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.199634 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0342351 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00588964 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.00247485 # DEPENDENCYPART_SIBL
(8,12),(8,23),0.00673041 # DEPENDENCYPART_SIBL
(8,12),(8,30),0.0384581 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.00932019 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0409242 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.118451 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.158611 # DEPENDENCYPART_SIBL
(8,13),(8,23),-0.0287289 # DEPENDENCYPART_SIBL
(8,13),(8,30),-0.0581067 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.00113267 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.00346751 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0295019 # DEPENDENCYPART_SIBL
(8,14),(8,23),-0.0238526 # DEPENDENCYPART_SIBL
(8,14),(8,30),0.0482834 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.539996 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.630205 # DEPENDENCYPART_SIBL
(8,15),(8,23),-0.0536282 # DEPENDENCYPART_SIBL
(8,15),(8,30),-0.0122164 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.424142 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.11128 # DEPENDENCYPART_SIBL
(8,16),(8,30),-0.0988254 # DEPENDENCYPART_SIBL
(8,17),(8,23),0.108447 # DEPENDENCYPART_SIBL
(8,17),(8,30),-0.15184 # DEPENDENCYPART_SIBL
(8,23),(8,30),0.00985001 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0503743 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0556684 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0373725 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.11973 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0939707 # DEPENDENCYPART_SIBL
(9,3),(9,10),0.00770219 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0456347 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0582016 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.077969 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0423266 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.000660074 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.0239895 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.026204 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.067601 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0373795 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.114312 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.0389805 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0578742 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.0531226 # DEPENDENCYPART_SIBL
(9,3),(9,24),0.00946674 # DEPENDENCYPART_SIBL
(9,3),(9,25),-0.0520286 # DEPENDENCYPART_SIBL
(9,3),(9,28),0.00505636 # DEPENDENCYPART_SIBL
(9,3),(9,29),0.0267423 # DEPENDENCYPART_SIBL
(9,3),(9,30),0.126926 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.17565 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0119703 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0669316 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0899402 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.153536 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.027631 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0526433 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0932943 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0695037 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0691081 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0129892 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0237703 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0898194 # DEPENDENCYPART_SIBL
(9,4),(9,19),-0.0645657 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0837592 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0204496 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0522465 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.00740454 # DEPENDENCYPART_SIBL
(9,4),(9,24),-0.00126829 # DEPENDENCYPART_SIBL
(9,4),(9,25),-0.0242839 # DEPENDENCYPART_SIBL
(9,4),(9,28),-0.0380276 # DEPENDENCYPART_SIBL
(9,4),(9,29),0.0364077 # DEPENDENCYPART_SIBL
(9,4),(9,30),0.205382 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.153366 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0392339 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0363205 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.147731 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0437929 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.10257 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0921112 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.102694 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0852275 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0472261 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0511729 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0535451 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.103304 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.047267 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.110744 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.0972762 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.0673565 # DEPENDENCYPART_SIBL
(9,5),(9,24),-0.0724923 # DEPENDENCYPART_SIBL
(9,5),(9,25),-0.0571672 # DEPENDENCYPART_SIBL
(9,5),(9,28),-0.0883663 # DEPENDENCYPART_SIBL
(9,5),(9,29),-0.378955 # DEPENDENCYPART_SIBL
(9,5),(9,30),-0.183966 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0492391 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0838629 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.192584 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0435373 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0559924 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.173169 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0817911 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.042194 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.146465 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0179715 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0946206 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0823121 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0857472 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.06522 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0629379 # DEPENDENCYPART_SIBL
(9,6),(9,23),-0.0167079 # DEPENDENCYPART_SIBL
(9,6),(9,24),0.0432816 # DEPENDENCYPART_SIBL
(9,6),(9,25),-0.0825785 # DEPENDENCYPART_SIBL
(9,6),(9,28),0.0633231 # DEPENDENCYPART_SIBL
(9,6),(9,29),0.0494774 # DEPENDENCYPART_SIBL
(9,6),(9,30),-0.0563415 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0961372 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0415724 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0655029 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0256556 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0780305 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0308765 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.00118308 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0268472 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0260682 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0117137 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0296202 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0751772 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0283507 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.030738 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.0690975 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.0364904 # DEPENDENCYPART_SIBL
(9,7),(9,25),-0.0433836 # DEPENDENCYPART_SIBL
(9,7),(9,28),-0.0082195 # DEPENDENCYPART_SIBL
(9,7),(9,29),0.0305102 # DEPENDENCYPART_SIBL
(9,7),(9,30),0.0165736 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.00513529 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0624763 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0864167 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.142539 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0141939 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0530129 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0120705 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.000273565 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.107474 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0137596 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.154005 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0442832 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0838345 # DEPENDENCYPART_SIBL
(9,8),(9,23),-0.057668 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.0915402 # DEPENDENCYPART_SIBL
(9,8),(9,25),-0.0438129 # DEPENDENCYPART_SIBL
(9,8),(9,28),-0.0935839 # DEPENDENCYPART_SIBL
(9,8),(9,29),0.0946172 # DEPENDENCYPART_SIBL
(9,8),(9,30),0.0174317 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.00357719 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0459574 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0606568 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.00802874 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0597091 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0725784 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0774593 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.0543668 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.006887 # DEPENDENCYPART_SIBL
(9,10),(9,20),0.0542164 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.112162 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.0474768 # DEPENDENCYPART_SIBL
(9,10),(9,23),-0.000717849 # DEPENDENCYPART_SIBL
(9,10),(9,24),-0.100182 # DEPENDENCYPART_SIBL
(9,10),(9,25),-0.0331621 # DEPENDENCYPART_SIBL
(9,10),(9,28),-0.134724 # DEPENDENCYPART_SIBL
(9,10),(9,29),-0.0905802 # DEPENDENCYPART_SIBL
(9,10),(9,30),-0.0727248 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.146897 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.144013 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.19115 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0920089 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0651089 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0420309 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.138256 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.178439 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.164402 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.100272 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.157279 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.0152448 # DEPENDENCYPART_SIBL
(9,11),(9,24),-0.121127 # DEPENDENCYPART_SIBL
(9,11),(9,25),-0.0870473 # DEPENDENCYPART_SIBL
(9,11),(9,28),-0.167135 # DEPENDENCYPART_SIBL
(9,11),(9,29),-0.0751895 # DEPENDENCYPART_SIBL
(9,11),(9,30),-0.10841 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.052912 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.415917 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.0236301 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.00315028 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.000891435 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.235651 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.398891 # DEPENDENCYPART_SIBL
(9,12),(9,20),0.0250709 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.037421 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.272367 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.00229293 # DEPENDENCYPART_SIBL
(9,12),(9,24),-0.106736 # DEPENDENCYPART_SIBL
(9,12),(9,25),-0.0749068 # DEPENDENCYPART_SIBL
(9,12),(9,28),-0.134913 # DEPENDENCYPART_SIBL
(9,12),(9,29),-0.016685 # DEPENDENCYPART_SIBL
(9,12),(9,30),-0.0638016 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.251404 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0945866 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.192063 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.202135 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.185512 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.225206 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.24377 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.168668 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.217192 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.11741 # DEPENDENCYPART_SIBL
(9,13),(9,24),-0.390297 # DEPENDENCYPART_SIBL
(9,13),(9,25),-0.239721 # DEPENDENCYPART_SIBL
(9,13),(9,28),-0.411464 # DEPENDENCYPART_SIBL
(9,13),(9,29),-0.165265 # DEPENDENCYPART_SIBL
(9,13),(9,30),-0.209772 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.0301458 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.0391898 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0601583 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.200513 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.368472 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.0863554 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.0477975 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.225032 # DEPENDENCYPART_SIBL
(9,14),(9,23),0.0384013 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.145862 # DEPENDENCYPART_SIBL
(9,14),(9,25),-0.0323699 # DEPENDENCYPART_SIBL
(9,14),(9,28),-0.200862 # DEPENDENCYPART_SIBL
(9,14),(9,29),-0.029774 # DEPENDENCYPART_SIBL
(9,14),(9,30),0.00427799 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.515286 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.596299 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.0135475 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0360125 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0488667 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.022314 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0213556 # DEPENDENCYPART_SIBL
(9,15),(9,23),-0.101663 # DEPENDENCYPART_SIBL
(9,15),(9,24),-0.0577548 # DEPENDENCYPART_SIBL
(9,15),(9,25),-0.0473501 # DEPENDENCYPART_SIBL
(9,15),(9,28),-0.10098 # DEPENDENCYPART_SIBL
(9,15),(9,29),0.00918127 # DEPENDENCYPART_SIBL
(9,15),(9,30),0.0751198 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.383695 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.00625355 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0282124 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0858297 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0334608 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.0399214 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.0916417 # DEPENDENCYPART_SIBL
(9,16),(9,24),-0.0904368 # DEPENDENCYPART_SIBL
