# _root_ From 1974 to 1984 , prices for the best yearlings at the summer sales rose 918 % to an average of $ 544,681 .
#goldHeads=15,1,1,3,15,15,6,10,10,7,15,14,14,11,0,17,15,15,20,18,20,23,21,15,
#predictedHeads=15,1,1,3,15,15,6,10,10,7,10,14,14,11,0,17,15,15,20,18,20,23,21,15,
(7,8),(7,9),-0.0269611 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0647356 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0261583 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0651681 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0625049 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0504342 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0295425 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0298453 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0561541 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0186291 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0549813 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0542632 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.00463599 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0198835 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.00964365 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0185461 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0896001 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.088584 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0288044 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0425724 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0105472 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0302751 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0258313 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0377174 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0296626 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0383331 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0896866 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0276653 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.043675 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0108364 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0358552 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0397258 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0109281 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0221678 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0161917 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0729132 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.229069 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.195509 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.00335577 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0448506 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.044292 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.0164982 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0220049 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0425736 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0243874 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0317288 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0164414 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0546801 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0340583 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0361089 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.034069 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.074386 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0540117 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.028097 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0338807 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.048392 # DEPENDENCYPART_SIBL
(10,1),(10,24),-0.00197384 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0236761 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.00665774 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0398552 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0143297 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0564617 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0474845 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0622596 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.0131349 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0245269 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.016346 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0261205 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.00552514 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0651104 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0247534 # DEPENDENCYPART_SIBL
(10,2),(10,20),0.0270967 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0062572 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.00728657 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.00868696 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0481433 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0163034 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0544495 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0477664 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0620904 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.012743 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0203774 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.00929729 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0269909 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.00462104 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0606607 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0251025 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.0229471 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.00514009 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.00815609 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0046376 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.100178 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.059046 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0415477 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0274243 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.14176 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0146075 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0238137 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.000604667 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.113454 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0243019 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0345126 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.018489 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.147431 # DEPENDENCYPART_SIBL
(10,5),(10,24),0.027459 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0138242 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.136641 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.00054114 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0980608 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.114648 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0130581 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.00339748 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0127343 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0703945 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0131579 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0731237 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0148103 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.041027 # DEPENDENCYPART_SIBL
(10,6),(10,24),0.000528396 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.00865786 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0322949 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0111265 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0453615 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0265506 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0247426 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0271197 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0634943 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0427172 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0326023 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0266418 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0560518 # DEPENDENCYPART_SIBL
(10,7),(10,24),0.0279163 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0322795 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0222634 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.141075 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00855955 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0194417 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.105916 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.141081 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0488618 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.00257014 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0142114 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.267873 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.116465 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0565946 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0859827 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0277868 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0264103 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0227872 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.119035 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0709793 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0613344 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0324348 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.04482 # DEPENDENCYPART_SIBL
(10,9),(10,24),-0.0404939 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0488486 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00367266 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00648057 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0136923 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0299041 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.040789 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.00240607 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.000321942 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0320666 # DEPENDENCYPART_SIBL
(10,11),(10,24),0.052676 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0125672 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0205586 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0287422 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0175756 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.020136 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0169331 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0110413 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0204565 # DEPENDENCYPART_SIBL
(10,12),(10,24),0.0136593 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0233436 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0161259 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0120929 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.00676757 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.00286573 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0123308 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.00577162 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.0254308 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0251886 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0153173 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.00324866 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.00411433 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.00841565 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0182939 # DEPENDENCYPART_SIBL
(10,14),(10,24),0.00985547 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0253482 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0378299 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0192584 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0213174 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0133552 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.00619602 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.0202065 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0106105 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0290082 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.025923 # DEPENDENCYPART_SIBL
(10,16),(10,24),0.0203008 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0196301 # DEPENDENCYPART_SIBL
(10,17),(10,20),0.00872479 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0330658 # DEPENDENCYPART_SIBL
(10,17),(10,24),0.0281812 # DEPENDENCYPART_SIBL
(10,18),(10,20),-0.00059501 # DEPENDENCYPART_SIBL
(10,18),(10,21),0.000562771 # DEPENDENCYPART_SIBL
(10,18),(10,24),0.0615623 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.00180504 # DEPENDENCYPART_SIBL
(10,20),(10,24),0.0177888 # DEPENDENCYPART_SIBL
(10,21),(10,24),-0.0112069 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0165008 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0101907 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0077721 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.00294789 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0167948 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0158199 # DEPENDENCYPART_SIBL
(11,3),(11,16),3.76295e-05 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0192363 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.225481 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.00367803 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0307268 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0161551 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0623724 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0622345 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0177858 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0245596 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0740234 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.00450382 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0573925 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0713223 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.016644 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0333211 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0246845 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0059639 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0448608 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.00187009 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.00339151 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0561427 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0534441 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0288082 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0337 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.00812254 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0183497 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.055712 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.118547 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0420226 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0149797 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0640331 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0359743 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.119027 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0502113 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0177351 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0600828 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.036065 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.114683 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.0396931 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.00573267 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.00298476 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0395869 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.00897344 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0349996 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.08942 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.0499667 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.0711273 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.00216046 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0549877 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.00707031 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.030693 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0251039 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0409385 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0794262 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0194185 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.028368 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.00461151 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0200274 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.00206349 # DEPENDENCYPART_SIBL
(14,1),(14,7),-0.0463162 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0272861 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0367417 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.0570105 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0272861 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0402246 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.04638 # DEPENDENCYPART_SIBL
(14,1),(14,16),-0.0768282 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.0597357 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0335328 # DEPENDENCYPART_SIBL
(14,1),(14,20),-0.0362911 # DEPENDENCYPART_SIBL
(14,1),(14,23),-0.0768282 # DEPENDENCYPART_SIBL
(14,1),(14,24),-0.00879781 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0873703 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.047336 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0385572 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0607693 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.047336 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0422619 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0205025 # DEPENDENCYPART_SIBL
(14,5),(14,16),-0.122497 # DEPENDENCYPART_SIBL
(14,5),(14,17),-0.0366282 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0465488 # DEPENDENCYPART_SIBL
(14,5),(14,20),-0.0275017 # DEPENDENCYPART_SIBL
(14,5),(14,23),-0.122497 # DEPENDENCYPART_SIBL
(14,5),(14,24),0.0141005 # DEPENDENCYPART_SIBL
(14,7),(14,8),0.00577921 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0177557 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0401672 # DEPENDENCYPART_SIBL
(14,7),(14,12),0.00577921 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0212387 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0393913 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0658971 # DEPENDENCYPART_SIBL
(14,7),(14,17),-0.0484018 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0379987 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.0290128 # DEPENDENCYPART_SIBL
(14,7),(14,23),-0.0658971 # DEPENDENCYPART_SIBL
(14,7),(14,24),0.0211318 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.0333918 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.0122491 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.340509 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.0224764 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0876607 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.14809 # DEPENDENCYPART_SIBL
(14,8),(14,17),-0.0618366 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0126336 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0238726 # DEPENDENCYPART_SIBL
(14,8),(14,23),-0.14809 # DEPENDENCYPART_SIBL
(14,8),(14,24),-0.127445 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.00449417 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.13169 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.00136486 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.0425199 # DEPENDENCYPART_SIBL
(14,10),(14,16),-0.061285 # DEPENDENCYPART_SIBL
(14,10),(14,17),-0.0123279 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0672595 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.0248382 # DEPENDENCYPART_SIBL
(14,10),(14,23),-0.061285 # DEPENDENCYPART_SIBL
(14,10),(14,24),0.00828239 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0220802 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0173098 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0567348 # DEPENDENCYPART_SIBL
(14,11),(14,16),-0.0481534 # DEPENDENCYPART_SIBL
(14,11),(14,17),-0.0517104 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0389587 # DEPENDENCYPART_SIBL
(14,11),(14,20),-0.0254222 # DEPENDENCYPART_SIBL
(14,11),(14,23),-0.0481534 # DEPENDENCYPART_SIBL
(14,11),(14,24),0.0373266 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.0224764 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0876607 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.14809 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0618366 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0126336 # DEPENDENCYPART_SIBL
(14,12),(14,20),-0.0238726 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.14809 # DEPENDENCYPART_SIBL
(14,12),(14,24),-0.127445 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0347465 # DEPENDENCYPART_SIBL
(14,13),(14,16),-0.0585571 # DEPENDENCYPART_SIBL
(14,13),(14,17),-0.0128603 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0644858 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0243058 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.0585571 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.0145745 # DEPENDENCYPART_SIBL
(14,15),(14,16),-0.0307076 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.049624 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.0235612 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.033108 # DEPENDENCYPART_SIBL
(14,15),(14,23),-0.0307076 # DEPENDENCYPART_SIBL
(14,15),(14,24),-0.0154067 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0278103 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0107425 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0366093 # DEPENDENCYPART_SIBL
(14,16),(14,23),-0.00848071 # DEPENDENCYPART_SIBL
(14,16),(14,24),0.0168628 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.0166692 # DEPENDENCYPART_SIBL
(14,17),(14,20),-0.00178657 # DEPENDENCYPART_SIBL
(14,17),(14,23),0.00088616 # DEPENDENCYPART_SIBL
(14,17),(14,24),0.0211398 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.0104195 # DEPENDENCYPART_SIBL
(14,18),(14,23),0.0158232 # DEPENDENCYPART_SIBL
(14,18),(14,24),0.0559103 # DEPENDENCYPART_SIBL
(14,20),(14,23),-0.0172689 # DEPENDENCYPART_SIBL
(14,20),(14,24),0.0108218 # DEPENDENCYPART_SIBL
(14,23),(14,24),0.0168628 # DEPENDENCYPART_SIBL
(15,1),(15,2),-0.0160569 # DEPENDENCYPART_SIBL
(15,1),(15,3),-0.020027 # DEPENDENCYPART_SIBL
(15,1),(15,4),-0.0150972 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.0737624 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.0116329 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0208213 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0341772 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.0220071 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0301257 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.0340525 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0341772 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0304669 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.02239 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.0884078 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.0464184 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.055985 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.0602528 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.100662 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.141431 # DEPENDENCYPART_SIBL
(15,1),(15,24),-0.0929214 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.1082 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0114368 # DEPENDENCYPART_SIBL
(15,2),(15,5),-0.00922722 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0045513 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.00230586 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0559587 # DEPENDENCYPART_SIBL
(15,2),(15,9),-0.0076577 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0180423 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.0232413 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0559587 # DEPENDENCYPART_SIBL
(15,2),(15,13),-0.0167413 # DEPENDENCYPART_SIBL
(15,2),(15,14),0.00044998 # DEPENDENCYPART_SIBL
