# _root_ Nearby Paul Craig Roberts , a distinguished supply-sider with monetarist sympathies , argues the case for Sir Alan .
#goldHeads=13,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
#predictedHeads=4,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
(8,3),(8,6),-0.058683 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0331287 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.00386466 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0216679 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0216644 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0546033 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.00768715 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0110883 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0339264 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.00966749 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0369982 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0565463 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0352655 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.00283571 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0197877 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0197842 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0609814 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00566014 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.00920814 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0349563 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0101818 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0459615 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0723584 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0349852 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0142226 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0156391 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.140625 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0149808 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0189105 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0997136 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.027459 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.145763 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.107714 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0277489 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0277489 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0629704 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.273977 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.027803 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.136473 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0355171 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.00776834 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0109848 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0131036 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0122164 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00948593 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0160886 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0062544 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.0468104 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0109007 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0109007 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0365854 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.00153234 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0021011 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.00989241 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0559372 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0114945 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.00961706 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0153464 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.00892037 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0245502 # DEPENDENCYPART_SIBL
(8,10),(8,19),0.0212828 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.0155455 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0123872 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.00892037 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0245502 # DEPENDENCYPART_SIBL
(8,11),(8,19),0.0201988 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0316026 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.0640593 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00568611 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.00261008 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.00285154 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.000375898 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.00632979 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0224912 # DEPENDENCYPART_SIBL
(8,15),(8,19),0.0254567 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.060282 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.00189047 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.00188696 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0786352 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0319142 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.009202 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0648231 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0927816 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0394914 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0508824 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0880509 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0442103 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.033563 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0479232 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0880509 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0442103 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0107243 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0274636 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.00380435 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0226202 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.0335545 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0502609 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.145295 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0376193 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.000308835 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0150401 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.028021 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.299394 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0150942 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0365335 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00101058 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0131036 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.000492412 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.00313161 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0160886 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.00796552 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0206921 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0657076 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00127083 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.010116 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.00221554 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00685222 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0237694 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.000658049 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0155455 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.00920996 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.00892037 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0474886 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0704137 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00285154 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0233854 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0356294 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0559075 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.0364013 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0194211 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.00911403 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0196982 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0688227 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.00394689 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0155387 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0320633 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0256648 # DEPENDENCYPART_SIBL
(11,2),(11,19),0.0116016 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0369982 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0565463 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0352655 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0118377 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.00796475 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0121147 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0609814 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.00566014 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.00920814 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0349563 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0193342 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.0101818 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0459615 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0723584 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.023047 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0687655 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0227699 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.140625 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0149808 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0189105 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0997136 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0161309 # DEPENDENCYPART_SIBL
(11,5),(11,19),0.027459 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.145763 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0380864 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.000158265 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0392943 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0629704 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.273977 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.027803 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.136473 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0281073 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0355171 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.0365335 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.00101058 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0368106 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0122164 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.00948593 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0160886 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0062544 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0131117 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.0468104 # DEPENDENCYPART_SIBL
(11,8),(11,9),0.00796552 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0138046 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0529988 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.00762509 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.010116 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0349355 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.0202421 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.0102006 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.000292736 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0195611 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0301238 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.000658049 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.037754 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.00221677 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.0221217 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0310949 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0159645 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.00177667 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0566435 # DEPENDENCYPART_SIBL
(11,10),(11,18),0.0119027 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.00110625 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0316026 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.0640593 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.00568611 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.0419105 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.00261008 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00285154 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.000375898 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.017059 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.00632979 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0224912 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.00774094 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.0254567 # DEPENDENCYPART_SIBL
(11,16),(11,18),0.0389623 # DEPENDENCYPART_SIBL
(11,16),(11,19),0.060282 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0201622 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.00149215 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.006795 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.00667411 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.0318564 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.0495367 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0132499 # DEPENDENCYPART_SIBL
(13,1),(13,8),-0.00667361 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.00132675 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.00662925 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.00667361 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0318564 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0376405 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.00769276 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.022454 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.00857999 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.00856053 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.0207195 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.0932719 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0900612 # DEPENDENCYPART_SIBL
(13,2),(13,5),0.00963794 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0640489 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.00169429 # DEPENDENCYPART_SIBL
(13,2),(13,8),-0.0940281 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0293127 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0940281 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0940281 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.00963794 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0843169 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0138107 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0118767 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.00400168 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.000752051 # DEPENDENCYPART_SIBL
(13,2),(13,19),0.0366276 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0920585 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.0144665 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0637452 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.00163861 # DEPENDENCYPART_SIBL
(13,3),(13,8),-0.0960254 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.0292642 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.0960254 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0960254 # DEPENDENCYPART_SIBL
(13,3),(13,12),0.0144665 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0842109 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.014228 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0105822 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.00441899 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.00116936 # DEPENDENCYPART_SIBL
(13,3),(13,19),0.0386073 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0102543 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0637454 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.00163885 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0976072 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0292644 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0976072 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0976072 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.0102543 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0842121 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0153949 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0108867 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.00558588 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.00233625 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0390738 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.010176 # DEPENDENCYPART_SIBL
(13,5),(13,7),0.0245567 # DEPENDENCYPART_SIBL
(13,5),(13,8),0.0160432 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.00841223 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0160432 # DEPENDENCYPART_SIBL
(13,5),(13,11),0.0160432 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.046145 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.10617 # DEPENDENCYPART_SIBL
(13,5),(13,15),0.0189572 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.0500862 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.0249973 # DEPENDENCYPART_SIBL
(13,5),(13,18),0.0244886 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.0744282 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.0346277 # DEPENDENCYPART_SIBL
(13,6),(13,8),-0.0383353 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.0670007 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0378699 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.0383353 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.055694 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0601766 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0509004 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.118346 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0546941 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.0547129 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0239354 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0111719 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.0359082 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0111719 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0111719 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.0338133 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0625511 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.00286129 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0449029 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.00881392 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.00877998 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0222747 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.0292642 # DEPENDENCYPART_SIBL
(13,8),(13,10),-0.095918 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.095918 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0144757 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0842109 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0145097 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0108822 # DEPENDENCYPART_SIBL
(13,8),(13,17),-0.00470062 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.00145099 # DEPENDENCYPART_SIBL
(13,8),(13,19),0.0390783 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.000721664 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.000721664 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.0227744 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0528438 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0249142 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0167624 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0213774 # DEPENDENCYPART_SIBL
(13,9),(13,18),0.0213577 # DEPENDENCYPART_SIBL
(13,9),(13,19),-0.00857393 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.095918 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0144757 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0842109 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0145097 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0175665 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.00470062 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.00145099 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0387008 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0144757 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0842109 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0145097 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0108822 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.00470062 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.00145099 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.0390783 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.10617 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0189572 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0500862 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0249973 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.0244886 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0744282 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0434565 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0229893 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0431714 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0431739 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0106912 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0211931 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.0305255 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0325533 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.00519597 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.00282233 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.00281481 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0444637 # DEPENDENCYPART_SIBL
(13,17),(13,18),-0.03551 # DEPENDENCYPART_SIBL
(13,17),(13,19),0.0170622 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0170269 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.0170323 # DEPENDENCYPART_SIBL
(15,6),(15,11),0.0813451 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.129175 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.211224 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.116519 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0477536 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0477516 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0368492 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0125366 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.00551253 # DEPENDENCYPART_SIBL
(15,9),(15,14),-0.0312004 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0524854 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0163107 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0163101 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.0204736 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.0436032 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.133101 # DEPENDENCYPART_SIBL
(15,11),(15,16),-0.0228333 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0280102 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0312801 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0373457 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0520759 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.114492 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.029791 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0302782 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0257627 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0329971 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0489553 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0489521 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.133116 # DEPENDENCYPART_SIBL
(15,16),(15,17),0.0219708 # DEPENDENCYPART_SIBL
(15,16),(15,18),0.0219689 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0550882 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.027566 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0197595 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.019726 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0287419 # DEPENDENCYPART_SIBL
(16,15),(16,18),-0.0257166 # DEPENDENCYPART_SIBL
(16,15),(16,19),-0.0425102 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0954532 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0120165 # DEPENDENCYPART_SIBL
(16,18),(16,19),-0.0129072 # DEPENDENCYPART_SIBL
(17,18),(17,19),0.0201619 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0349263 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0121064 # DEPENDENCYPART_SIBL
