# _root_ If the pound falls closer to 2.80 marks , the Bank of England may raise Britain 's base lending rate by one percentage point to 16 % , says Mr. Rendell .
#goldHeads=4,3,4,14,4,5,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
#predictedHeads=4,3,4,14,4,4,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
(4,15),(4,29),-0.0369466 # DEPENDENCYPART_SIBL
(4,15),(4,32),0.0310316 # DEPENDENCYPART_SIBL
(4,21),(4,28),0.0218758 # DEPENDENCYPART_SIBL
(4,21),(4,29),0.0267059 # DEPENDENCYPART_SIBL
(4,21),(4,32),-0.0502714 # DEPENDENCYPART_SIBL
(4,28),(4,29),0.00416323 # DEPENDENCYPART_SIBL
(4,28),(4,32),0.00480289 # DEPENDENCYPART_SIBL
(4,29),(4,32),0.0334565 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0341949 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.004507 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.050069 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.00541174 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0574536 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.132484 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0866071 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.082579 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0245557 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0144504 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0298584 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.060716 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0405763 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0545543 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0398081 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0468649 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00731178 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0418048 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00931612 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0077473 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.093736 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0283315 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.072213 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0936831 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0414583 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0360868 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0111696 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0373246 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0309403 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0592043 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0129475 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0550437 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0570274 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0140701 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0394859 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0281469 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0700997 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0680565 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0561195 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.03869 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0517027 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.053677 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.098364 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0111586 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0992733 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00420331 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0708832 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0625686 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.000926916 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.050332 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0174044 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0856063 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0687549 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0891242 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0600114 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00152573 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0144416 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.00731082 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.078334 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.100509 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.00717822 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.0255352 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.00479517 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.00262364 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.128369 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0502639 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0612286 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.034769 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.0388176 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.00954487 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0436317 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0273375 # DEPENDENCYPART_SIBL
(8,1),(8,15),0.00204383 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.0629305 # DEPENDENCYPART_SIBL
(8,1),(8,27),0.0201734 # DEPENDENCYPART_SIBL
(8,1),(8,28),0.0612286 # DEPENDENCYPART_SIBL
(8,1),(8,29),0.0312856 # DEPENDENCYPART_SIBL
(8,1),(8,32),-0.10758 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0205587 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0141443 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.101909 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0391947 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0402833 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.114731 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0395314 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.325268 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0156804 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0186564 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.126385 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0266891 # DEPENDENCYPART_SIBL
(8,2),(8,27),-0.066885 # DEPENDENCYPART_SIBL
(8,2),(8,28),0.0402833 # DEPENDENCYPART_SIBL
(8,2),(8,29),0.144565 # DEPENDENCYPART_SIBL
(8,2),(8,32),-0.0915459 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.00348451 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0160338 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0210934 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0657012 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.103478 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0116445 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.00337714 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.015188 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.00274013 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0231594 # DEPENDENCYPART_SIBL
(8,3),(8,20),0.0442557 # DEPENDENCYPART_SIBL
(8,3),(8,27),-0.0411345 # DEPENDENCYPART_SIBL
(8,3),(8,28),0.0657012 # DEPENDENCYPART_SIBL
(8,3),(8,29),0.0195716 # DEPENDENCYPART_SIBL
(8,3),(8,32),0.000950421 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.013881 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0283937 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00977818 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0780411 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0211723 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0348935 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.00313483 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0236384 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0105049 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.00196645 # DEPENDENCYPART_SIBL
(8,5),(8,27),-0.0217564 # DEPENDENCYPART_SIBL
(8,5),(8,28),0.00977818 # DEPENDENCYPART_SIBL
(8,5),(8,29),0.0176981 # DEPENDENCYPART_SIBL
(8,5),(8,32),0.0394471 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0243102 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0242491 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00319917 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.205907 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0166027 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.212564 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.000242791 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0320929 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.226864 # DEPENDENCYPART_SIBL
(8,6),(8,27),0.152359 # DEPENDENCYPART_SIBL
(8,6),(8,28),-0.0242491 # DEPENDENCYPART_SIBL
(8,6),(8,29),0.0351329 # DEPENDENCYPART_SIBL
(8,6),(8,32),-0.0756837 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0348085 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0342107 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.00997914 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0313339 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.000406644 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0672882 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0068704 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0121682 # DEPENDENCYPART_SIBL
(8,7),(8,27),0.054742 # DEPENDENCYPART_SIBL
(8,7),(8,28),0.0348085 # DEPENDENCYPART_SIBL
(8,7),(8,29),0.0329535 # DEPENDENCYPART_SIBL
(8,7),(8,32),-0.0202271 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0131556 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0710265 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0462337 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0616434 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0798157 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0316292 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0666147 # DEPENDENCYPART_SIBL
(8,9),(8,27),-0.0032015 # DEPENDENCYPART_SIBL
(8,9),(8,28),0.0662995 # DEPENDENCYPART_SIBL
(8,9),(8,29),0.0530346 # DEPENDENCYPART_SIBL
(8,9),(8,32),0.0215709 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0287051 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0431856 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0282534 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0136829 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.044222 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0269329 # DEPENDENCYPART_SIBL
(8,10),(8,27),-0.0460139 # DEPENDENCYPART_SIBL
(8,10),(8,28),-0.0187483 # DEPENDENCYPART_SIBL
(8,10),(8,29),-0.0255887 # DEPENDENCYPART_SIBL
(8,10),(8,32),-0.0184517 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0485119 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0336872 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0335554 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0432903 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0378725 # DEPENDENCYPART_SIBL
(8,11),(8,27),-0.0334009 # DEPENDENCYPART_SIBL
(8,11),(8,28),0.00430188 # DEPENDENCYPART_SIBL
(8,11),(8,29),-0.0221354 # DEPENDENCYPART_SIBL
(8,11),(8,32),-0.0193351 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.00702521 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0687374 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0815537 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.00941383 # DEPENDENCYPART_SIBL
(8,12),(8,27),-0.0572898 # DEPENDENCYPART_SIBL
(8,12),(8,28),-0.00333746 # DEPENDENCYPART_SIBL
(8,12),(8,29),-0.0328383 # DEPENDENCYPART_SIBL
(8,12),(8,32),-0.0600124 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0301453 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0398822 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0339399 # DEPENDENCYPART_SIBL
(8,13),(8,27),-0.0294681 # DEPENDENCYPART_SIBL
(8,13),(8,28),-0.000617766 # DEPENDENCYPART_SIBL
(8,13),(8,29),-0.0187274 # DEPENDENCYPART_SIBL
(8,13),(8,32),-0.000707823 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0423892 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.0260899 # DEPENDENCYPART_SIBL
(8,14),(8,27),-0.0459221 # DEPENDENCYPART_SIBL
(8,14),(8,28),0.00107662 # DEPENDENCYPART_SIBL
(8,14),(8,29),-0.0206945 # DEPENDENCYPART_SIBL
(8,14),(8,32),-0.0124619 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0205091 # DEPENDENCYPART_SIBL
(8,15),(8,27),-0.0423152 # DEPENDENCYPART_SIBL
(8,15),(8,28),0.0219207 # DEPENDENCYPART_SIBL
(8,15),(8,29),-0.0134515 # DEPENDENCYPART_SIBL
(8,15),(8,32),-0.00287673 # DEPENDENCYPART_SIBL
(8,20),(8,27),-0.0348953 # DEPENDENCYPART_SIBL
(8,20),(8,28),-0.0207973 # DEPENDENCYPART_SIBL
(8,20),(8,29),-0.0156508 # DEPENDENCYPART_SIBL
(8,20),(8,32),-0.012788 # DEPENDENCYPART_SIBL
(8,27),(8,28),0.00798115 # DEPENDENCYPART_SIBL
(8,27),(8,29),-0.0245431 # DEPENDENCYPART_SIBL
(8,27),(8,32),-0.0245102 # DEPENDENCYPART_SIBL
(8,28),(8,29),0.0530346 # DEPENDENCYPART_SIBL
(8,28),(8,32),0.0215709 # DEPENDENCYPART_SIBL
(8,29),(8,32),0.0118449 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.128514 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.028656 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0953162 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0302111 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.011306 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0413155 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0241891 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0540423 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0548215 # DEPENDENCYPART_SIBL
(11,7),(11,28),-0.0179505 # DEPENDENCYPART_SIBL
(11,7),(11,32),-0.0184745 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.145209 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.087865 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0898427 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0397342 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0146566 # DEPENDENCYPART_SIBL
(11,8),(11,17),0.137692 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0807701 # DEPENDENCYPART_SIBL
(11,8),(11,28),0.0900593 # DEPENDENCYPART_SIBL
(11,8),(11,32),0.0775019 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.253547 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0635669 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0583836 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0407086 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.434609 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.165072 # DEPENDENCYPART_SIBL
(11,10),(11,28),-0.0313919 # DEPENDENCYPART_SIBL
(11,10),(11,32),-0.136214 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0382574 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0608905 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0587848 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.0658898 # DEPENDENCYPART_SIBL
(11,12),(11,21),0.0638174 # DEPENDENCYPART_SIBL
(11,12),(11,28),0.0518274 # DEPENDENCYPART_SIBL
(11,12),(11,32),-0.0158783 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0255181 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0261249 # DEPENDENCYPART_SIBL
(11,13),(11,17),0.0308262 # DEPENDENCYPART_SIBL
(11,13),(11,21),0.0267041 # DEPENDENCYPART_SIBL
(11,13),(11,28),0.00778387 # DEPENDENCYPART_SIBL
(11,13),(11,32),0.0476701 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0449588 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.00432878 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0238949 # DEPENDENCYPART_SIBL
(11,14),(11,28),0.00264585 # DEPENDENCYPART_SIBL
(11,14),(11,32),0.00920495 # DEPENDENCYPART_SIBL
(11,15),(11,17),0.029788 # DEPENDENCYPART_SIBL
(11,15),(11,21),0.00918303 # DEPENDENCYPART_SIBL
(11,15),(11,28),0.0275925 # DEPENDENCYPART_SIBL
(11,15),(11,32),0.018699 # DEPENDENCYPART_SIBL
(11,17),(11,21),0.0120904 # DEPENDENCYPART_SIBL
(11,17),(11,28),-0.0333176 # DEPENDENCYPART_SIBL
(11,17),(11,32),0.00685159 # DEPENDENCYPART_SIBL
(11,21),(11,28),-0.00277856 # DEPENDENCYPART_SIBL
(11,21),(11,32),0.030596 # DEPENDENCYPART_SIBL
(11,28),(11,32),-0.00274936 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0544223 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0512642 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0974889 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.064525 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.00198385 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0972363 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.0933504 # DEPENDENCYPART_SIBL
(12,6),(12,19),-0.0973212 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0984915 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.0282965 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0781606 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0228432 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0506114 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.0978634 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0768847 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0789706 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.067109 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.168532 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0297835 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.026458 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.182004 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.159746 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.168549 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.152288 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.058978 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0530441 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.103174 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.113687 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.113091 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.123511 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0195141 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0363728 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0366683 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0363791 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0405986 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0526381 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0514628 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0511718 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.0568589 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.118807 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.118211 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.128631 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.113718 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.124143 # DEPENDENCYPART_SIBL
(12,19),(12,20),-0.126098 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.112034 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0423651 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0236608 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.132371 # DEPENDENCYPART_SIBL
(13,10),(13,17),0.449046 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0448606 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0532479 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0210943 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.100262 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0159208 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0589874 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.101711 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0413129 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0143507 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0214541 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.014278 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.0186482 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.00197245 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.0106176 # DEPENDENCYPART_SIBL
(14,1),(14,9),-0.0140042 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.00845692 # DEPENDENCYPART_SIBL
(14,1),(14,11),0.00763285 # DEPENDENCYPART_SIBL
(14,1),(14,12),-0.0660213 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.0160886 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.0026623 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.00238882 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.00122908 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.00378772 # DEPENDENCYPART_SIBL
(14,1),(14,20),0.00575212 # DEPENDENCYPART_SIBL
(14,1),(14,29),-0.0102623 # DEPENDENCYPART_SIBL
(14,1),(14,32),-0.139653 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.0488179 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.0863723 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.161756 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0451251 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.16225 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.177975 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0580749 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.164702 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0176296 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0396538 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0198787 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.0205207 # DEPENDENCYPART_SIBL
(14,3),(14,20),-0.0112512 # DEPENDENCYPART_SIBL
(14,3),(14,29),0.0196025 # DEPENDENCYPART_SIBL
(14,3),(14,32),-0.00607941 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.00749975 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0146835 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.0139885 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0324568 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0186464 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0725918 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0144546 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0358041 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0580078 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.0561784 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0589304 # DEPENDENCYPART_SIBL
(14,4),(14,20),-0.0610663 # DEPENDENCYPART_SIBL
(14,4),(14,29),-0.00190254 # DEPENDENCYPART_SIBL
(14,4),(14,32),0.0415336 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0242218 # DEPENDENCYPART_SIBL
(14,7),(14,9),0.00261487 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0624392 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0166016 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0432301 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.019092 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0623391 # DEPENDENCYPART_SIBL
(14,7),(14,16),-0.0322588 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0282903 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0282906 # DEPENDENCYPART_SIBL
(14,7),(14,20),-0.029828 # DEPENDENCYPART_SIBL
(14,7),(14,29),-0.06406 # DEPENDENCYPART_SIBL
(14,7),(14,32),-0.0267881 # DEPENDENCYPART_SIBL
(14,8),(14,9),-0.0560763 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.167017 # DEPENDENCYPART_SIBL
(14,8),(14,11),-0.185461 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0547912 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.172187 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.00360665 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0479655 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.0281904 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.0288324 # DEPENDENCYPART_SIBL
(14,8),(14,20),-0.0195629 # DEPENDENCYPART_SIBL
(14,8),(14,29),0.00590482 # DEPENDENCYPART_SIBL
(14,8),(14,32),-0.00401016 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.038628 # DEPENDENCYPART_SIBL
(14,9),(14,11),-0.0286767 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.0479766 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.00564268 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0289394 # DEPENDENCYPART_SIBL
