# _root_ In addition to increasing costs as a result of greater financial exposure for members , these measures could have other , far-reaching repercussions .
#goldHeads=18,1,2,3,4,4,8,6,8,12,12,9,12,13,18,17,18,0,18,22,22,23,19,18,
#predictedHeads=18,1,2,5,3,5,8,6,8,12,12,9,12,13,18,17,18,0,18,23,23,23,19,18,
(5,4),(5,10),0.0107072 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0246969 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.127209 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0198797 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.000526347 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0397143 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.000526347 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0698062 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.022532 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0621012 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0197189 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0292081 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.000613184 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0253664 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.00335717 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.025226 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.00335717 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.0383127 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00556556 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.000589546 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0235989 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.00138883 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0267213 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00271828 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.027717 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.00271828 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.0387351 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00404629 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00363172 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0306363 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00349814 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0155761 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0652757 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0155761 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.0426237 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0114643 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.00961687 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0142979 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00386621 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.00145977 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.00386621 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0405855 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.001032 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0269679 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.00094216 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0265728 # DEPENDENCYPART_SIBL
(5,12),(5,21),-0.00094216 # DEPENDENCYPART_SIBL
(5,12),(5,24),0.0281689 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0302646 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.0237247 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.00795708 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0237247 # DEPENDENCYPART_SIBL
(5,13),(5,24),0.0546001 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00301869 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0289544 # DEPENDENCYPART_SIBL
(5,14),(5,21),-0.00301869 # DEPENDENCYPART_SIBL
(5,14),(5,24),0.0271867 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0061247 # DEPENDENCYPART_SIBL
(5,15),(5,21),-0.0012093 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.000909273 # DEPENDENCYPART_SIBL
(5,18),(5,21),-0.00668148 # DEPENDENCYPART_SIBL
(5,18),(5,24),0.0121798 # DEPENDENCYPART_SIBL
(5,21),(5,24),-0.000909273 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0818865 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0198802 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00593734 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0906543 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0482605 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0782363 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.200883 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.000459743 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.00323201 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0753052 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0706607 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.006147 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00671502 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0136062 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0119002 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.015104 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.109328 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0131327 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0226767 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0134006 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0119766 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0471654 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.069017 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0563565 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0241387 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.111181 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0429148 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0430019 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0269173 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0274131 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0412193 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.000820771 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0953437 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.148578 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0360701 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0455174 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.112306 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.114595 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0133779 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0251884 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.125059 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0213262 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0308703 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0245842 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0230441 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00483012 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0868181 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00400552 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00400452 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.00638891 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0130971 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0382395 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0318521 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0387301 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0883168 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0866397 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0138305 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0138661 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0869965 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0937479 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0338764 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0523657 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0504013 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0381466 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0361823 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0888668 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0267511 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.011789 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0341736 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.0300193 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0395054 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0502694 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0424152 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0340855 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0110291 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.031862 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.0228114 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0451761 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.0164186 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0154939 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0325768 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0558674 # DEPENDENCYPART_SIBL
(8,1),(8,21),-0.0228114 # DEPENDENCYPART_SIBL
(8,1),(8,23),-0.0311795 # DEPENDENCYPART_SIBL
(8,1),(8,24),-0.00254413 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0231247 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.000453984 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0197892 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0639007 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.00973168 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.00536549 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0302924 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0962236 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0254752 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0113159 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0314796 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0376114 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0446938 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0245182 # DEPENDENCYPART_SIBL
(8,4),(8,20),2.27411e-05 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0113159 # DEPENDENCYPART_SIBL
(8,4),(8,23),0.0305072 # DEPENDENCYPART_SIBL
(8,4),(8,24),0.0565844 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0311491 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0602331 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00695232 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0116222 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0142428 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0147597 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0197087 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.00629491 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0434232 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0774781 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0521371 # DEPENDENCYPART_SIBL
(8,5),(8,18),-0.0237847 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.00614254 # DEPENDENCYPART_SIBL
(8,5),(8,20),-0.0174304 # DEPENDENCYPART_SIBL
(8,5),(8,21),0.0434232 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0158122 # DEPENDENCYPART_SIBL
(8,5),(8,24),-0.000238297 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0613031 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.000689686 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0783335 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0705761 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0673965 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.00759883 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0588376 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.100622 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0610836 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0450848 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0147277 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0362602 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0831663 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.100622 # DEPENDENCYPART_SIBL
(8,6),(8,23),-0.0598458 # DEPENDENCYPART_SIBL
(8,6),(8,24),-0.0473354 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.107445 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0434389 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0685867 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0585196 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0608701 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0667109 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.15527 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0555209 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0440495 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0926256 # DEPENDENCYPART_SIBL
(8,7),(8,19),0.155812 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0545308 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.15527 # DEPENDENCYPART_SIBL
(8,7),(8,23),-0.0585147 # DEPENDENCYPART_SIBL
(8,7),(8,24),-0.0378042 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0297731 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0303686 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0235109 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0459835 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0236445 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.0449355 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.112921 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.0336616 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.0918355 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.13251 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0440348 # DEPENDENCYPART_SIBL
(8,9),(8,21),-0.0449355 # DEPENDENCYPART_SIBL
(8,9),(8,23),-0.0233621 # DEPENDENCYPART_SIBL
(8,9),(8,24),-0.062912 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0209977 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0119162 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0434693 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0147498 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.00830733 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0137132 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.014751 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.000369779 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0101956 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0288105 # DEPENDENCYPART_SIBL
(8,10),(8,21),-0.00830733 # DEPENDENCYPART_SIBL
(8,10),(8,23),-0.011913 # DEPENDENCYPART_SIBL
(8,10),(8,24),0.0391832 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00322563 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.038121 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.000392047 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.00483307 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0126778 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.000390892 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.00131811 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.00720693 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0289843 # DEPENDENCYPART_SIBL
(8,11),(8,21),-0.00483307 # DEPENDENCYPART_SIBL
(8,11),(8,23),0.00322886 # DEPENDENCYPART_SIBL
(8,11),(8,24),0.0158596 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0204765 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0213277 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.000615549 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.00778321 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0235743 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0215756 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0136892 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.00579886 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.000615549 # DEPENDENCYPART_SIBL
(8,12),(8,23),-0.0180932 # DEPENDENCYPART_SIBL
(8,12),(8,24),0.0341234 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.00691765 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.00121304 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0522286 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.00107584 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0322693 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.0586942 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.00080983 # DEPENDENCYPART_SIBL
(8,13),(8,21),-0.00121304 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.00673733 # DEPENDENCYPART_SIBL
(8,13),(8,24),0.0330463 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.00146098 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.00951727 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.0260811 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.0239572 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.022046 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.00894657 # DEPENDENCYPART_SIBL
(8,14),(8,21),-0.00146098 # DEPENDENCYPART_SIBL
(8,14),(8,23),-0.0205999 # DEPENDENCYPART_SIBL
(8,14),(8,24),0.0331412 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.010484 # DEPENDENCYPART_SIBL
(8,15),(8,17),0.0280633 # DEPENDENCYPART_SIBL
(8,15),(8,18),0.00141547 # DEPENDENCYPART_SIBL
(8,15),(8,19),0.0477623 # DEPENDENCYPART_SIBL
(8,15),(8,20),0.00872095 # DEPENDENCYPART_SIBL
(8,15),(8,21),0.00466569 # DEPENDENCYPART_SIBL
(8,15),(8,23),0.0277037 # DEPENDENCYPART_SIBL
(8,15),(8,24),0.00357902 # DEPENDENCYPART_SIBL
(8,16),(8,17),-0.0294632 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.0229759 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.0372004 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0152664 # DEPENDENCYPART_SIBL
(8,16),(8,21),-0.0442267 # DEPENDENCYPART_SIBL
(8,16),(8,23),-0.0285906 # DEPENDENCYPART_SIBL
(8,16),(8,24),0.00856713 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0255067 # DEPENDENCYPART_SIBL
(8,17),(8,19),-0.0208091 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.00972952 # DEPENDENCYPART_SIBL
(8,17),(8,21),-0.00594061 # DEPENDENCYPART_SIBL
(8,17),(8,23),-0.0224612 # DEPENDENCYPART_SIBL
(8,17),(8,24),0.0218323 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.0268041 # DEPENDENCYPART_SIBL
(8,18),(8,20),-0.0176345 # DEPENDENCYPART_SIBL
(8,18),(8,21),-0.00656569 # DEPENDENCYPART_SIBL
(8,18),(8,23),-0.0184751 # DEPENDENCYPART_SIBL
(8,18),(8,24),0.0201458 # DEPENDENCYPART_SIBL
(8,19),(8,20),0.0128341 # DEPENDENCYPART_SIBL
(8,19),(8,21),0.0655348 # DEPENDENCYPART_SIBL
(8,19),(8,23),0.00203869 # DEPENDENCYPART_SIBL
(8,19),(8,24),0.0248758 # DEPENDENCYPART_SIBL
(8,20),(8,21),-0.00997564 # DEPENDENCYPART_SIBL
(8,20),(8,23),-0.0106669 # DEPENDENCYPART_SIBL
(8,20),(8,24),0.0126257 # DEPENDENCYPART_SIBL
(8,21),(8,23),0.0277037 # DEPENDENCYPART_SIBL
(8,21),(8,24),0.00357902 # DEPENDENCYPART_SIBL
(8,23),(8,24),0.036655 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.048864 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0305662 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.059471 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.168796 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0109859 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.00821468 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.1141 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0789456 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.111814 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.104657 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.00668547 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.111058 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0128647 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.0438185 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0846822 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0723597 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0724479 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0968803 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.00332361 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.099875 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.093147 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0744712 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.0974849 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.00709233 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0835763 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0427274 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0521758 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.150903 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.00196774 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.155714 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.151798 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.00581481 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.15062 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.138333 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0411344 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0384608 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.16746 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0684554 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.159053 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.153372 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00942693 # DEPENDENCYPART_SIBL
(9,6),(9,23),-0.159773 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0334679 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0147433 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.196583 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0197929 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.204722 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.19114 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.00737901 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.19651 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0308951 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0497436 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00929068 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0549631 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0503771 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.00754148 # DEPENDENCYPART_SIBL
(9,10),(9,23),-0.0499665 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0355272 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.00486009 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0407467 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0361607 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.00750468 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.0357501 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.00902759 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.12078 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.116969 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0563275 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.115387 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0187577 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0149035 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.00929217 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.0163621 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.116904 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0561484 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.115323 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0556182 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.115112 # DEPENDENCYPART_SIBL
(9,18),(9,23),-0.0365252 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0323627 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0623131 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.00280172 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.055439 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0447653 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0137485 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0362337 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.00430451 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.000587537 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.0469179 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.00229177 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.006523 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.0245602 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0340809 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0340338 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0063341 # DEPENDENCYPART_SIBL
