# _root_ In the third quarter , wages and salaries in all private industry rose 1.2 % , compared with 1 % increases in both the second quarter and in the third quarter of 1988 .
#goldHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,21,21,18,27,26,26,26,22,21,27,31,31,28,31,32,13,
#predictedHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,20,21,18,21,27,26,26,22,21,27,31,31,28,31,32,13,
(4,10),(4,11),-0.0266722 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0364003 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0539359 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0310899 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0261977 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0621304 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.0382504 # DEPENDENCYPART_SIBL
(4,10),(4,34),0.0155856 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00486405 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.00540286 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0177638 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0178463 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.026856 # DEPENDENCYPART_SIBL
(4,11),(4,27),-0.0332251 # DEPENDENCYPART_SIBL
(4,11),(4,34),0.00347575 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0164896 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.0172983 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.0062895 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0209865 # DEPENDENCYPART_SIBL
(4,12),(4,27),-0.0441083 # DEPENDENCYPART_SIBL
(4,12),(4,34),0.0286242 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0314269 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0025281 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.0308526 # DEPENDENCYPART_SIBL
(4,15),(4,27),-0.0516055 # DEPENDENCYPART_SIBL
(4,15),(4,34),-0.000252973 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0209556 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.0122688 # DEPENDENCYPART_SIBL
(4,16),(4,27),-0.0160045 # DEPENDENCYPART_SIBL
(4,16),(4,34),-0.0240028 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0316155 # DEPENDENCYPART_SIBL
(4,17),(4,27),-0.032113 # DEPENDENCYPART_SIBL
(4,17),(4,34),0.0151164 # DEPENDENCYPART_SIBL
(4,18),(4,27),-0.0543169 # DEPENDENCYPART_SIBL
(4,18),(4,34),-0.0195303 # DEPENDENCYPART_SIBL
(4,27),(4,34),0.00429605 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00209126 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0201662 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0159351 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00151951 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0245764 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0068846 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0712068 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0166884 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0175135 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00112346 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.00910831 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00916563 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0623293 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0100041 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0167479 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0243345 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0130847 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0118677 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0270194 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0257695 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00897814 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0467273 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0374506 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0540221 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0231784 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0283006 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.221386 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.304241 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00236733 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0699904 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.213133 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0607582 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0101299 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.155356 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0463062 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0185869 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.233591 # DEPENDENCYPART_SIBL
(7,1),(7,34),0.0178258 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0378724 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0174079 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0990466 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0764734 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.202812 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.179794 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.105426 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.126719 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.200613 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0271597 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0901032 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.229355 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0156439 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.014513 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0146298 # DEPENDENCYPART_SIBL
(7,2),(7,34),-0.0893287 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0436943 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.112016 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00117451 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0346337 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.000341665 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0205859 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.468347 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0300064 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0301306 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0326783 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.070585 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.00420602 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0738628 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0517165 # DEPENDENCYPART_SIBL
(7,3),(7,34),-0.0581247 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0137054 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0429112 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0309 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0474235 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0160595 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0429031 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.000646476 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0842418 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0770452 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0369295 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0473229 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0809282 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0645706 # DEPENDENCYPART_SIBL
(7,4),(7,34),-0.0709409 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00900653 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0316915 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0214922 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00404197 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0188714 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00926031 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0859269 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.047957 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0159397 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0144345 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0231906 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0957299 # DEPENDENCYPART_SIBL
(7,5),(7,34),0.0143621 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0552006 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.00726486 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.01747 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0206257 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0842111 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0541065 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0248804 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0506254 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0098243 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0494077 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0277044 # DEPENDENCYPART_SIBL
(7,6),(7,34),-0.00869222 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0159946 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00445494 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00209 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0153171 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.037379 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.00895777 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0305216 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.00492028 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.00340936 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0190015 # DEPENDENCYPART_SIBL
(7,8),(7,34),-0.0476844 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00844109 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00175771 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.00205224 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.046838 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.00659175 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0444621 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0267177 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0250681 # DEPENDENCYPART_SIBL
(7,9),(7,18),0.0302897 # DEPENDENCYPART_SIBL
(7,9),(7,34),-0.0272142 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0250017 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0211576 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.049472 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.00342912 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0315487 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0305625 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0191106 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.00670819 # DEPENDENCYPART_SIBL
(7,10),(7,34),-0.0134719 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0155334 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0393998 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0228511 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.00890432 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.00416489 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.000311032 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0160282 # DEPENDENCYPART_SIBL
(7,11),(7,34),-0.158403 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0535442 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0245826 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0555651 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0124177 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.0127558 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0137166 # DEPENDENCYPART_SIBL
(7,12),(7,34),-0.0566198 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.00669786 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0302685 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0111332 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.00850547 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.0547215 # DEPENDENCYPART_SIBL
(7,13),(7,34),0.0311325 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.0204741 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0051462 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0248274 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.0132529 # DEPENDENCYPART_SIBL
(7,14),(7,34),-0.0696689 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.117362 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.0212404 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0211563 # DEPENDENCYPART_SIBL
(7,15),(7,34),-0.0513449 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0447523 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0283995 # DEPENDENCYPART_SIBL
(7,16),(7,34),-0.00468316 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0376203 # DEPENDENCYPART_SIBL
(7,17),(7,34),0.00517887 # DEPENDENCYPART_SIBL
(7,18),(7,34),-0.0473663 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0686846 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0449751 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.460526 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.00200511 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.118474 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0634792 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0117964 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0923275 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0220355 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0284233 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0937392 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.000321544 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.129925 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0364524 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0151885 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0372024 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00536609 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.181121 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0153781 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.124155 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0129138 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.00968696 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0570224 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.043809 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.00274775 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0579401 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0223027 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0171796 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.00366892 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0129432 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0105811 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0184556 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.00926954 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.00376809 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0253497 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0252306 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0390702 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0358767 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0394957 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.00652375 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.00094165 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0100173 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0191613 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.0103756 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0102922 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0560535 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0822553 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.00706524 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0194389 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0344021 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.0447685 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.00585044 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0144645 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0311053 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.027173 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0299037 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0198552 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0168867 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0398979 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0903125 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0338208 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.00498208 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0584044 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.082019 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0148311 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0163685 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0267435 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0277904 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0280681 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0820902 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0123351 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0412668 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0200757 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.00951287 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0248681 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0290118 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0350749 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0588004 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0150308 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.123552 # DEPENDENCYPART_SIBL
(12,2),(12,5),0.0656387 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.528042 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.122651 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0285607 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.243177 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.124066 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.0441993 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.137409 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0968529 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0343006 # DEPENDENCYPART_SIBL
(12,3),(12,5),0.060299 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0970302 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0298562 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0473215 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.103294 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.00112373 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0585816 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.1416 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0511438 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0451291 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.286972 # DEPENDENCYPART_SIBL
(12,5),(12,8),-0.0159204 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0380698 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.00424953 # DEPENDENCYPART_SIBL
(12,5),(12,11),0.0281873 # DEPENDENCYPART_SIBL
(12,5),(12,13),4.84233e-05 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.10559 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0331273 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.0973517 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0389705 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0705293 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.087458 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0987293 # DEPENDENCYPART_SIBL
(12,7),(12,13),0.00302892 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0786082 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0350459 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.027217 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.00869875 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.102821 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0114228 # DEPENDENCYPART_SIBL
(12,8),(12,13),-0.0880403 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0731992 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0764932 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.000807042 # DEPENDENCYPART_SIBL
(12,9),(12,10),-0.0210261 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0306479 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0666482 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.0599761 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.0632311 # DEPENDENCYPART_SIBL
(12,9),(12,16),-0.0323723 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0802917 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0283136 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0876053 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0994013 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0341333 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.067383 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.143146 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0756953 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0406261 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0157958 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0419494 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.00437137 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0274472 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.0162727 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00436061 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.0355136 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.100081 # DEPENDENCYPART_SIBL
(13,1),(13,5),0.130219 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.131351 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0469947 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.103965 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0885184 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0487321 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0342583 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0851291 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0057845 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.0105209 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.0161055 # DEPENDENCYPART_SIBL
(13,1),(13,17),-0.00640707 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0142994 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.0193516 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.017338 # DEPENDENCYPART_SIBL
(13,1),(13,22),-0.0220224 # DEPENDENCYPART_SIBL
(13,1),(13,23),0.0057278 # DEPENDENCYPART_SIBL
(13,1),(13,27),0.0023427 # DEPENDENCYPART_SIBL
(13,1),(13,28),-0.0220224 # DEPENDENCYPART_SIBL
(13,1),(13,34),0.0279482 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0189592 # DEPENDENCYPART_SIBL
(13,3),(13,5),0.000337872 # DEPENDENCYPART_SIBL
(13,3),(13,6),0.0111763 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.0768962 # DEPENDENCYPART_SIBL
(13,3),(13,8),0.00232714 # DEPENDENCYPART_SIBL
(13,3),(13,9),0.0196986 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.055209 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.0229149 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.000445709 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0260085 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.0341974 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.0106305 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0549963 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.098997 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0379546 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.0446901 # DEPENDENCYPART_SIBL
(13,3),(13,22),-0.0374987 # DEPENDENCYPART_SIBL
(13,3),(13,23),-0.0399736 # DEPENDENCYPART_SIBL
(13,3),(13,27),-0.0117359 # DEPENDENCYPART_SIBL
(13,3),(13,28),-0.0374987 # DEPENDENCYPART_SIBL
(13,3),(13,34),-0.0346844 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.00762296 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.0651509 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0332291 # DEPENDENCYPART_SIBL
(13,4),(13,8),-0.0834453 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.0138392 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.0407051 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.00966945 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0920754 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.00554167 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0862657 # DEPENDENCYPART_SIBL
(13,4),(13,16),0.000182399 # DEPENDENCYPART_SIBL
(13,4),(13,17),-0.00467992 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0259784 # DEPENDENCYPART_SIBL
