# _root_ But the guidelines could `` make it impossible to commercialize research , '' says Kenneth Smith , associate provost and vice president for research at Massachusetts Institute of Technology .
#goldHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,20,27,25,27,28,14,
#predictedHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,22,27,25,27,28,14,
(6,2),(6,8),-0.00493513 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0522701 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0442713 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0716586 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0200293 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00992973 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0691895 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0857383 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.0200293 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.00560808 # DEPENDENCYPART_SIBL
(6,2),(6,19),-0.0780203 # DEPENDENCYPART_SIBL
(6,2),(6,20),-0.0787244 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0851865 # DEPENDENCYPART_SIBL
(6,2),(6,23),0.078333 # DEPENDENCYPART_SIBL
(6,2),(6,25),0.00796914 # DEPENDENCYPART_SIBL
(6,2),(6,30),-0.0969539 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.033803 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00140477 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0881022 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0272728 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0280649 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0341662 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0329617 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00025802 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.010182 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0252684 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0549102 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.00025802 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0202254 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0470721 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0395716 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0145548 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0302615 # DEPENDENCYPART_SIBL
(6,3),(6,25),0.031906 # DEPENDENCYPART_SIBL
(6,3),(6,30),0.0311365 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0134796 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0979456 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.031488 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0984779 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0702432 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0517219 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.14378 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0477006 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0862972 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.068144 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.14378 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.0321885 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0604174 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0830667 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0550444 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.0879411 # DEPENDENCYPART_SIBL
(6,4),(6,25),-0.0879559 # DEPENDENCYPART_SIBL
(6,4),(6,30),0.0311424 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.117709 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0268192 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0276381 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0265646 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.00491278 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0571268 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.439591 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0121934 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0256286 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.0571268 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0262381 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0183218 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0298205 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0232836 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0794997 # DEPENDENCYPART_SIBL
(6,5),(6,25),-0.015131 # DEPENDENCYPART_SIBL
(6,5),(6,30),0.0355825 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.111001 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.035961 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0532226 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0565353 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0344976 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0895087 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0510174 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0585359 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0344976 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.108527 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0585359 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.00638455 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0635404 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.0569986 # DEPENDENCYPART_SIBL
(6,7),(6,25),-0.0447891 # DEPENDENCYPART_SIBL
(6,7),(6,30),-0.102321 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0207518 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.000772919 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.020608 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0471593 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0186013 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0143252 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0225725 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0471593 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0475569 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0225725 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.0223438 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.0254469 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0229013 # DEPENDENCYPART_SIBL
(6,8),(6,25),0.0476651 # DEPENDENCYPART_SIBL
(6,8),(6,30),5.47401e-05 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0339157 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0292101 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0169819 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0443145 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.0176664 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.031208 # DEPENDENCYPART_SIBL
(6,9),(6,17),0.0169819 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0679374 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.031208 # DEPENDENCYPART_SIBL
(6,9),(6,20),-0.00773618 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.0365673 # DEPENDENCYPART_SIBL
(6,9),(6,23),0.0158926 # DEPENDENCYPART_SIBL
(6,9),(6,25),-0.0372534 # DEPENDENCYPART_SIBL
(6,9),(6,30),-0.0344234 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00624129 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0549318 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0225592 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0128776 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.00817289 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0549318 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0374646 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.00817288 # DEPENDENCYPART_SIBL
(6,10),(6,20),0.0156353 # DEPENDENCYPART_SIBL
(6,10),(6,22),-0.0149017 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.012845 # DEPENDENCYPART_SIBL
(6,10),(6,25),0.00924669 # DEPENDENCYPART_SIBL
(6,10),(6,30),0.0101946 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0311553 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.000997116 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.00553917 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0280374 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0311553 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0431458 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0280434 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.00942096 # DEPENDENCYPART_SIBL
(6,11),(6,22),-0.0398457 # DEPENDENCYPART_SIBL
(6,11),(6,23),-0.0105354 # DEPENDENCYPART_SIBL
(6,11),(6,25),0.0545837 # DEPENDENCYPART_SIBL
(6,11),(6,30),-0.0218311 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.108853 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0760943 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.0498227 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.116601 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0474986 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.0498243 # DEPENDENCYPART_SIBL
(6,12),(6,20),0.123769 # DEPENDENCYPART_SIBL
(6,12),(6,22),0.0908617 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.0666738 # DEPENDENCYPART_SIBL
(6,12),(6,25),0.080343 # DEPENDENCYPART_SIBL
(6,12),(6,30),0.0448101 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0671366 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.0744187 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.0655573 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.02946 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0744187 # DEPENDENCYPART_SIBL
(6,13),(6,20),0.113765 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.0691002 # DEPENDENCYPART_SIBL
(6,13),(6,23),0.0305348 # DEPENDENCYPART_SIBL
(6,13),(6,25),0.0699583 # DEPENDENCYPART_SIBL
(6,13),(6,30),-0.035994 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0326518 # DEPENDENCYPART_SIBL
(6,14),(6,17),0.114674 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.00769974 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0326518 # DEPENDENCYPART_SIBL
(6,14),(6,20),0.0900882 # DEPENDENCYPART_SIBL
(6,14),(6,22),0.0256172 # DEPENDENCYPART_SIBL
(6,14),(6,23),0.0502236 # DEPENDENCYPART_SIBL
(6,14),(6,25),0.047934 # DEPENDENCYPART_SIBL
(6,14),(6,30),0.0470138 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.0262246 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0511679 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.0360037 # DEPENDENCYPART_SIBL
(6,16),(6,20),0.00340742 # DEPENDENCYPART_SIBL
(6,16),(6,22),-0.0478057 # DEPENDENCYPART_SIBL
(6,16),(6,23),-0.0242024 # DEPENDENCYPART_SIBL
(6,16),(6,25),0.032967 # DEPENDENCYPART_SIBL
(6,16),(6,30),-0.0341357 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0474986 # DEPENDENCYPART_SIBL
(6,17),(6,19),0.0498243 # DEPENDENCYPART_SIBL
(6,17),(6,20),0.123769 # DEPENDENCYPART_SIBL
(6,17),(6,22),0.0908617 # DEPENDENCYPART_SIBL
(6,17),(6,23),0.0666738 # DEPENDENCYPART_SIBL
(6,17),(6,25),0.080343 # DEPENDENCYPART_SIBL
(6,17),(6,30),0.0448101 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0371627 # DEPENDENCYPART_SIBL
(6,18),(6,20),0.0113576 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.0400371 # DEPENDENCYPART_SIBL
(6,18),(6,23),0.000494061 # DEPENDENCYPART_SIBL
(6,18),(6,25),0.0252554 # DEPENDENCYPART_SIBL
(6,18),(6,30),-0.0209271 # DEPENDENCYPART_SIBL
(6,19),(6,20),0.0115148 # DEPENDENCYPART_SIBL
(6,19),(6,22),-0.039705 # DEPENDENCYPART_SIBL
(6,19),(6,23),-0.0160974 # DEPENDENCYPART_SIBL
(6,19),(6,25),0.041072 # DEPENDENCYPART_SIBL
(6,19),(6,30),-0.0188455 # DEPENDENCYPART_SIBL
(6,20),(6,22),-0.0328729 # DEPENDENCYPART_SIBL
(6,20),(6,23),0.0310274 # DEPENDENCYPART_SIBL
(6,20),(6,25),0.0312873 # DEPENDENCYPART_SIBL
(6,20),(6,30),-0.0165052 # DEPENDENCYPART_SIBL
(6,22),(6,23),-0.00189461 # DEPENDENCYPART_SIBL
(6,22),(6,25),0.0519563 # DEPENDENCYPART_SIBL
(6,22),(6,30),-0.0343382 # DEPENDENCYPART_SIBL
(6,23),(6,25),0.0093584 # DEPENDENCYPART_SIBL
(6,23),(6,30),-0.0209225 # DEPENDENCYPART_SIBL
(6,25),(6,30),-0.0347097 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0751054 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0034428 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0413595 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0127934 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0253925 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0930342 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.00935996 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0183649 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.00324592 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0355015 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0434007 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0621441 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0441972 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.207773 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.563926 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.0455277 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0488025 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0780541 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0296812 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0145315 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.11036 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0354365 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0161369 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0360911 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.00382852 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0260852 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.00145065 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0176587 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0092671 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0259733 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.046953 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.054464 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0500786 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0110588 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.019818 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.019726 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.00356282 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.00880843 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0332033 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0298535 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0229467 # DEPENDENCYPART_SIBL
(8,12),(8,20),0.0266413 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.00737881 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.00685609 # DEPENDENCYPART_SIBL
(8,14),(8,20),-0.00470274 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0137944 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0394023 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0364782 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0105425 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0395383 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.0485682 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0285802 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0322261 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.109764 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0285025 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0638424 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.00620443 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0825615 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0700698 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0894105 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.106375 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.000850047 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0240987 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.00146213 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0321668 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0876727 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0342217 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.00464119 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.00335503 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0693961 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0316104 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.000520271 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0227047 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0297362 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0293911 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0266711 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.000756203 # DEPENDENCYPART_SIBL
(10,3),(10,17),0.0297362 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.013526 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.00859434 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0122897 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0411116 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0164825 # DEPENDENCYPART_SIBL
(10,3),(10,25),0.0424602 # DEPENDENCYPART_SIBL
(10,3),(10,30),0.0551605 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0205678 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0286506 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0172477 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.00904263 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0152321 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0286974 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.137771 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0369378 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.105071 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0451194 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.137771 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0564691 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0373928 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0634994 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.0320198 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.0956858 # DEPENDENCYPART_SIBL
(10,4),(10,25),-0.0975722 # DEPENDENCYPART_SIBL
(10,4),(10,30),0.0267786 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0298275 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0347475 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0222251 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.00809138 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0203095 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0654256 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.452836 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0281318 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.000406318 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0654256 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.00158845 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.00690049 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.00834557 # DEPENDENCYPART_SIBL
(10,5),(10,22),0.00193871 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0854022 # DEPENDENCYPART_SIBL
(10,5),(10,25),-0.0229055 # DEPENDENCYPART_SIBL
(10,5),(10,30),0.0338679 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.00294928 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0224615 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.00541767 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0165605 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0372458 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0149409 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0145973 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.00031676 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0372458 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0119625 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.00796987 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0164994 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.011166 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.0383598 # DEPENDENCYPART_SIBL
(10,6),(10,25),-0.0366145 # DEPENDENCYPART_SIBL
(10,6),(10,30),0.0320411 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.123371 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.202532 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0215212 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.061136 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.02231 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.022609 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.00270667 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.061136 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.000569254 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0104333 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0196357 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.00930056 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0954046 # DEPENDENCYPART_SIBL
(10,7),(10,25),-0.0116097 # DEPENDENCYPART_SIBL
(10,7),(10,30),0.00626867 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0163999 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0052711 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00625017 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.000815695 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.050303 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0110942 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00625017 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0846445 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.00338378 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0380055 # DEPENDENCYPART_SIBL
(10,8),(10,22),0.000762869 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0318473 # DEPENDENCYPART_SIBL
(10,8),(10,25),0.0010674 # DEPENDENCYPART_SIBL
(10,8),(10,30),0.00960099 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0731523 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0777635 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0682781 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0308017 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0529191 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0777635 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.028854 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0606457 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0488278 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0472793 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.0663443 # DEPENDENCYPART_SIBL
(10,9),(10,25),0.039241 # DEPENDENCYPART_SIBL
(10,9),(10,30),-0.244548 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.00181286 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.012843 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00789393 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0282118 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.00181286 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0337099 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0282177 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0409005 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0400201 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0291139 # DEPENDENCYPART_SIBL
(10,11),(10,25),0.0267403 # DEPENDENCYPART_SIBL
(10,11),(10,30),-0.0131279 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0418438 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0119565 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.00271311 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0319443 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.00962203 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.00271153 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.00214925 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.038326 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.0121417 # DEPENDENCYPART_SIBL
(10,12),(10,25),0.0201702 # DEPENDENCYPART_SIBL
(10,12),(10,30),0.00522725 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0023475 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0344223 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0144201 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.00157484 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0344223 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.00947445 # DEPENDENCYPART_SIBL
