# _root_ For the year ended March 31 , Dentsu sales rose 19 % to $ 8.9 billion from $ 7.5 billion , and net income jumped 59 % to $ 102 million from $ 64 million .
#goldHeads=22,3,1,3,4,5,22,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
#predictedHeads=10,3,1,3,4,5,10,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
(4,10),(4,17),-0.029563 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.0162271 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0410741 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.00809233 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.112301 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0428092 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0698194 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.0460873 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0709881 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.00104494 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.0477051 # DEPENDENCYPART_SIBL
(4,21),(4,22),0.0187784 # DEPENDENCYPART_SIBL
(4,21),(4,25),0.0667367 # DEPENDENCYPART_SIBL
(4,22),(4,25),0.0127755 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0151855 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.119255 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.137606 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0024541 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0147899 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0243716 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0996808 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.163357 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0537927 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0024541 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.00905082 # DEPENDENCYPART_SIBL
(5,2),(5,36),-0.116737 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.017279 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0903336 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0286286 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00374486 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0223965 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0602303 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0950412 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0360253 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0286286 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00129075 # DEPENDENCYPART_SIBL
(5,3),(5,36),0.0154082 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0973561 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0216824 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0239468 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0346087 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0318788 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.107527 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.055405 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0216824 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.010794 # DEPENDENCYPART_SIBL
(5,4),(5,36),0.0404807 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.129902 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0800329 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.088852 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0569809 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0836105 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0703551 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.129902 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.062087 # DEPENDENCYPART_SIBL
(5,6),(5,36),-0.0151716 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0266986 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00702621 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.03856 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.000387614 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0125693 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0181623 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.00536533 # DEPENDENCYPART_SIBL
(5,7),(5,36),0.00871583 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.026084 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00726759 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0284948 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.00944786 # DEPENDENCYPART_SIBL
(5,8),(5,21),-0.0165109 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0402994 # DEPENDENCYPART_SIBL
(5,8),(5,36),0.0314932 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0150169 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0318327 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00685558 # DEPENDENCYPART_SIBL
(5,9),(5,21),-0.0357815 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0436056 # DEPENDENCYPART_SIBL
(5,9),(5,36),0.0211759 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0363593 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0372625 # DEPENDENCYPART_SIBL
(5,10),(5,21),-0.0133269 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0296794 # DEPENDENCYPART_SIBL
(5,10),(5,36),0.0158275 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0391542 # DEPENDENCYPART_SIBL
(5,11),(5,21),-0.048877 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0316769 # DEPENDENCYPART_SIBL
(5,11),(5,36),0.0178391 # DEPENDENCYPART_SIBL
(5,12),(5,21),0.0110175 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0454478 # DEPENDENCYPART_SIBL
(5,12),(5,36),0.0395191 # DEPENDENCYPART_SIBL
(5,21),(5,22),0.00536533 # DEPENDENCYPART_SIBL
(5,21),(5,36),0.00871583 # DEPENDENCYPART_SIBL
(5,22),(5,36),0.0127622 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.00785368 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0294514 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0703822 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0916441 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0988651 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0239241 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0195458 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0943016 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0282354 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0575555 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.101199 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0406781 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0804306 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0796489 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00739758 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0426148 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00287544 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0897433 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.027428 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.027793 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.00514836 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0694395 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00322464 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0268103 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.00673141 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0153338 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0256674 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0238282 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.000627409 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0251927 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.00577921 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0276487 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0151134 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0141625 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0284342 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0152474 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0148719 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0393913 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0740822 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0484018 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0379987 # DEPENDENCYPART_SIBL
(9,1),(9,36),0.0211318 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0307759 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.105486 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0575131 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0458938 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.00228732 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0333918 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0876607 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.171066 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0618366 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0126336 # DEPENDENCYPART_SIBL
(9,2),(9,36),-0.127445 # DEPENDENCYPART_SIBL
(9,3),(9,4),0.0125347 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0255825 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.024426 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.0285105 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0215297 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0696546 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0924191 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0329369 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0835481 # DEPENDENCYPART_SIBL
(9,3),(9,36),0.00625707 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0453759 # DEPENDENCYPART_SIBL
(9,4),(9,6),-2.83565e-05 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0801165 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0392747 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.030201 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0988216 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0446344 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0203433 # DEPENDENCYPART_SIBL
(9,4),(9,36),0.0482993 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0109239 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0472099 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.00317615 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0313034 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0713393 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0110354 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0622502 # DEPENDENCYPART_SIBL
(9,5),(9,36),0.0089944 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.00601886 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0411611 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0384064 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0114901 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0581602 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.030469 # DEPENDENCYPART_SIBL
(9,6),(9,36),-0.0132276 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0366729 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0205025 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.130263 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0366282 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0465488 # DEPENDENCYPART_SIBL
(9,7),(9,36),0.0141005 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0425309 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0768547 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00962176 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0672704 # DEPENDENCYPART_SIBL
(9,8),(9,36),0.00951528 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0309496 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.049624 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0235612 # DEPENDENCYPART_SIBL
(9,10),(9,36),-0.0154067 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0249665 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.00789394 # DEPENDENCYPART_SIBL
(9,11),(9,36),0.0196018 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0166692 # DEPENDENCYPART_SIBL
(9,12),(9,36),0.0211398 # DEPENDENCYPART_SIBL
(9,13),(9,36),0.0559103 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0726396 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0368661 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.045613 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0686514 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.155323 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.065122 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.062376 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.0408749 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.0279088 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0323498 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0844412 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0410805 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0292965 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0844412 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.0126628 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.0127168 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.024453 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.0296264 # DEPENDENCYPART_SIBL
(10,1),(10,32),-0.0292965 # DEPENDENCYPART_SIBL
(10,1),(10,36),-0.00463059 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0348852 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.00346827 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0114022 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.159208 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0159158 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0236859 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.00176028 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0121714 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0988425 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0646896 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.00541948 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0218271 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0646896 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.0249666 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0180821 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.00342772 # DEPENDENCYPART_SIBL
(10,3),(10,25),-0.00728138 # DEPENDENCYPART_SIBL
(10,3),(10,32),-0.0218271 # DEPENDENCYPART_SIBL
(10,3),(10,36),0.0476579 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.00415685 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0258372 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0506592 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00460686 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.00871623 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0427571 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0128611 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0238288 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0207499 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.043016 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0283435 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0207499 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.0134749 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.0113308 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0108577 # DEPENDENCYPART_SIBL
(10,4),(10,25),0.0158741 # DEPENDENCYPART_SIBL
(10,4),(10,32),0.0283435 # DEPENDENCYPART_SIBL
(10,4),(10,36),0.0244272 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0436055 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0955928 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0685009 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0590078 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0218757 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0152043 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.072772 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.102168 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0182165 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0211597 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.102168 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.0260104 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0184105 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0355548 # DEPENDENCYPART_SIBL
(10,5),(10,25),-0.025852 # DEPENDENCYPART_SIBL
(10,5),(10,32),-0.0211597 # DEPENDENCYPART_SIBL
(10,5),(10,36),-0.000698496 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.00982993 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0114185 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.000942589 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0283336 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0309236 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0408463 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0290178 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0286967 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0996267 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0290178 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0536366 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0244525 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.0208261 # DEPENDENCYPART_SIBL
(10,6),(10,25),-0.116976 # DEPENDENCYPART_SIBL
(10,6),(10,32),-0.0996267 # DEPENDENCYPART_SIBL
(10,6),(10,36),-0.0437232 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0439677 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.101647 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0203065 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0773505 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0937809 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0449092 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0205322 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.013727 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0449092 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.213249 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.0173519 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.0259607 # DEPENDENCYPART_SIBL
(10,7),(10,25),0.0535909 # DEPENDENCYPART_SIBL
(10,7),(10,32),0.013727 # DEPENDENCYPART_SIBL
(10,7),(10,36),0.086069 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0631794 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.013702 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.00388647 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0815702 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0940843 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0100428 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0116882 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0940843 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.0173238 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.00634204 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0232353 # DEPENDENCYPART_SIBL
(10,8),(10,25),-0.0165129 # DEPENDENCYPART_SIBL
(10,8),(10,32),-0.0116882 # DEPENDENCYPART_SIBL
(10,8),(10,36),0.0149055 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0271769 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0173526 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.156007 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0373712 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0308361 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.118101 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0373712 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0868773 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0610324 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.02817 # DEPENDENCYPART_SIBL
(10,9),(10,25),0.0182675 # DEPENDENCYPART_SIBL
(10,9),(10,32),0.118101 # DEPENDENCYPART_SIBL
(10,9),(10,36),0.0795821 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.041143 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0738488 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.00717257 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0229389 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0178898 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.00717257 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0206435 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.00346543 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0337604 # DEPENDENCYPART_SIBL
(10,11),(10,25),-0.0237655 # DEPENDENCYPART_SIBL
(10,11),(10,32),-0.0178898 # DEPENDENCYPART_SIBL
(10,11),(10,36),0.0171112 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0802294 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0400969 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0111221 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.118332 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0400969 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.0959107 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0336289 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.0112271 # DEPENDENCYPART_SIBL
(10,12),(10,25),0.0147667 # DEPENDENCYPART_SIBL
(10,12),(10,32),0.118332 # DEPENDENCYPART_SIBL
(10,12),(10,36),0.028877 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0338857 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0167472 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.234357 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0338857 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.0528397 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0039536 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0134559 # DEPENDENCYPART_SIBL
(10,13),(10,25),0.017585 # DEPENDENCYPART_SIBL
(10,13),(10,32),0.234357 # DEPENDENCYPART_SIBL
(10,13),(10,36),0.0900578 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0596209 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0112093 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.06201 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0195017 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0237206 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.0305616 # DEPENDENCYPART_SIBL
(10,14),(10,25),-0.0657984 # DEPENDENCYPART_SIBL
(10,14),(10,32),-0.0112093 # DEPENDENCYPART_SIBL
(10,14),(10,36),-0.013488 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0191648 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.00743032 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0150169 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.00320768 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.0370147 # DEPENDENCYPART_SIBL
(10,15),(10,25),-0.0240217 # DEPENDENCYPART_SIBL
(10,15),(10,32),-0.0191648 # DEPENDENCYPART_SIBL
(10,15),(10,36),0.0169079 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0581443 # DEPENDENCYPART_SIBL
(10,17),(10,21),0.0372282 # DEPENDENCYPART_SIBL
(10,17),(10,22),-0.021561 # DEPENDENCYPART_SIBL
(10,17),(10,23),-0.0138752 # DEPENDENCYPART_SIBL
(10,17),(10,25),-0.0122117 # DEPENDENCYPART_SIBL
(10,17),(10,32),-0.0552785 # DEPENDENCYPART_SIBL
(10,17),(10,36),0.0307423 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0195017 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.0237206 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.0305616 # DEPENDENCYPART_SIBL
(10,18),(10,25),-0.0657984 # DEPENDENCYPART_SIBL
(10,18),(10,32),-0.0112093 # DEPENDENCYPART_SIBL
(10,18),(10,36),-0.013488 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.0288606 # DEPENDENCYPART_SIBL
(10,21),(10,23),0.0265328 # DEPENDENCYPART_SIBL
(10,21),(10,25),0.0257509 # DEPENDENCYPART_SIBL
(10,21),(10,32),0.0402728 # DEPENDENCYPART_SIBL
(10,21),(10,36),0.0657565 # DEPENDENCYPART_SIBL
(10,22),(10,23),-0.0285522 # DEPENDENCYPART_SIBL
(10,22),(10,25),-0.0402431 # DEPENDENCYPART_SIBL
(10,22),(10,32),0.0205529 # DEPENDENCYPART_SIBL
(10,22),(10,36),0.00581016 # DEPENDENCYPART_SIBL
(10,23),(10,25),-0.0307299 # DEPENDENCYPART_SIBL
(10,23),(10,32),-0.0113353 # DEPENDENCYPART_SIBL
(10,23),(10,36),-0.00885527 # DEPENDENCYPART_SIBL
(10,25),(10,32),-0.0245416 # DEPENDENCYPART_SIBL
(10,25),(10,36),0.0251677 # DEPENDENCYPART_SIBL
(10,32),(10,36),0.0307423 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0219133 # DEPENDENCYPART_SIBL
