# _root_ He said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs U.S. seed producers about $ 70 million annually .
#goldHeads=2,0,18,12,12,7,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,24,29,24,32,32,29,34,29,34,34,29,2,
#predictedHeads=2,0,18,12,12,9,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,26,29,26,32,32,29,34,29,34,34,34,2,
(5,3),(5,18),-0.00239079 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0744389 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0749002 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.158798 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.158887 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0713817 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.1589 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0470603 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00738424 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0315711 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.030493 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0209132 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0304205 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0037288 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0492361 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0492345 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0397692 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0492345 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0167283 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0886257 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0327541 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0878399 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.034284 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0318736 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0875263 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0339751 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0289481 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.0030988 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0339751 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00152875 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0445597 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0368519 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0469761 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0458267 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0204716 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.136715 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0461225 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.109216 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.103319 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00721882 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.137763 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.13782 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00572316 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.107346 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.137833 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0638203 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0241451 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0770459 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0761858 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0322367 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0931952 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0761923 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0699358 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0262703 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0262797 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0184958 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.095499 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0262797 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.022668 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0419305 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0219364 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0131962 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0411447 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.0147386 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0213543 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0131463 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0411296 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.00896418 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0604074 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.00645089 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0435076 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0337119 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0499141 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.00896418 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0101377 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0145755 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0138424 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.173604 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0824959 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.160492 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0280715 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0242897 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0181622 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.023939 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0268808 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00994529 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0268925 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0114236 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0450995 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0163316 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0267391 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0161109 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0279876 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0109413 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0832216 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0002893 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0163755 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.01405 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0681497 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0798236 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0507343 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0379922 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0280723 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0247545 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0187519 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00480199 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0611848 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0150704 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0622463 # DEPENDENCYPART_SIBL
(9,3),(9,18),0.0502358 # DEPENDENCYPART_SIBL
(9,3),(9,27),-0.0150704 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.173596 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0824876 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.160484 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.140935 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.0242899 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.000425934 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0128079 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0283203 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0159684 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0281162 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.016862 # DEPENDENCYPART_SIBL
(9,4),(9,27),-0.0159684 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0239385 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0268803 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0375125 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0268933 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0291606 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.040417 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0101731 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00128932 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.00976761 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0612906 # DEPENDENCYPART_SIBL
(9,5),(9,27),-0.00128932 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0450912 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0335265 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0267393 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0338472 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0194641 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0165804 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.00358693 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.0163764 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00501104 # DEPENDENCYPART_SIBL
(9,6),(9,27),-0.00358693 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0817957 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0152161 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.109475 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0636613 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0234249 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.00715035 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0229492 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.140478 # DEPENDENCYPART_SIBL
(9,7),(9,27),0.00715035 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.013419 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.00910753 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0130699 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0134992 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0439498 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0118194 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.018054 # DEPENDENCYPART_SIBL
(9,8),(9,27),0.0439498 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0140496 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0333168 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0160084 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.00257223 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0193048 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.00368796 # DEPENDENCYPART_SIBL
(9,10),(9,27),-0.00257223 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0158233 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0103725 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.024492 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.00732605 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0173119 # DEPENDENCYPART_SIBL
(9,11),(9,27),0.024492 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.000769035 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.0561628 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.00381548 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0145477 # DEPENDENCYPART_SIBL
(9,12),(9,27),0.0561628 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0159306 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.00923205 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0113043 # DEPENDENCYPART_SIBL
(9,13),(9,27),0.0159306 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0472015 # DEPENDENCYPART_SIBL
(9,14),(9,18),0.0379565 # DEPENDENCYPART_SIBL
(9,14),(9,27),0.0393972 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.00570431 # DEPENDENCYPART_SIBL
(9,17),(9,27),0.02923 # DEPENDENCYPART_SIBL
(9,18),(9,27),0.0259971 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0155903 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.018536 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0185306 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0866657 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0935397 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0778297 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0771694 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0304082 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.00133959 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00075957 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.00167943 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.025894 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0538812 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0539906 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.00160562 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.037595 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0395345 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0262385 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.189218 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.187288 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0222437 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0365302 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0232342 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.194898 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.192968 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.018729 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0232289 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0263407 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.026092 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.0229285 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0309221 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0306734 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0223821 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0394525 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.000556547 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.00170794 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0254132 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.0283909 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0215059 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.0351838 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0200255 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.0212137 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0282029 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.0346178 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.042025 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0938599 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.079753 # DEPENDENCYPART_SIBL
(11,2),(11,38),0.0386502 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0398626 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.000145187 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0062271 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.00905155 # DEPENDENCYPART_SIBL
(11,3),(11,9),0.00779763 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.00789814 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.00864 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0345901 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0748667 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.00218224 # DEPENDENCYPART_SIBL
(11,3),(11,38),-0.0918681 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.016905 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.0120679 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0547253 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0535023 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.025407 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0276862 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.00641953 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0939074 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.0214391 # DEPENDENCYPART_SIBL
(11,5),(11,38),-0.0522117 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.00675194 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.015979 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0175121 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0207973 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0134747 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.015428 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0535297 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0739776 # DEPENDENCYPART_SIBL
(11,6),(11,38),0.0170073 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0196029 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0214449 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0370141 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0601409 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0352927 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0949211 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.0492632 # DEPENDENCYPART_SIBL
(11,7),(11,38),0.0685701 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.099122 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0296031 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.044701 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0187304 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.00264377 # DEPENDENCYPART_SIBL
(11,8),(11,18),0.000523026 # DEPENDENCYPART_SIBL
(11,8),(11,38),0.0146348 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.0297399 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0443878 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0123126 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0048818 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.00463402 # DEPENDENCYPART_SIBL
(11,9),(11,38),0.019126 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0275058 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0239487 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.062259 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0807246 # DEPENDENCYPART_SIBL
(11,10),(11,38),0.047041 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0385979 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0209751 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0860867 # DEPENDENCYPART_SIBL
(11,12),(11,38),0.00989875 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.00811769 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0449711 # DEPENDENCYPART_SIBL
(11,13),(11,38),-0.00239828 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0103581 # DEPENDENCYPART_SIBL
(11,14),(11,38),0.00918666 # DEPENDENCYPART_SIBL
(11,18),(11,38),0.0187884 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.0390865 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0498403 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.0275032 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.0349941 # DEPENDENCYPART_SIBL
(12,2),(12,7),-0.0214616 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0303698 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.0332556 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0413641 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0524291 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0811061 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0874455 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0837375 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.000231716 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0956845 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.116801 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0486996 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.0519831 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0677288 # DEPENDENCYPART_SIBL
(12,2),(12,27),-0.0874455 # DEPENDENCYPART_SIBL
(12,2),(12,29),-0.0747755 # DEPENDENCYPART_SIBL
(12,2),(12,38),0.0192621 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0497698 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0532612 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.00995592 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0263872 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.00964034 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0125937 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.00183378 # DEPENDENCYPART_SIBL
(12,3),(12,11),0.0298828 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0235432 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0342475 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0347513 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.0178584 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0352771 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.0143843 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0125435 # DEPENDENCYPART_SIBL
(12,3),(12,21),0.0291643 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.0485252 # DEPENDENCYPART_SIBL
(12,3),(12,27),-0.0342475 # DEPENDENCYPART_SIBL
(12,3),(12,29),-0.0374621 # DEPENDENCYPART_SIBL
(12,3),(12,38),-0.119062 # DEPENDENCYPART_SIBL
(12,4),(12,5),0.171595 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.0349697 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0241588 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.00731689 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.00394858 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.00308585 # DEPENDENCYPART_SIBL
(12,4),(12,11),0.00623036 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0537735 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0578191 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0647728 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.00173269 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0651014 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.118736 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.00464029 # DEPENDENCYPART_SIBL
(12,4),(12,21),-0.0233739 # DEPENDENCYPART_SIBL
(12,4),(12,22),-0.0964811 # DEPENDENCYPART_SIBL
(12,4),(12,27),-0.0578191 # DEPENDENCYPART_SIBL
(12,4),(12,29),-0.0358114 # DEPENDENCYPART_SIBL
(12,4),(12,38),-0.0315573 # DEPENDENCYPART_SIBL
(12,5),(12,6),0.00606243 # DEPENDENCYPART_SIBL
(12,5),(12,7),0.0288046 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0358743 # DEPENDENCYPART_SIBL
(12,5),(12,9),0.0329518 # DEPENDENCYPART_SIBL
(12,5),(12,10),0.0146432 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.00779826 # DEPENDENCYPART_SIBL
(12,5),(12,13),-0.0099466 # DEPENDENCYPART_SIBL
(12,5),(12,14),-0.0672581 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0258261 # DEPENDENCYPART_SIBL
(12,5),(12,16),0.030593 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.0210244 # DEPENDENCYPART_SIBL
(12,5),(12,18),-0.00844155 # DEPENDENCYPART_SIBL
(12,5),(12,19),0.0204459 # DEPENDENCYPART_SIBL
(12,5),(12,21),0.039598 # DEPENDENCYPART_SIBL
(12,5),(12,22),-0.00463006 # DEPENDENCYPART_SIBL
(12,5),(12,27),-0.0672581 # DEPENDENCYPART_SIBL
(12,5),(12,29),-0.00623047 # DEPENDENCYPART_SIBL
(12,5),(12,38),-0.0903692 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.00116082 # DEPENDENCYPART_SIBL
(12,6),(12,8),-0.0142027 # DEPENDENCYPART_SIBL
(12,6),(12,9),-0.017571 # DEPENDENCYPART_SIBL
(12,6),(12,10),-0.013838 # DEPENDENCYPART_SIBL
(12,6),(12,11),0.00246749 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0727351 # DEPENDENCYPART_SIBL
(12,6),(12,14),-0.0297642 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.062732 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0181344 # DEPENDENCYPART_SIBL
(12,6),(12,17),-0.0840629 # DEPENDENCYPART_SIBL
(12,6),(12,18),-0.107982 # DEPENDENCYPART_SIBL
(12,6),(12,19),0.0100822 # DEPENDENCYPART_SIBL
(12,6),(12,21),-0.0421703 # DEPENDENCYPART_SIBL
(12,6),(12,22),-0.0469781 # DEPENDENCYPART_SIBL
(12,6),(12,27),-0.0297642 # DEPENDENCYPART_SIBL
(12,6),(12,29),-0.0210889 # DEPENDENCYPART_SIBL
(12,6),(12,38),0.00739536 # DEPENDENCYPART_SIBL
(12,7),(12,8),-0.0585043 # DEPENDENCYPART_SIBL
(12,7),(12,9),-0.0620438 # DEPENDENCYPART_SIBL
(12,7),(12,10),-0.0703975 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0815753 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.00719224 # DEPENDENCYPART_SIBL
(12,7),(12,14),0.0767537 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0305908 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.00137663 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0174961 # DEPENDENCYPART_SIBL
(12,7),(12,18),-0.00851528 # DEPENDENCYPART_SIBL
(12,7),(12,19),-0.0934988 # DEPENDENCYPART_SIBL
(12,7),(12,21),0.0104223 # DEPENDENCYPART_SIBL
(12,7),(12,22),0.0848682 # DEPENDENCYPART_SIBL
(12,7),(12,27),0.0767537 # DEPENDENCYPART_SIBL
