# _root_ `` It 's impossible to overstate how much this means to the families of these patients , '' said Samuel Broder , director of the National Cancer Institute and a main developer of AZT .
#goldHeads=19,3,19,3,6,3,8,10,10,6,10,13,11,13,16,14,19,19,0,21,19,21,29,23,28,28,28,24,21,32,32,29,32,33,19,
#predictedHeads=19,3,19,3,6,3,10,7,10,6,10,13,11,13,16,14,19,19,0,21,19,21,21,23,28,28,28,29,24,32,32,29,32,33,19,
(6,2),(6,7),-0.0403765 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0153973 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0246489 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0871939 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.189392 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0137926 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0540489 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0105477 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0611373 # DEPENDENCYPART_SIBL
(6,2),(6,18),-0.02231 # DEPENDENCYPART_SIBL
(6,2),(6,22),-0.0611373 # DEPENDENCYPART_SIBL
(6,2),(6,29),-0.0196022 # DEPENDENCYPART_SIBL
(6,2),(6,35),0.00626777 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0261512 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00506215 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0329252 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0404576 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0485874 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0451546 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0423556 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0187089 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0437366 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.015389 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0333244 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.0561436 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0333244 # DEPENDENCYPART_SIBL
(6,3),(6,29),-0.0149115 # DEPENDENCYPART_SIBL
(6,3),(6,35),0.0559272 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0216698 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00871597 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0668833 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00980455 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00606939 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0216867 # DEPENDENCYPART_SIBL
(6,4),(6,13),-1.47432e-05 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0292317 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.00311202 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.00625146 # DEPENDENCYPART_SIBL
(6,4),(6,18),-0.000815683 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.00625146 # DEPENDENCYPART_SIBL
(6,4),(6,29),0.038039 # DEPENDENCYPART_SIBL
(6,4),(6,35),0.0096001 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0743204 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0311356 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0304276 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0408616 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.107504 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0748252 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0588214 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0645569 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0667129 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0572263 # DEPENDENCYPART_SIBL
(6,5),(6,22),-0.0667129 # DEPENDENCYPART_SIBL
(6,5),(6,29),0.0599769 # DEPENDENCYPART_SIBL
(6,5),(6,35),-0.233497 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0570746 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0148005 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.024471 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0138328 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0349998 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0297548 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0367303 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0142202 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0307593 # DEPENDENCYPART_SIBL
(6,7),(6,22),-0.0142202 # DEPENDENCYPART_SIBL
(6,7),(6,29),-0.0260639 # DEPENDENCYPART_SIBL
(6,7),(6,35),-0.0441209 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0346013 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.048851 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0350083 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0452492 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0112605 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.055741 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0118993 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.0386099 # DEPENDENCYPART_SIBL
(6,8),(6,22),-0.0118993 # DEPENDENCYPART_SIBL
(6,8),(6,29),-0.0513646 # DEPENDENCYPART_SIBL
(6,8),(6,35),-0.061075 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00709757 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.000130783 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.00562284 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.00299999 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.00734621 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0146657 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.00879116 # DEPENDENCYPART_SIBL
(6,9),(6,22),-0.0146657 # DEPENDENCYPART_SIBL
(6,9),(6,29),-0.0112985 # DEPENDENCYPART_SIBL
(6,9),(6,35),0.0226531 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0354433 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0173363 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0231283 # DEPENDENCYPART_SIBL
(6,10),(6,16),-0.0190663 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.00655562 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.0179844 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.00655562 # DEPENDENCYPART_SIBL
(6,10),(6,29),-0.0594343 # DEPENDENCYPART_SIBL
(6,10),(6,35),0.0295478 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0211969 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0407637 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0298133 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.00409592 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0400864 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.00409592 # DEPENDENCYPART_SIBL
(6,11),(6,29),-0.0454325 # DEPENDENCYPART_SIBL
(6,11),(6,35),-0.0065769 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0014738 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0235398 # DEPENDENCYPART_SIBL
(6,13),(6,17),0.012654 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0100404 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.012654 # DEPENDENCYPART_SIBL
(6,13),(6,29),-0.0322961 # DEPENDENCYPART_SIBL
(6,13),(6,35),-0.00186493 # DEPENDENCYPART_SIBL
(6,14),(6,16),-0.0297732 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0257858 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0983245 # DEPENDENCYPART_SIBL
(6,14),(6,22),-0.0257858 # DEPENDENCYPART_SIBL
(6,14),(6,29),-0.0546327 # DEPENDENCYPART_SIBL
(6,14),(6,35),-0.0391451 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.00912851 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0135592 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.00912851 # DEPENDENCYPART_SIBL
(6,16),(6,29),-0.0358147 # DEPENDENCYPART_SIBL
(6,16),(6,35),-0.00743352 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0418233 # DEPENDENCYPART_SIBL
(6,17),(6,22),0.0318904 # DEPENDENCYPART_SIBL
(6,17),(6,29),-0.002009 # DEPENDENCYPART_SIBL
(6,17),(6,35),0.00520424 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.014452 # DEPENDENCYPART_SIBL
(6,18),(6,29),0.00963518 # DEPENDENCYPART_SIBL
(6,18),(6,35),-0.0696852 # DEPENDENCYPART_SIBL
(6,22),(6,29),-0.002009 # DEPENDENCYPART_SIBL
(6,22),(6,35),0.00520424 # DEPENDENCYPART_SIBL
(6,29),(6,35),0.00499408 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0671232 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0622671 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0381081 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0099938 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.00194955 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0118787 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0543432 # DEPENDENCYPART_SIBL
(8,4),(8,23),-0.00404369 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0208987 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0736268 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.183072 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0445433 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0373317 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.00118628 # DEPENDENCYPART_SIBL
(8,5),(8,23),0.0545822 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0679496 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0352001 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0134696 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0512193 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00943672 # DEPENDENCYPART_SIBL
(8,7),(8,23),0.0167229 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.000478756 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0548847 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0415171 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0571619 # DEPENDENCYPART_SIBL
(8,10),(8,23),0.0542627 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0326386 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0231096 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0173358 # DEPENDENCYPART_SIBL
(8,11),(8,23),0.0326392 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.0163327 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.00242989 # DEPENDENCYPART_SIBL
(8,13),(8,23),0.014556 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.00475547 # DEPENDENCYPART_SIBL
(8,14),(8,23),0.101085 # DEPENDENCYPART_SIBL
(8,18),(8,23),0.0735601 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0807748 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0683106 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.018756 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.00385026 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0337722 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0743635 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0504418 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.00110341 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0181157 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.018366 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0266956 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0402724 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0236464 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.108356 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.502802 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0336149 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.108356 # DEPENDENCYPART_SIBL
(10,1),(10,29),0.0104484 # DEPENDENCYPART_SIBL
(10,1),(10,35),0.071647 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0199034 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.121378 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.207763 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0012119 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.00468603 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0874622 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0107609 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.158306 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0150224 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0392194 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0285184 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.0359746 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.00867637 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0373184 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0948393 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.00867637 # DEPENDENCYPART_SIBL
(10,2),(10,29),0.00644055 # DEPENDENCYPART_SIBL
(10,2),(10,35),0.0541331 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0286436 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.00501235 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.033556 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0590912 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0343836 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0142101 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0449198 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0640537 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.00715768 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.051486 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.00383781 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0274311 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0437854 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.00601283 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.0274311 # DEPENDENCYPART_SIBL
(10,3),(10,29),-0.0225088 # DEPENDENCYPART_SIBL
(10,3),(10,35),0.0647856 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.021482 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0180099 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0557766 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0299641 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.062223 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0241193 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0426187 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.00873253 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0368372 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0118298 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.000226898 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.0116742 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0327669 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.000226898 # DEPENDENCYPART_SIBL
(10,4),(10,29),0.0300699 # DEPENDENCYPART_SIBL
(10,4),(10,35),0.0181877 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0152662 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0258256 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0190047 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.00308408 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.10396 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0154798 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0648238 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0712409 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0545555 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0617395 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0457878 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0254571 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0617395 # DEPENDENCYPART_SIBL
(10,5),(10,29),0.051944 # DEPENDENCYPART_SIBL
(10,5),(10,35),-0.22596 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0597206 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0396332 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0174038 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0455422 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0639554 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.00888775 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0392195 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0122076 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0427267 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.00828812 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0126559 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0427267 # DEPENDENCYPART_SIBL
(10,6),(10,29),-0.02653 # DEPENDENCYPART_SIBL
(10,6),(10,35),0.0323685 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.033126 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00818537 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0457486 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0388279 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0986239 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0736522 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0955736 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.106452 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0372873 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.189021 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.106452 # DEPENDENCYPART_SIBL
(10,7),(10,29),0.0157585 # DEPENDENCYPART_SIBL
(10,7),(10,35),-0.133973 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0812013 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00842034 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0401771 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0232806 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0369795 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0201834 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.00791437 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0117088 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0514134 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.00791437 # DEPENDENCYPART_SIBL
(10,8),(10,29),0.0374178 # DEPENDENCYPART_SIBL
(10,8),(10,35),0.0285181 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0526502 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0252161 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0215462 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.118216 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0168112 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0440341 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.103424 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0176388 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.0440341 # DEPENDENCYPART_SIBL
(10,9),(10,29),-0.0502877 # DEPENDENCYPART_SIBL
(10,9),(10,35),0.0807537 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0274913 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0191262 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0503389 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0277426 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.00696729 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0250198 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0125781 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.00696729 # DEPENDENCYPART_SIBL
(10,11),(10,29),-0.0467003 # DEPENDENCYPART_SIBL
(10,11),(10,35),-0.00448891 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0403053 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0654312 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0420287 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0366203 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.00139306 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0349586 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0366203 # DEPENDENCYPART_SIBL
(10,12),(10,29),-0.043821 # DEPENDENCYPART_SIBL
(10,12),(10,35),-0.0176949 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.026257 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0345828 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.00166118 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.00780981 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0367016 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.00166118 # DEPENDENCYPART_SIBL
(10,13),(10,29),-0.0464472 # DEPENDENCYPART_SIBL
(10,13),(10,35),-0.0171239 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0385094 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.0347122 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0940393 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0927453 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0347122 # DEPENDENCYPART_SIBL
(10,14),(10,29),-0.0666752 # DEPENDENCYPART_SIBL
(10,14),(10,35),-0.0509714 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.00186435 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.0113286 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0460147 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.00186435 # DEPENDENCYPART_SIBL
(10,16),(10,29),-0.0499658 # DEPENDENCYPART_SIBL
(10,16),(10,35),-0.0226925 # DEPENDENCYPART_SIBL
(10,17),(10,18),0.0691023 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.0025439 # DEPENDENCYPART_SIBL
(10,17),(10,22),0.0340522 # DEPENDENCYPART_SIBL
(10,17),(10,29),-0.00188006 # DEPENDENCYPART_SIBL
(10,17),(10,35),0.00807756 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.000532157 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.0115687 # DEPENDENCYPART_SIBL
(10,18),(10,29),0.00839357 # DEPENDENCYPART_SIBL
(10,18),(10,35),-0.0675854 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0535688 # DEPENDENCYPART_SIBL
(10,19),(10,29),-0.0368753 # DEPENDENCYPART_SIBL
(10,19),(10,35),0.0438445 # DEPENDENCYPART_SIBL
(10,22),(10,29),-0.00188006 # DEPENDENCYPART_SIBL
(10,22),(10,35),0.00807756 # DEPENDENCYPART_SIBL
(10,29),(10,35),-0.00447432 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0349498 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0200326 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0349426 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0153494 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.0352778 # DEPENDENCYPART_SIBL
(11,12),(11,24),-0.0200326 # DEPENDENCYPART_SIBL
(11,12),(11,29),-0.0460119 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.00758931 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0700385 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.0016439 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.0737821 # DEPENDENCYPART_SIBL
(11,13),(11,24),-0.00758931 # DEPENDENCYPART_SIBL
(11,13),(11,29),-0.0876719 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.0147713 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.0249344 # DEPENDENCYPART_SIBL
(11,14),(11,23),0.0143538 # DEPENDENCYPART_SIBL
(11,14),(11,24),-0.109145 # DEPENDENCYPART_SIBL
(11,14),(11,29),-0.0230826 # DEPENDENCYPART_SIBL
(11,16),(11,17),-0.00225015 # DEPENDENCYPART_SIBL
(11,16),(11,23),-0.0752957 # DEPENDENCYPART_SIBL
(11,16),(11,24),0.000487374 # DEPENDENCYPART_SIBL
(11,16),(11,29),-0.0882714 # DEPENDENCYPART_SIBL
(11,17),(11,23),0.0212976 # DEPENDENCYPART_SIBL
(11,17),(11,24),0.0714091 # DEPENDENCYPART_SIBL
(11,17),(11,29),-0.0240987 # DEPENDENCYPART_SIBL
(11,23),(11,24),-0.015238 # DEPENDENCYPART_SIBL
(11,23),(11,29),-0.0877849 # DEPENDENCYPART_SIBL
(11,24),(11,29),-0.0230826 # DEPENDENCYPART_SIBL
(13,7),(13,8),-0.0655832 # DEPENDENCYPART_SIBL
(13,7),(13,9),-0.058575 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0110223 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0203257 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.0662288 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.00334022 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.0107604 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.055504 # DEPENDENCYPART_SIBL
(13,7),(13,17),-0.0160215 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.0426678 # DEPENDENCYPART_SIBL
(13,7),(13,19),-0.0706831 # DEPENDENCYPART_SIBL
(13,7),(13,21),0.0558924 # DEPENDENCYPART_SIBL
(13,7),(13,22),-0.0160215 # DEPENDENCYPART_SIBL
(13,7),(13,23),0.0613053 # DEPENDENCYPART_SIBL
(13,7),(13,24),0.00334022 # DEPENDENCYPART_SIBL
(13,7),(13,32),0.0557223 # DEPENDENCYPART_SIBL
(13,7),(13,35),-0.0329044 # DEPENDENCYPART_SIBL
(13,8),(13,9),-0.100881 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0590592 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.00555847 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.136781 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0367252 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0375766 # DEPENDENCYPART_SIBL
