# _root_ On the other hand , so long as Mr. Gorbachev is easing his grip on his empire , everyone we 've heard agrees that the U.S. can benefit by engaging him .
#goldHeads=23,4,4,1,23,23,6,11,10,11,6,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
#predictedHeads=23,4,4,1,23,11,6,11,10,11,23,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
(6,4),(6,5),0.0698155 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0241556 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.111935 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.13097 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.147948 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0466352 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0561253 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0491655 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.205519 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.229008 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.233567 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.132112 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0727544 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0580427 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0461113 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0442261 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.108054 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0256468 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0341638 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0334347 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0284459 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.00329406 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0241392 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0361663 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0216667 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0362059 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0212751 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0220367 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.00161798 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0251 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0549925 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0286835 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.218235 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0476929 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.046288 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0229633 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0484944 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0271688 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0691245 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0204314 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.106476 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0497928 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0506743 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0063977 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0506876 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0870208 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0478655 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.105734 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.132306 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.149283 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0522258 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.152851 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0882743 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.188957 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.219526 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.224085 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.127956 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.224794 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.240332 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.117309 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.120847 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.191733 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.120248 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0270573 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0263282 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00127129 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0269803 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0168534 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.026293 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.016848 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0263325 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0157783 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.00672968 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0654737 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0559856 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0265071 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0111476 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0397392 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0361701 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.00599017 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0767075 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0207511 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0216408 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0622892 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0599055 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0236265 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0202532 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0211428 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0229779 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0189749 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.0231284 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0729409 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0256412 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0298266 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0714343 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0254312 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0296244 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0701287 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0186741 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0118288 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0087265 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0159152 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.0387283 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0178798 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.00744462 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.0256567 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.00626639 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.00488449 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.0164411 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0457731 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.211266 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.12855 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.136832 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0110536 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.0127703 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0107361 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0541204 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0017181 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0324381 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0760425 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.111838 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0974119 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0126701 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.00486016 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.00666138 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.01918 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0609559 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0461356 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0340392 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0157539 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0559682 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0337578 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0213759 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0388899 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0766682 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0159967 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00387798 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0862765 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.125118 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0356151 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.036919 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0248301 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.033086 # DEPENDENCYPART_SIBL
(11,1),(11,5),0.110941 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.056646 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0462174 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0762375 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0443334 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0383917 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0771113 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.081596 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0240198 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0805709 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.126233 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0946816 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.097422 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0729707 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0776443 # DEPENDENCYPART_SIBL
(11,1),(11,27),-0.0431955 # DEPENDENCYPART_SIBL
(11,1),(11,30),-0.0776516 # DEPENDENCYPART_SIBL
(11,1),(11,32),-0.0252369 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0748364 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0512585 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.118878 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.107155 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.100049 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0998485 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.072954 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0474477 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.145571 # DEPENDENCYPART_SIBL
(11,2),(11,14),-0.0705293 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.00816623 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0696647 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0038144 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0837948 # DEPENDENCYPART_SIBL
(11,2),(11,21),-0.158328 # DEPENDENCYPART_SIBL
(11,2),(11,22),-0.144729 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.138884 # DEPENDENCYPART_SIBL
(11,2),(11,27),-0.0253066 # DEPENDENCYPART_SIBL
(11,2),(11,30),-0.14609 # DEPENDENCYPART_SIBL
(11,2),(11,32),-0.138482 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.00980867 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0284282 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0604264 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0565841 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.034678 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0140784 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.00990688 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0979665 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0285223 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0854737 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.0276634 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.032989 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0423304 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.115463 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0975761 # DEPENDENCYPART_SIBL
(11,3),(11,23),-0.0983086 # DEPENDENCYPART_SIBL
(11,3),(11,27),-0.0380323 # DEPENDENCYPART_SIBL
(11,3),(11,30),-0.0983158 # DEPENDENCYPART_SIBL
(11,3),(11,32),-0.0142911 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0319995 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0263396 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.0384028 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0485113 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.170509 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.122746 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.0039247 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.093681 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.0477991 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0924799 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.014614 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.116702 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.0395707 # DEPENDENCYPART_SIBL
(11,4),(11,22),-0.00405963 # DEPENDENCYPART_SIBL
(11,4),(11,23),-0.00443547 # DEPENDENCYPART_SIBL
(11,4),(11,27),-0.0229278 # DEPENDENCYPART_SIBL
(11,4),(11,30),-0.00397357 # DEPENDENCYPART_SIBL
(11,4),(11,32),-0.0174958 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0546624 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0195085 # DEPENDENCYPART_SIBL
(11,5),(11,8),-0.0368614 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.0228161 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.00459548 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.0116722 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0117916 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0163302 # DEPENDENCYPART_SIBL
(11,5),(11,17),0.0129162 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.113677 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0139946 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0423724 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.0136747 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.0132171 # DEPENDENCYPART_SIBL
(11,5),(11,27),-0.0101818 # DEPENDENCYPART_SIBL
(11,5),(11,30),-0.0132246 # DEPENDENCYPART_SIBL
(11,5),(11,32),0.0401071 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0614331 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.00574482 # DEPENDENCYPART_SIBL
(11,6),(11,9),0.009749 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0133609 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0306133 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0524936 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.130686 # DEPENDENCYPART_SIBL
(11,6),(11,17),0.0533516 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0172524 # DEPENDENCYPART_SIBL
(11,6),(11,19),0.0438247 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.00480178 # DEPENDENCYPART_SIBL
(11,6),(11,22),0.0267033 # DEPENDENCYPART_SIBL
(11,6),(11,23),0.0277417 # DEPENDENCYPART_SIBL
(11,6),(11,27),0.019422 # DEPENDENCYPART_SIBL
(11,6),(11,30),0.0292778 # DEPENDENCYPART_SIBL
(11,6),(11,32),0.0567868 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.00264117 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.0102652 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0135996 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0549924 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0146785 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.0588376 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0138206 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0526771 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.0288051 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0808016 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0589024 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.0570923 # DEPENDENCYPART_SIBL
(11,7),(11,27),-0.0311934 # DEPENDENCYPART_SIBL
(11,7),(11,30),-0.0563279 # DEPENDENCYPART_SIBL
(11,7),(11,32),0.00500173 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0111737 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.00479926 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0392779 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0528212 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.0107627 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0517961 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.181454 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0659068 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0595967 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.0351373 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.0398108 # DEPENDENCYPART_SIBL
(11,8),(11,27),-0.0137923 # DEPENDENCYPART_SIBL
(11,8),(11,30),-0.0398182 # DEPENDENCYPART_SIBL
(11,8),(11,32),-0.113615 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.149653 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0447683 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.109653 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0122862 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.108448 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.00606864 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.132671 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0786981 # DEPENDENCYPART_SIBL
(11,9),(11,22),-0.0449033 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.0452791 # DEPENDENCYPART_SIBL
(11,9),(11,27),-0.0395968 # DEPENDENCYPART_SIBL
(11,9),(11,30),-0.0448172 # DEPENDENCYPART_SIBL
(11,9),(11,32),-0.0399673 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0183313 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0992606 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0530038 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.0980569 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0176483 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.122279 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0173147 # DEPENDENCYPART_SIBL
(11,10),(11,22),0.0181964 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.0178205 # DEPENDENCYPART_SIBL
(11,10),(11,27),-0.0138815 # DEPENDENCYPART_SIBL
(11,10),(11,30),0.0182824 # DEPENDENCYPART_SIBL
(11,10),(11,32),0.00931068 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0541922 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0668295 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.0538878 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0646391 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0556658 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0720437 # DEPENDENCYPART_SIBL
(11,12),(11,22),-0.0562313 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.0582198 # DEPENDENCYPART_SIBL
(11,12),(11,27),-0.00685674 # DEPENDENCYPART_SIBL
(11,12),(11,30),-0.0579147 # DEPENDENCYPART_SIBL
(11,12),(11,32),-0.00905173 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0425756 # DEPENDENCYPART_SIBL
(11,14),(11,17),-0.0455255 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.00700003 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.0470889 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0468105 # DEPENDENCYPART_SIBL
(11,14),(11,22),-0.0234549 # DEPENDENCYPART_SIBL
(11,14),(11,23),-0.0259028 # DEPENDENCYPART_SIBL
(11,14),(11,27),-0.0139577 # DEPENDENCYPART_SIBL
(11,14),(11,30),-0.02561 # DEPENDENCYPART_SIBL
(11,14),(11,32),0.00343472 # DEPENDENCYPART_SIBL
(11,15),(11,17),-0.0225581 # DEPENDENCYPART_SIBL
(11,15),(11,18),0.00376533 # DEPENDENCYPART_SIBL
(11,15),(11,19),-0.0244235 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.0288977 # DEPENDENCYPART_SIBL
(11,15),(11,22),-0.0168828 # DEPENDENCYPART_SIBL
(11,15),(11,23),-0.0164022 # DEPENDENCYPART_SIBL
(11,15),(11,27),0.00963269 # DEPENDENCYPART_SIBL
(11,15),(11,30),-0.015885 # DEPENDENCYPART_SIBL
(11,15),(11,32),-0.0254115 # DEPENDENCYPART_SIBL
(11,17),(11,18),-0.0065999 # DEPENDENCYPART_SIBL
(11,17),(11,19),-0.0466887 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0464104 # DEPENDENCYPART_SIBL
(11,17),(11,22),-0.0230548 # DEPENDENCYPART_SIBL
(11,17),(11,23),-0.0255026 # DEPENDENCYPART_SIBL
(11,17),(11,27),-0.0135575 # DEPENDENCYPART_SIBL
(11,17),(11,30),-0.0252099 # DEPENDENCYPART_SIBL
(11,17),(11,32),0.00383432 # DEPENDENCYPART_SIBL
(11,18),(11,19),0.0350113 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.0131211 # DEPENDENCYPART_SIBL
(11,18),(11,22),0.0280408 # DEPENDENCYPART_SIBL
(11,18),(11,23),0.029785 # DEPENDENCYPART_SIBL
(11,18),(11,27),0.130064 # DEPENDENCYPART_SIBL
(11,18),(11,30),0.0301327 # DEPENDENCYPART_SIBL
(11,18),(11,32),0.008903 # DEPENDENCYPART_SIBL
(11,19),(11,21),-0.0736969 # DEPENDENCYPART_SIBL
(11,19),(11,22),-0.0503413 # DEPENDENCYPART_SIBL
(11,19),(11,23),-0.0527892 # DEPENDENCYPART_SIBL
(11,19),(11,27),-0.0327948 # DEPENDENCYPART_SIBL
(11,19),(11,30),-0.0524964 # DEPENDENCYPART_SIBL
(11,19),(11,32),-0.0282206 # DEPENDENCYPART_SIBL
(11,21),(11,22),-0.0571033 # DEPENDENCYPART_SIBL
(11,21),(11,23),-0.0590918 # DEPENDENCYPART_SIBL
(11,21),(11,27),-0.00781788 # DEPENDENCYPART_SIBL
(11,21),(11,30),-0.0587867 # DEPENDENCYPART_SIBL
(11,21),(11,32),-0.0258417 # DEPENDENCYPART_SIBL
(11,22),(11,23),-0.0560836 # DEPENDENCYPART_SIBL
(11,22),(11,27),-0.00259692 # DEPENDENCYPART_SIBL
(11,22),(11,30),-0.0557785 # DEPENDENCYPART_SIBL
(11,22),(11,32),-0.00559988 # DEPENDENCYPART_SIBL
(11,23),(11,27),-0.000314686 # DEPENDENCYPART_SIBL
(11,23),(11,30),-0.0512365 # DEPENDENCYPART_SIBL
(11,23),(11,32),-0.00148115 # DEPENDENCYPART_SIBL
(11,27),(11,30),0.0136049 # DEPENDENCYPART_SIBL
(11,27),(11,32),0.00692961 # DEPENDENCYPART_SIBL
(11,30),(11,32),-0.00149509 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.0206652 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0246431 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.00975097 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.0236179 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.156893 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0376523 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0327107 # DEPENDENCYPART_SIBL
(12,8),(12,22),-0.00834195 # DEPENDENCYPART_SIBL
(12,8),(12,23),-0.0130155 # DEPENDENCYPART_SIBL
(12,8),(12,28),0.00592694 # DEPENDENCYPART_SIBL
(12,8),(12,29),-0.0191276 # DEPENDENCYPART_SIBL
(12,8),(12,30),-0.0130228 # DEPENDENCYPART_SIBL
(12,8),(12,32),-0.0767254 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0124503 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0550746 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0112465 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.00348015 # DEPENDENCYPART_SIBL
(12,10),(12,19),-0.0353926 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.010224 # DEPENDENCYPART_SIBL
(12,10),(12,22),0.0251964 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.0248206 # DEPENDENCYPART_SIBL
(12,10),(12,28),0.0385546 # DEPENDENCYPART_SIBL
(12,10),(12,29),-0.097154 # DEPENDENCYPART_SIBL
(12,10),(12,30),0.0252825 # DEPENDENCYPART_SIBL
(12,10),(12,32),0.0475038 # DEPENDENCYPART_SIBL
(12,14),(12,15),0.00308071 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0233833 # DEPENDENCYPART_SIBL
(12,14),(12,18),0.0123282 # DEPENDENCYPART_SIBL
(12,14),(12,19),-0.0249467 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.0335076 # DEPENDENCYPART_SIBL
(12,14),(12,22),-0.010152 # DEPENDENCYPART_SIBL
(12,14),(12,23),-0.0125999 # DEPENDENCYPART_SIBL
(12,14),(12,28),-0.0163502 # DEPENDENCYPART_SIBL
(12,14),(12,29),0.00918223 # DEPENDENCYPART_SIBL
(12,14),(12,30),-0.0123072 # DEPENDENCYPART_SIBL
(12,14),(12,32),-0.00741425 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.00962095 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.0270459 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0114864 # DEPENDENCYPART_SIBL
(12,15),(12,21),-0.0118357 # DEPENDENCYPART_SIBL
(12,15),(12,22),0.000179229 # DEPENDENCYPART_SIBL
