# _root_ In a statement prepared by lawyers for the university and Connaught , the parties said they agreed that as a result of reaching a C 415 million research accord , `` It is unnecessary that there be a judgment on the merits { of the case } at this time . ''
#goldHeads=15,3,1,3,4,5,4,9,10,7,10,15,14,15,0,17,15,33,33,21,19,21,22,29,29,25,25,29,23,33,33,33,17,33,37,37,33,39,37,39,42,40,42,42,46,44,42,37,50,48,15,15,
#predictedHeads=15,3,1,3,4,5,6,10,10,7,10,15,14,15,0,17,15,33,17,21,19,21,22,29,29,25,25,29,23,17,33,33,17,33,37,37,33,39,37,39,42,40,44,42,46,44,44,37,50,48,15,15,
(3,4),(3,6),-0.0200169 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.000324748 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0181097 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0275054 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0168219 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0124935 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00729915 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0501633 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0288389 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0055293 # DEPENDENCYPART_SIBL
(3,5),(3,12),-9.91028e-05 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0134819 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0319545 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0158982 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.039316 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.00911756 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0178429 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.033874 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.000901755 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0183156 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0245987 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0117203 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0249246 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0281293 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0216559 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0154371 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0041963 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00633081 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0231044 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0147205 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0154024 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0328896 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00427627 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.00396209 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0317665 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0128225 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0049514 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0375654 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0823708 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0663981 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.115504 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0738349 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0173948 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00496348 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00154904 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00241319 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0963202 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00502857 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0152107 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0174627 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00869713 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00620617 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00652592 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0107858 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.000429182 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.025583 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00644776 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0195286 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0275782 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0171645 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0170147 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0220251 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0262237 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0352685 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00974806 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0265405 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0229277 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0199729 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0322449 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0203914 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0374887 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0316015 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0364625 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.00305155 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0236619 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0200492 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.00228467 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00764419 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0148619 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.00137648 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.00646703 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.00929182 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0731515 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0103664 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0287776 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0327547 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0380045 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0109227 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0315863 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00734456 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.01012 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.067001 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0130204 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0153672 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00205905 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0676555 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0235502 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0741383 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0103242 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0702888 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.000637873 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0798563 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.127139 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.084743 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0214712 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0433645 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0192376 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.131794 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0907478 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0919369 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00635542 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.00818048 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00956236 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0303092 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0348101 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0609466 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0469195 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0416358 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0378216 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0335302 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0391793 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0290107 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0343706 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0201517 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.138907 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.00209917 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.130891 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0830717 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0448119 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.070456 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0334327 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0694909 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0337822 # DEPENDENCYPART_SIBL
(6,2),(6,15),0.255331 # DEPENDENCYPART_SIBL
(6,2),(6,17),0.238176 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0324189 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0156214 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0313126 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.114613 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00610966 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0103674 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.0246977 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0503717 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0328704 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0351444 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0231395 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00131605 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00262987 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0820315 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0199549 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00336153 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.013472 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0128378 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0134843 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0254248 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0248162 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0542482 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0514352 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0478946 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0144911 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0389249 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0286202 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0396268 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0138957 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00944551 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.03843 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0305532 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00540118 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0365412 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0157028 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0362982 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0171833 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.0344455 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0147462 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0116412 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0122389 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0229839 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0122403 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0155421 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0299365 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.034112 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0105836 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0126485 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.00637601 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0102135 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0122124 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0319567 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0236006 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.031958 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.00902269 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.0172403 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0155234 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.00776866 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0144083 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.0164073 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.0414202 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.00485709 # DEPENDENCYPART_SIBL
(6,12),(6,17),0.00171863 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0144692 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.0164682 # DEPENDENCYPART_SIBL
(6,15),(6,17),-0.0220708 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0294983 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.000733816 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0775935 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0329625 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00173249 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0219762 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0138089 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0492579 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0376773 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.010266 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0611165 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0188711 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0548014 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0555073 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0227954 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0774076 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0235821 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.00719276 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0125958 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.00442848 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0363479 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0647399 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0659482 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0647356 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0649735 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0464327 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.120458 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0927344 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.088849 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0349486 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0822799 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0825177 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0465495 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0848389 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0341505 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0342639 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0370849 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.012678 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.00129402 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0246817 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0246939 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0343989 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0191573 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.132253 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0241804 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0160077 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0684783 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.00865065 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0355463 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0362482 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0279008 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.031582 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.032282 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0834742 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0122159 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.022651 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0227118 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.0443147 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0202889 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0158785 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0375772 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.00639207 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.039889 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0576557 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0218663 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.167664 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0472141 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0562433 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.145932 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0441998 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.00476367 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.177516 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.255765 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.182314 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.0936295 # DEPENDENCYPART_SIBL
(10,1),(10,23),0.0152774 # DEPENDENCYPART_SIBL
(10,1),(10,30),-0.0472141 # DEPENDENCYPART_SIBL
(10,1),(10,51),0.0252643 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.0308546 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0374981 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0617583 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0638289 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0593254 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.194717 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0611225 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0799824 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0806133 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0335038 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.102169 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0569488 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0838196 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.014907 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0235131 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.071034 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.268838 # DEPENDENCYPART_SIBL
(10,2),(10,23),-0.0454192 # DEPENDENCYPART_SIBL
(10,2),(10,30),-0.0806133 # DEPENDENCYPART_SIBL
(10,2),(10,51),-0.149286 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.00153826 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0528153 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.00472039 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0473554 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.122689 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.022106 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.0530774 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00918675 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.110211 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.100803 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0295119 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.111135 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0995159 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0340229 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.0377697 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.00515083 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0465926 # DEPENDENCYPART_SIBL
(10,3),(10,30),-0.00918675 # DEPENDENCYPART_SIBL
(10,3),(10,51),-0.0144768 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0581688 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0175503 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0474273 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.102073 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0485565 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.383529 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0237346 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.123795 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.360361 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.351783 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.325113 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0761097 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0384414 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.378473 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.060579 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.329789 # DEPENDENCYPART_SIBL
(10,4),(10,30),-0.0237346 # DEPENDENCYPART_SIBL
(10,4),(10,51),0.014014 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.054034 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0542822 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0803588 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.082526 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.161473 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0741815 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0587306 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.139084 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.016695 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0422473 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.198036 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.26193 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.175045 # DEPENDENCYPART_SIBL
(10,5),(10,22),0.109586 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0240622 # DEPENDENCYPART_SIBL
(10,5),(10,30),-0.0741815 # DEPENDENCYPART_SIBL
(10,5),(10,51),0.00366041 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0290771 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.104165 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.00535093 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0826489 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00438528 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0963176 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.130375 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00768733 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0741677 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.081496 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0116964 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.0673411 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0128469 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.00939349 # DEPENDENCYPART_SIBL
(10,6),(10,30),0.00438528 # DEPENDENCYPART_SIBL
(10,6),(10,51),0.0209041 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0231217 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00907021 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.193216 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0823913 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.089626 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.170828 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0325679 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0610475 # DEPENDENCYPART_SIBL
(10,7),(10,18),0.14042 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.193035 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.209072 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.0444205 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0428623 # DEPENDENCYPART_SIBL
(10,7),(10,30),-0.0823913 # DEPENDENCYPART_SIBL
(10,7),(10,51),-0.060952 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.117227 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.203728 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.033964 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0078857 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.225241 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0265695 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0376815 # DEPENDENCYPART_SIBL
(10,8),(10,18),0.0852835 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.107525 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.193274 # DEPENDENCYPART_SIBL
(10,8),(10,22),0.563028 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.00431078 # DEPENDENCYPART_SIBL
(10,8),(10,30),0.033964 # DEPENDENCYPART_SIBL
(10,8),(10,51),-0.119036 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0440299 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00914711 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.111135 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0917557 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0206468 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.10227 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.108761 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0432679 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0287222 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0131741 # DEPENDENCYPART_SIBL
