# _root_ London-based LIT Holdings , the largest financer of traders in the Chicago options and futures markets , said yesterday it will incur a second-half loss as a result of the market plunge .
#goldHeads=3,3,18,3,7,7,3,7,8,7,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
#predictedHeads=3,3,18,3,7,7,3,7,8,9,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
(7,9),(7,13),0.00267969 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0348609 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.00446177 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.00638312 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.00700214 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0148748 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.0175825 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0087176 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0135287 # DEPENDENCYPART_SIBL
(7,9),(7,25),0.00840618 # DEPENDENCYPART_SIBL
(7,9),(7,26),-0.0182717 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0350677 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0378882 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0251956 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0265383 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0195961 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0184833 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0360236 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.0146722 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0403299 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0170053 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.00678889 # DEPENDENCYPART_SIBL
(7,10),(7,25),0.0252298 # DEPENDENCYPART_SIBL
(7,10),(7,26),0.0174259 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.00235221 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0120631 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.011641 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.015351 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0157209 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.022982 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0154857 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.0189877 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.00855679 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.0292152 # DEPENDENCYPART_SIBL
(7,11),(7,25),-0.010942 # DEPENDENCYPART_SIBL
(7,11),(7,26),-0.0146817 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.00470769 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.011074 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0118491 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.00100425 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.046685 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.00469416 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.010202 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.00108697 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.00335403 # DEPENDENCYPART_SIBL
(7,12),(7,25),0.00101881 # DEPENDENCYPART_SIBL
(7,12),(7,26),-0.00592504 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0373346 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.019975 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.00913013 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0125114 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0153888 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.00207614 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0111914 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0140486 # DEPENDENCYPART_SIBL
(7,13),(7,25),-0.00710707 # DEPENDENCYPART_SIBL
(7,13),(7,26),-0.0147309 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.035067 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.0354713 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.0236044 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.00896438 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0389853 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.00383092 # DEPENDENCYPART_SIBL
(7,14),(7,22),-0.0148844 # DEPENDENCYPART_SIBL
(7,14),(7,25),-0.0306577 # DEPENDENCYPART_SIBL
(7,14),(7,26),-0.00427441 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.00916027 # DEPENDENCYPART_SIBL
(7,15),(7,17),0.0140466 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0181713 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.00933828 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.0125093 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.0168311 # DEPENDENCYPART_SIBL
(7,15),(7,25),0.00015506 # DEPENDENCYPART_SIBL
(7,15),(7,26),-0.0129191 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.000924056 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0194569 # DEPENDENCYPART_SIBL
(7,16),(7,19),-0.000625337 # DEPENDENCYPART_SIBL
(7,16),(7,21),-0.0135047 # DEPENDENCYPART_SIBL
(7,16),(7,22),-0.0181168 # DEPENDENCYPART_SIBL
(7,16),(7,25),-0.00980855 # DEPENDENCYPART_SIBL
(7,16),(7,26),-0.0182768 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.00492229 # DEPENDENCYPART_SIBL
(7,17),(7,19),0.0155089 # DEPENDENCYPART_SIBL
(7,17),(7,21),0.0162834 # DEPENDENCYPART_SIBL
(7,17),(7,22),0.0144791 # DEPENDENCYPART_SIBL
(7,17),(7,25),0.0401469 # DEPENDENCYPART_SIBL
(7,17),(7,26),0.0571636 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0387474 # DEPENDENCYPART_SIBL
(7,18),(7,21),-0.0223226 # DEPENDENCYPART_SIBL
(7,18),(7,22),-0.0206458 # DEPENDENCYPART_SIBL
(7,18),(7,25),-0.0362465 # DEPENDENCYPART_SIBL
(7,18),(7,26),-0.00322291 # DEPENDENCYPART_SIBL
(7,19),(7,21),-0.0121505 # DEPENDENCYPART_SIBL
(7,19),(7,22),-0.00985212 # DEPENDENCYPART_SIBL
(7,19),(7,25),-0.00783576 # DEPENDENCYPART_SIBL
(7,19),(7,26),-0.00594174 # DEPENDENCYPART_SIBL
(7,21),(7,22),-0.00524179 # DEPENDENCYPART_SIBL
(7,21),(7,25),-0.00216246 # DEPENDENCYPART_SIBL
(7,21),(7,26),-0.0123558 # DEPENDENCYPART_SIBL
(7,22),(7,25),-0.0171767 # DEPENDENCYPART_SIBL
(7,22),(7,26),0.00994361 # DEPENDENCYPART_SIBL
(7,25),(7,26),-0.00807429 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0292214 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.10664 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.100265 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.147004 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0927521 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0422242 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0406105 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0614335 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0440594 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.11198 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.139352 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.104467 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.147004 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.102189 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.0806978 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0583502 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0188489 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0330291 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0538215 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.00354077 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.142261 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.00163825 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0233847 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0351314 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0172614 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.134462 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.00738888 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.00789256 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0241787 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0318244 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.00873616 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.141768 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.00178103 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0143376 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00653797 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.00694877 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.00241643 # DEPENDENCYPART_SIBL
(9,5),(9,21),0.0976088 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0355426 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0398073 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.165005 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0585861 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.0125905 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00515722 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0882309 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.00114417 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0671194 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0223951 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0115652 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0383055 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.100994 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0771055 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0383509 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.024234 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0211065 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0708953 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.0117521 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0490381 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0503461 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.010525 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0293888 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0133382 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0281795 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0591721 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.0268456 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0350709 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0470157 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.034323 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0265444 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0276108 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.0393238 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.017009 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0067785 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.00293238 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.011644 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00659016 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0196768 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.00855737 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.00921118 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.00991795 # DEPENDENCYPART_SIBL
(9,12),(9,16),0.0129146 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0453446 # DEPENDENCYPART_SIBL
(9,12),(9,21),7.14526e-05 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0361786 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.00478873 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.011171 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.0100329 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0263438 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.0269065 # DEPENDENCYPART_SIBL
(9,14),(9,21),-0.00383464 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.000416367 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0123463 # DEPENDENCYPART_SIBL
(9,17),(9,21),0.0289331 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0478144 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00119717 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0536557 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0225429 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0218705 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.00138072 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0220127 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0027673 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.124528 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0136308 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0152439 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0233809 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.00098811 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0369806 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.036251 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00109143 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0403819 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0382034 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0867508 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0405608 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.0219907 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0536611 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0232012 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0225303 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0135165 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0225604 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.00519866 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.137234 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0133 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0161395 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0700388 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0682535 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0686148 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0682777 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0691418 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0205516 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0683725 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0308399 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.107582 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.123274 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.111466 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.100065 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0129952 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0856544 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0401957 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.130503 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.108764 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.097364 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.00159259 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0829532 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.0393472 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0754042 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0763161 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0213998 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.0757805 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0264451 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0805014 # DEPENDENCYPART_SIBL
(10,15),(10,17),6.74824e-05 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0771189 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0423788 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.00461229 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0826401 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0385401 # DEPENDENCYPART_SIBL
(10,17),(10,19),-0.0634061 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0121676 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.0405546 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0192339 # DEPENDENCYPART_SIBL
(13,4),(13,5),0.0590013 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0249574 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.0689276 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0590013 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0238134 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.0350069 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0218866 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.0138227 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.136909 # DEPENDENCYPART_SIBL
(13,5),(13,9),0.0469413 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.0193771 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.331404 # DEPENDENCYPART_SIBL
(13,5),(13,12),0.0605506 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.00525716 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.000652475 # DEPENDENCYPART_SIBL
(13,5),(13,16),0.0115367 # DEPENDENCYPART_SIBL
(13,5),(13,17),0.00596777 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.00475408 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.127995 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.00967392 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.0113766 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0185734 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.00270289 # DEPENDENCYPART_SIBL
(13,9),(13,17),0.0496906 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.00158603 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0132768 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0418568 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0425695 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0369367 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0357436 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0605506 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00525716 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.000652475 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0115367 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.00596777 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.00822122 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0259751 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.00828648 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.0480834 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0351337 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.035538 # DEPENDENCYPART_SIBL
(13,14),(13,17),0.0235684 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.00900925 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0139408 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.000818254 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.0258545 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.0222372 # DEPENDENCYPART_SIBL
(14,1),(14,4),0.114752 # DEPENDENCYPART_SIBL
(14,1),(14,5),-0.105843 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.0258545 # DEPENDENCYPART_SIBL
(14,1),(14,8),-0.0482674 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0351933 # DEPENDENCYPART_SIBL
(14,1),(14,10),-0.0328112 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.105843 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.0204418 # DEPENDENCYPART_SIBL
(14,1),(14,13),0.0257153 # DEPENDENCYPART_SIBL
(14,1),(14,15),0.0402865 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.0119795 # DEPENDENCYPART_SIBL
(14,1),(14,17),-0.00744476 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.0640714 # DEPENDENCYPART_SIBL
(14,1),(14,19),0.0121611 # DEPENDENCYPART_SIBL
(14,1),(14,21),-0.0266307 # DEPENDENCYPART_SIBL
(14,1),(14,22),-0.0590472 # DEPENDENCYPART_SIBL
(14,1),(14,25),0.0177924 # DEPENDENCYPART_SIBL
(14,1),(14,26),0.0912046 # DEPENDENCYPART_SIBL
(14,1),(14,29),0.00144107 # DEPENDENCYPART_SIBL
(14,1),(14,33),-0.0485959 # DEPENDENCYPART_SIBL
(14,2),(14,3),-0.00945702 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.0251382 # DEPENDENCYPART_SIBL
(14,2),(14,5),-0.120265 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.0144168 # DEPENDENCYPART_SIBL
(14,2),(14,8),-0.0428878 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.0183521 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0266816 # DEPENDENCYPART_SIBL
(14,2),(14,11),-0.120265 # DEPENDENCYPART_SIBL
(14,2),(14,12),-0.0240867 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0146393 # DEPENDENCYPART_SIBL
(14,2),(14,15),0.101911 # DEPENDENCYPART_SIBL
(14,2),(14,16),0.0269962 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.00619543 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.0198892 # DEPENDENCYPART_SIBL
(14,2),(14,19),0.0294376 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.0264161 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.0591598 # DEPENDENCYPART_SIBL
(14,2),(14,25),0.0854337 # DEPENDENCYPART_SIBL
(14,2),(14,26),-0.033864 # DEPENDENCYPART_SIBL
(14,2),(14,29),-0.00499176 # DEPENDENCYPART_SIBL
(14,2),(14,33),-0.0140053 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.0124235 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.123525 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.017771 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.0469234 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0217064 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.0307158 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.123525 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0274409 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.0179935 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.123716 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0488009 # DEPENDENCYPART_SIBL
(14,3),(14,17),0.00654069 # DEPENDENCYPART_SIBL
(14,3),(14,18),-0.0143742 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.0512423 # DEPENDENCYPART_SIBL
(14,3),(14,21),-0.0184649 # DEPENDENCYPART_SIBL
(14,3),(14,22),-0.0536448 # DEPENDENCYPART_SIBL
(14,3),(14,25),0.107238 # DEPENDENCYPART_SIBL
(14,3),(14,26),-0.0236605 # DEPENDENCYPART_SIBL
(14,3),(14,29),0.00520268 # DEPENDENCYPART_SIBL
(14,3),(14,33),-0.00118892 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.0829239 # DEPENDENCYPART_SIBL
(14,4),(14,7),0.000204816 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0310119 # DEPENDENCYPART_SIBL
(14,4),(14,9),0.00628939 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0188641 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0829239 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.00985501 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.000264845 # DEPENDENCYPART_SIBL
(14,4),(14,15),8.0138e-05 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0143955 # DEPENDENCYPART_SIBL
(14,4),(14,17),0.0260725 # DEPENDENCYPART_SIBL
(14,4),(14,18),0.0248119 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0551354 # DEPENDENCYPART_SIBL
(14,4),(14,21),0.13275 # DEPENDENCYPART_SIBL
(14,4),(14,22),0.00241081 # DEPENDENCYPART_SIBL
(14,4),(14,25),-0.0312138 # DEPENDENCYPART_SIBL
(14,4),(14,26),-0.0290759 # DEPENDENCYPART_SIBL
(14,4),(14,29),-0.210125 # DEPENDENCYPART_SIBL
(14,4),(14,33),0.011274 # DEPENDENCYPART_SIBL
(14,5),(14,7),0.0954475 # DEPENDENCYPART_SIBL
(14,5),(14,8),-0.0169607 # DEPENDENCYPART_SIBL
(14,5),(14,9),0.107994 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.013315 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.202177 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.0878345 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.0953095 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.25286 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.2423 # DEPENDENCYPART_SIBL
(14,5),(14,17),0.033964 # DEPENDENCYPART_SIBL
(14,5),(14,18),-0.0265695 # DEPENDENCYPART_SIBL
(14,5),(14,19),0.209819 # DEPENDENCYPART_SIBL
(14,5),(14,21),0.0987287 # DEPENDENCYPART_SIBL
(14,5),(14,22),-0.0123526 # DEPENDENCYPART_SIBL
(14,5),(14,25),0.195295 # DEPENDENCYPART_SIBL
(14,5),(14,26),0.107525 # DEPENDENCYPART_SIBL
(14,5),(14,29),0.563028 # DEPENDENCYPART_SIBL
(14,5),(14,33),-0.119036 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.0428878 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0183522 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0266816 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.120265 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0240867 # DEPENDENCYPART_SIBL
