# _root_ But , IRS private ruling 8940061 notes , no rule or court case bears directly on the issue of adding land to a principal residence .
#goldHeads=14,7,5,5,7,5,14,7,11,11,14,13,11,0,14,14,18,16,18,19,20,20,25,25,22,14,
#predictedHeads=14,14,5,5,7,7,11,11,10,11,14,11,11,0,14,14,18,16,18,19,20,21,25,25,22,14,
(5,8),(5,9),-0.00764098 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0248702 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0114036 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0243554 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0489639 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00510745 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00286554 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0489611 # DEPENDENCYPART_SIBL
(5,8),(5,18),0.00343512 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0146375 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0200105 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0158073 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.00330674 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0230593 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0198196 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0169695 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0179625 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0324284 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0160416 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00657299 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0192891 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0036863 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.00118876 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0232147 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0328111 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.02112 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0143252 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0168993 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0204777 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0371901 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.00436608 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0193259 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.00327389 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.00604313 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0254216 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0162354 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.00184011 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.00411684 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0174357 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.015016 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0101489 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.0273221 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0182593 # DEPENDENCYPART_SIBL
(5,15),(5,18),0.00621886 # DEPENDENCYPART_SIBL
(5,16),(5,18),0.0147322 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0610491 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.00359985 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0258573 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.023949 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.000694457 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.022574 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.046499 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0233393 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0502055 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0195982 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.064028 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00171243 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0283935 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.017906 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0141484 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0230426 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0154876 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0152034 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0176808 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00646171 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.021885 # DEPENDENCYPART_SIBL
(7,1),(7,25),-0.0196744 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.108932 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.016544 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0815109 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0207522 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0141033 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.183563 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0905517 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0177434 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.022799 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00784116 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0103747 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0435253 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0168621 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0705348 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00641753 # DEPENDENCYPART_SIBL
(7,2),(7,25),0.0136461 # DEPENDENCYPART_SIBL
(7,2),(7,26),0.0856878 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0832332 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0646539 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0136841 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0443213 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0873399 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0148633 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0449621 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00548611 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.00287076 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00411081 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.000338313 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.000801212 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0051925 # DEPENDENCYPART_SIBL
(7,3),(7,25),0.0209467 # DEPENDENCYPART_SIBL
(7,3),(7,26),0.0437219 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0903576 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.00115417 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0523483 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.01815 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0151916 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0393567 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.019179 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0158131 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0282156 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0226766 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0624425 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0135405 # DEPENDENCYPART_SIBL
(7,4),(7,25),-0.0151849 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.00360622 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00277878 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0376946 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0883507 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0122436 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0487462 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00286636 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.000251008 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00233829 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.00350795 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.000625526 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.00257275 # DEPENDENCYPART_SIBL
(7,5),(7,25),0.018327 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.0538875 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0395207 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0116347 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.00328385 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.013166 # DEPENDENCYPART_SIBL
(7,6),(7,12),-7.16237e-05 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00295418 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0262362 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0627454 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0487479 # DEPENDENCYPART_SIBL
(7,6),(7,18),-1.35025e-05 # DEPENDENCYPART_SIBL
(7,6),(7,25),0.00329098 # DEPENDENCYPART_SIBL
(7,6),(7,26),-0.00201346 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00259552 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0106248 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.00251943 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.01011 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0347185 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.00264901 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.00337116 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0601504 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0108103 # DEPENDENCYPART_SIBL
(7,8),(7,25),0.0125704 # DEPENDENCYPART_SIBL
(7,8),(7,26),-0.0182407 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0215978 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0170629 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0227675 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.010267 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0282097 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0194221 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.01336 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0249228 # DEPENDENCYPART_SIBL
(7,9),(7,25),-0.0215974 # DEPENDENCYPART_SIBL
(7,9),(7,26),0.0121592 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0358296 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0317915 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.00917686 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0320175 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.00963722 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.00324785 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0389646 # DEPENDENCYPART_SIBL
(7,10),(7,25),-0.0295918 # DEPENDENCYPART_SIBL
(7,10),(7,26),0.0233784 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0368963 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0252052 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0166006 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0136267 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0269622 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0412753 # DEPENDENCYPART_SIBL
(7,11),(7,25),-0.0357266 # DEPENDENCYPART_SIBL
(7,11),(7,26),-0.00251377 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0113838 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0320542 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.00922481 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.00810223 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0411715 # DEPENDENCYPART_SIBL
(7,12),(7,25),-0.0317987 # DEPENDENCYPART_SIBL
(7,12),(7,26),0.0112151 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0289637 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.00411081 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.00205774 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0331855 # DEPENDENCYPART_SIBL
(7,13),(7,25),-0.0238127 # DEPENDENCYPART_SIBL
(7,13),(7,26),0.0198252 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.00432835 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.0034151 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.02247 # DEPENDENCYPART_SIBL
(7,14),(7,25),-0.0156823 # DEPENDENCYPART_SIBL
(7,14),(7,26),0.00731545 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.0216472 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.00116688 # DEPENDENCYPART_SIBL
(7,15),(7,25),0.00654724 # DEPENDENCYPART_SIBL
(7,15),(7,26),-0.0041222 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0105889 # DEPENDENCYPART_SIBL
(7,16),(7,25),0.0197187 # DEPENDENCYPART_SIBL
(7,16),(7,26),0.0976972 # DEPENDENCYPART_SIBL
(7,18),(7,25),-0.0324401 # DEPENDENCYPART_SIBL
(7,18),(7,26),0.00519478 # DEPENDENCYPART_SIBL
(7,25),(7,26),0.0145673 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0583194 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0386281 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.019996 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0255933 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0536161 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0213853 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.00816878 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.03378 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0399173 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0241654 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0216319 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0161372 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.041081 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0832659 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.137345 # DEPENDENCYPART_SIBL
(10,2),(10,20),0.0425456 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0278524 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0472908 # DEPENDENCYPART_SIBL
(10,3),(10,5),0.0104568 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.00523315 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.00986724 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.067176 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.0173187 # DEPENDENCYPART_SIBL
(10,3),(10,13),0.0147034 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.00212533 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.00382985 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.021941 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0568701 # DEPENDENCYPART_SIBL
(10,3),(10,20),0.0128877 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.0570424 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0498139 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.00537376 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0476649 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0747854 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0390021 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0356362 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.00206125 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.000383843 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0722968 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.03798 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.000911647 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.0315835 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0161399 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.000384765 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0780829 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0146987 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0120834 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.00857468 # DEPENDENCYPART_SIBL
(10,5),(10,15),-1.66691e-05 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0205141 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0555333 # DEPENDENCYPART_SIBL
(10,5),(10,20),0.0064384 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.0604636 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.0417697 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0336872 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.032259 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0352848 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0110967 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0925371 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.00696927 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0183753 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.0127013 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.000895495 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0748255 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.00130536 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.00130999 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0078028 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.00271005 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0104758 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0413012 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.00721027 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.059465 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0205629 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0274616 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.169246 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0718459 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.217839 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.268132 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.174142 # DEPENDENCYPART_SIBL
(10,9),(10,22),0.134839 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.00482276 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0145571 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.00231864 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.00721317 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0079405 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.022572 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.00498868 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0114666 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.00279536 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0173731 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.000909357 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0194816 # DEPENDENCYPART_SIBL
(10,13),(10,22),-0.000101372 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0139057 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.00260939 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.019527 # DEPENDENCYPART_SIBL
(10,14),(10,20),-0.00572166 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.0110735 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0404614 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0325652 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.022186 # DEPENDENCYPART_SIBL
(10,15),(10,22),-0.00139965 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0307259 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0238377 # DEPENDENCYPART_SIBL
(10,16),(10,22),0.0453216 # DEPENDENCYPART_SIBL
(10,19),(10,20),-0.0471867 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0214436 # DEPENDENCYPART_SIBL
(10,20),(10,22),-0.0110891 # DEPENDENCYPART_SIBL
(11,1),(11,2),0.0231967 # DEPENDENCYPART_SIBL
(11,1),(11,3),-0.0410589 # DEPENDENCYPART_SIBL
(11,1),(11,4),-0.0458375 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.042755 # DEPENDENCYPART_SIBL
(11,1),(11,6),-0.047833 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.0432411 # DEPENDENCYPART_SIBL
(11,1),(11,8),0.0231967 # DEPENDENCYPART_SIBL
(11,1),(11,9),-0.0471793 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.0482398 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.00571743 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0052746 # DEPENDENCYPART_SIBL
(11,1),(11,14),0.0927969 # DEPENDENCYPART_SIBL
(11,1),(11,15),0.0228919 # DEPENDENCYPART_SIBL
(11,1),(11,16),0.0157204 # DEPENDENCYPART_SIBL
(11,1),(11,18),0.00233221 # DEPENDENCYPART_SIBL
(11,1),(11,19),-0.0166652 # DEPENDENCYPART_SIBL
(11,1),(11,20),0.0916097 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.00232618 # DEPENDENCYPART_SIBL
(11,1),(11,25),-0.00475477 # DEPENDENCYPART_SIBL
(11,1),(11,26),0.108473 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.00708492 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0607888 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.00777123 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.0347469 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.00361432 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0117956 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.049262 # DEPENDENCYPART_SIBL
(11,2),(11,10),0.00459523 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0641814 # DEPENDENCYPART_SIBL
(11,2),(11,13),0.0653305 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.00464786 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0211166 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.14425 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.0720055 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.241356 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0267668 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0786937 # DEPENDENCYPART_SIBL
(11,2),(11,25),0.0709174 # DEPENDENCYPART_SIBL
(11,2),(11,26),-0.0436409 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0205714 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.00912355 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0312943 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.00756063 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.134041 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0474449 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0102869 # DEPENDENCYPART_SIBL
(11,3),(11,12),0.0721542 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0627771 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0364578 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.054052 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0393644 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.0698316 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.0154883 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.027189 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.0912323 # DEPENDENCYPART_SIBL
(11,3),(11,25),0.0829222 # DEPENDENCYPART_SIBL
(11,3),(11,26),-0.0343729 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.0155742 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.035699 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0134487 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.120871 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0458016 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.0137302 # DEPENDENCYPART_SIBL
(11,4),(11,12),-0.00350683 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.00532466 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0487065 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.00118705 # DEPENDENCYPART_SIBL
(11,4),(11,16),-0.0416392 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.00553771 # DEPENDENCYPART_SIBL
(11,4),(11,19),-0.0265041 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0513926 # DEPENDENCYPART_SIBL
(11,4),(11,21),0.00937264 # DEPENDENCYPART_SIBL
(11,4),(11,25),-0.00239223 # DEPENDENCYPART_SIBL
(11,4),(11,26),-0.0806223 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0431867 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.018307 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.1206 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0593375 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0210332 # DEPENDENCYPART_SIBL
(11,5),(11,12),0.0692676 # DEPENDENCYPART_SIBL
(11,5),(11,13),0.0598906 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.0473302 # DEPENDENCYPART_SIBL
(11,5),(11,15),-0.0594839 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.041474 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.066945 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0176479 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.0380614 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.0883457 # DEPENDENCYPART_SIBL
(11,5),(11,25),0.0800357 # DEPENDENCYPART_SIBL
(11,5),(11,26),-0.0240304 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0216336 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.0282674 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0468914 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0233157 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0186939 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0170016 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0359534 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0525759 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0287487 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0251516 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0376687 # DEPENDENCYPART_SIBL
