# _root_ Mr. Ferguson , who is 68 years old , fled the U.S. in 1970 after exhausting his appeals of a 1968 conviction on conspiracy to murder .
#goldHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
#predictedHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
(7,8),(7,10),-0.00518209 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0104915 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.00840472 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0249018 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0117746 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0431189 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0264614 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.00223703 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.00228962 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.00720316 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.0488539 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0211172 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.053287 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00270719 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0469142 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0306964 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0467095 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.0327082 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0807706 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00306035 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0204457 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.049793 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0213666 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.00120422 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0389841 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0444934 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0202922 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0464409 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0182472 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0445663 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0203813 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.100725 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0010383 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0191705 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0274075 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0671298 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0667119 # DEPENDENCYPART_SIBL
(8,10),(8,15),0.0645364 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.00283258 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.00515164 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0240812 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00243837 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0213586 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.0139469 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.00885269 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.129149 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0154861 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0786109 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0423726 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0612132 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.138549 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0377687 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0154861 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.117619 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0357005 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.106242 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.000378804 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0600771 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0545584 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.0213347 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0488491 # DEPENDENCYPART_SIBL
(10,1),(10,22),-0.0225972 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0273621 # DEPENDENCYPART_SIBL
(10,1),(10,25),-0.0289952 # DEPENDENCYPART_SIBL
(10,1),(10,27),-0.0357862 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.00759184 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.0758731 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0375427 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0581693 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.109189 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0317311 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.00759184 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.103419 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0263097 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.00680804 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.0160104 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0125751 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.00831004 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0119443 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.0280389 # DEPENDENCYPART_SIBL
(10,2),(10,22),-0.0132062 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.053258 # DEPENDENCYPART_SIBL
(10,2),(10,25),-0.00960364 # DEPENDENCYPART_SIBL
(10,2),(10,27),0.0112738 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0674473 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0426846 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.0252894 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.016289 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.019996 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.013487 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.125387 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.00487936 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0252329 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0364787 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0117862 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0113365 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0213482 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0614483 # DEPENDENCYPART_SIBL
(10,3),(10,22),-0.0185546 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0151455 # DEPENDENCYPART_SIBL
(10,3),(10,25),-0.0222825 # DEPENDENCYPART_SIBL
(10,3),(10,27),0.0378243 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0444468 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.00492217 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0476546 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.00720127 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0775945 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0487739 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0101273 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0420464 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0378728 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.00702235 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0154179 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.00808 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.00312527 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.00886459 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.0359163 # DEPENDENCYPART_SIBL
(10,4),(10,25),-0.178775 # DEPENDENCYPART_SIBL
(10,4),(10,27),-0.172575 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.00434525 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.00780637 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.00646685 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0329441 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0901881 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.00487164 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0448557 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0396081 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0398253 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0541086 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.00293137 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0330196 # DEPENDENCYPART_SIBL
(10,5),(10,22),0.00359186 # DEPENDENCYPART_SIBL
(10,5),(10,23),-0.0446792 # DEPENDENCYPART_SIBL
(10,5),(10,25),-0.0893393 # DEPENDENCYPART_SIBL
(10,5),(10,27),0.0417245 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0675852 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0457216 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0876389 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0226838 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0136949 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0942734 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0808466 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0821913 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0571317 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0176659 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.0613551 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.0168814 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.0848903 # DEPENDENCYPART_SIBL
(10,6),(10,25),-0.0699286 # DEPENDENCYPART_SIBL
(10,6),(10,27),-0.0169433 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.00507326 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00716529 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.115253 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0671012 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0152811 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.000240351 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.00291196 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.021768 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0555628 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0152352 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0568247 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.0585081 # DEPENDENCYPART_SIBL
(10,7),(10,25),-0.0254117 # DEPENDENCYPART_SIBL
(10,7),(10,27),-0.0263765 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0365255 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0791275 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.00348701 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0134263 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.00995484 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.010302 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0192102 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0157311 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0108072 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0149394 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0311339 # DEPENDENCYPART_SIBL
(10,8),(10,25),-0.0244045 # DEPENDENCYPART_SIBL
(10,8),(10,27),-0.0184393 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.125387 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.00487936 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0252329 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0364787 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0117862 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0113365 # DEPENDENCYPART_SIBL
(10,9),(10,18),-0.0213482 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0614483 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0185546 # DEPENDENCYPART_SIBL
(10,9),(10,23),-0.0151455 # DEPENDENCYPART_SIBL
(10,9),(10,25),-0.0222825 # DEPENDENCYPART_SIBL
(10,9),(10,27),0.0378243 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0375302 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0717775 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0222074 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.013867 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0297504 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0351844 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0343748 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.0351628 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.0176232 # DEPENDENCYPART_SIBL
(10,11),(10,25),-0.0245421 # DEPENDENCYPART_SIBL
(10,11),(10,27),-0.0393291 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.014203 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0102167 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0162034 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0144747 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.0429718 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.0106058 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.0429505 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.00283344 # DEPENDENCYPART_SIBL
(10,12),(10,25),0.000337899 # DEPENDENCYPART_SIBL
(10,12),(10,27),-0.0122645 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.0320417 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.00136196 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0152512 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.000888 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0388596 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0009003 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.0356469 # DEPENDENCYPART_SIBL
(10,13),(10,25),-0.0867278 # DEPENDENCYPART_SIBL
(10,13),(10,27),-0.0167839 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.0125742 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0175319 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0434946 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.0120634 # DEPENDENCYPART_SIBL
(10,14),(10,22),-0.043473 # DEPENDENCYPART_SIBL
(10,14),(10,23),-0.00467436 # DEPENDENCYPART_SIBL
(10,14),(10,25),0.0147289 # DEPENDENCYPART_SIBL
(10,14),(10,27),-0.0106479 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0156759 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.004103 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.0839588 # DEPENDENCYPART_SIBL
(10,15),(10,22),-0.0040907 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.0230072 # DEPENDENCYPART_SIBL
(10,15),(10,25),-0.0146089 # DEPENDENCYPART_SIBL
(10,15),(10,27),0.0100824 # DEPENDENCYPART_SIBL
(10,16),(10,18),-0.017477 # DEPENDENCYPART_SIBL
(10,16),(10,19),-0.0149494 # DEPENDENCYPART_SIBL
(10,16),(10,22),-0.0174502 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.0108442 # DEPENDENCYPART_SIBL
(10,16),(10,25),-0.0489905 # DEPENDENCYPART_SIBL
(10,16),(10,27),0.0069794 # DEPENDENCYPART_SIBL
(10,18),(10,19),-0.0209253 # DEPENDENCYPART_SIBL
(10,18),(10,22),-0.0406652 # DEPENDENCYPART_SIBL
(10,18),(10,23),-0.00701022 # DEPENDENCYPART_SIBL
(10,18),(10,25),0.00032221 # DEPENDENCYPART_SIBL
(10,18),(10,27),-0.0109183 # DEPENDENCYPART_SIBL
(10,19),(10,22),-0.0308267 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.0662803 # DEPENDENCYPART_SIBL
(10,19),(10,25),-0.0800857 # DEPENDENCYPART_SIBL
(10,19),(10,27),-0.0407276 # DEPENDENCYPART_SIBL
(10,22),(10,23),0.000809934 # DEPENDENCYPART_SIBL
(10,22),(10,25),0.00558605 # DEPENDENCYPART_SIBL
(10,22),(10,27),-0.00557187 # DEPENDENCYPART_SIBL
(10,23),(10,25),-0.0301347 # DEPENDENCYPART_SIBL
(10,23),(10,27),-0.00960833 # DEPENDENCYPART_SIBL
(10,25),(10,27),-0.0105387 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0190996 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.028283 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0249939 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.00866231 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0489407 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.044736 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0135602 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.00309849 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.0433635 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.146033 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0161862 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0605878 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0735044 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0406557 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0039119 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0149113 # DEPENDENCYPART_SIBL
(12,2),(12,23),-0.0120024 # DEPENDENCYPART_SIBL
(12,2),(12,27),-0.00747943 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.00704508 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0642168 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0673938 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.00501851 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0679564 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0262365 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.000423085 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0179652 # DEPENDENCYPART_SIBL
(12,4),(12,19),0.00191269 # DEPENDENCYPART_SIBL
(12,4),(12,23),-0.0149056 # DEPENDENCYPART_SIBL
(12,4),(12,27),-0.0694462 # DEPENDENCYPART_SIBL
(12,8),(12,9),0.0439829 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.136807 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0432838 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.109967 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.0399373 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0287299 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.0160889 # DEPENDENCYPART_SIBL
(12,8),(12,19),-0.0182417 # DEPENDENCYPART_SIBL
(12,8),(12,23),-0.00459177 # DEPENDENCYPART_SIBL
(12,8),(12,27),-0.0659877 # DEPENDENCYPART_SIBL
(12,9),(12,11),0.0247311 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0386715 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.105174 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.110164 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.00541727 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0282838 # DEPENDENCYPART_SIBL
(12,9),(12,19),-0.21136 # DEPENDENCYPART_SIBL
(12,9),(12,23),-0.106607 # DEPENDENCYPART_SIBL
(12,9),(12,27),0.0258766 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0669157 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.127454 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0852091 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0852904 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0246376 # DEPENDENCYPART_SIBL
(12,11),(12,19),0.285078 # DEPENDENCYPART_SIBL
(12,11),(12,23),0.0160751 # DEPENDENCYPART_SIBL
(12,11),(12,27),-0.10193 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0136411 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.0113755 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.00287491 # DEPENDENCYPART_SIBL
(12,13),(12,18),0.0157778 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.0359221 # DEPENDENCYPART_SIBL
(12,13),(12,23),0.0584047 # DEPENDENCYPART_SIBL
(12,13),(12,27),0.00050312 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0230329 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.0184222 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0260366 # DEPENDENCYPART_SIBL
(12,14),(12,19),0.0189096 # DEPENDENCYPART_SIBL
(12,14),(12,23),-0.040263 # DEPENDENCYPART_SIBL
(12,14),(12,27),0.00765657 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00619603 # DEPENDENCYPART_SIBL
(12,15),(12,18),0.0102813 # DEPENDENCYPART_SIBL
(12,15),(12,19),-0.0458569 # DEPENDENCYPART_SIBL
(12,15),(12,23),0.0199311 # DEPENDENCYPART_SIBL
(12,15),(12,27),0.0493356 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0154958 # DEPENDENCYPART_SIBL
(12,16),(12,19),-0.00654509 # DEPENDENCYPART_SIBL
(12,16),(12,23),-0.00823093 # DEPENDENCYPART_SIBL
(12,16),(12,27),-0.0128884 # DEPENDENCYPART_SIBL
(12,18),(12,19),-0.0211558 # DEPENDENCYPART_SIBL
(12,18),(12,23),-0.00872194 # DEPENDENCYPART_SIBL
(12,18),(12,27),0.0130605 # DEPENDENCYPART_SIBL
(12,19),(12,23),0.0158398 # DEPENDENCYPART_SIBL
(12,19),(12,27),-0.0370801 # DEPENDENCYPART_SIBL
(12,23),(12,27),0.0806888 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0160703 # DEPENDENCYPART_SIBL
(13,4),(13,14),-0.00785694 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0474808 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.00832554 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.0619028 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0273628 # DEPENDENCYPART_SIBL
(13,4),(13,25),-0.0198089 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00290396 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.00337607 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0141659 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0729034 # DEPENDENCYPART_SIBL
(13,11),(13,19),0.354416 # DEPENDENCYPART_SIBL
(13,11),(13,25),0.028859 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0067561 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0391198 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0877393 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.065857 # DEPENDENCYPART_SIBL
(13,14),(13,25),-0.0449991 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.0156537 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.0235951 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0302649 # DEPENDENCYPART_SIBL
(13,15),(13,25),-0.0352724 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0619467 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0542645 # DEPENDENCYPART_SIBL
(13,16),(13,25),-0.0353157 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.00783993 # DEPENDENCYPART_SIBL
(13,18),(13,25),-0.0419486 # DEPENDENCYPART_SIBL
(13,19),(13,25),-0.0356215 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.000413719 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.126653 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.102516 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.0664632 # DEPENDENCYPART_SIBL
(14,11),(14,19),0.407706 # DEPENDENCYPART_SIBL
(14,11),(14,22),0.0593945 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0487569 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0102152 # DEPENDENCYPART_SIBL
(14,12),(14,18),0.0724582 # DEPENDENCYPART_SIBL
(14,12),(14,19),0.0615458 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0695219 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.00438962 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.0409446 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0487875 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0409374 # DEPENDENCYPART_SIBL
(14,16),(14,18),0.0289478 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0226911 # DEPENDENCYPART_SIBL
(14,16),(14,22),0.0289543 # DEPENDENCYPART_SIBL
(14,18),(14,19),-0.0223118 # DEPENDENCYPART_SIBL
(14,18),(14,22),-0.0187976 # DEPENDENCYPART_SIBL
(14,19),(14,22),0.144158 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0185589 # DEPENDENCYPART_SIBL
(15,13),(15,16),-0.00681896 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0266696 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0837707 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.0601625 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.0267001 # DEPENDENCYPART_SIBL
(15,13),(15,25),0.0481912 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0417601 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.0164053 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0383966 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.162865 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0164362 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.0293317 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0339117 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0867059 # DEPENDENCYPART_SIBL
(15,16),(15,21),0.0112502 # DEPENDENCYPART_SIBL
(15,16),(15,22),-0.0339355 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.020838 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.0607392 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.00350262 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.0751191 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.0177849 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.00727008 # DEPENDENCYPART_SIBL
