# _root_ It starts with conception , taking the sperm 's point of view , then progresses to the baby 's point of view .
#goldHeads=2,0,2,3,2,2,8,10,8,6,10,11,2,15,2,15,18,20,18,16,20,21,2,
#predictedHeads=2,0,2,3,2,2,8,10,8,6,10,11,6,15,6,15,18,20,18,16,20,21,2,
(8,4),(8,16),-0.0674929 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0653842 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.059046 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.288431 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0267915 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.147431 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0127175 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.140625 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.00162876 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0100832 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0345126 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.00192887 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.113107 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0296157 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.00237375 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0270747 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0203652 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0233833 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0240946 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0305756 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.403102 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0171324 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.267873 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0116348 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.00872017 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0176203 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.132546 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.00257014 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.00349458 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.00970961 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.00357195 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.000380137 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0216166 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.028063 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0205396 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0074288 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0141412 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.0127867 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.010659 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0157757 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.00564326 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00340726 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0225044 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0289122 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.0364125 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0189675 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0218418 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0110729 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0133765 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0027258 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.00446489 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0234086 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0381842 # DEPENDENCYPART_SIBL
(8,14),(8,15),0.00610539 # DEPENDENCYPART_SIBL
(8,14),(8,16),-0.00237664 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.00977025 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0130623 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0085757 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0196001 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0156142 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0130623 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0370507 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0383122 # DEPENDENCYPART_SIBL
(10,3),(10,12),0.00484517 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0427384 # DEPENDENCYPART_SIBL
(10,3),(10,14),0.0146505 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0324201 # DEPENDENCYPART_SIBL
(10,3),(10,16),0.0149974 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.00744205 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0383122 # DEPENDENCYPART_SIBL
(10,3),(10,23),0.0362634 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.0247361 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0167904 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.126775 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.00814606 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.0356589 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0224118 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0217867 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0203488 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0491177 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0179416 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0382316 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.0221817 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0224118 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0284187 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0537757 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.05343 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0374026 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.138018 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.173105 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0208193 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.105501 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0115668 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.000897333 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0189732 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.0348934 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.173105 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.0258511 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.000823699 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.0391132 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0629156 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0191674 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0262827 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0459707 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0223252 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0246843 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0061645 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0288238 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0191674 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.0556578 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.037489 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.0650987 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.233708 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0295015 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0352979 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0311613 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.127136 # DEPENDENCYPART_SIBL
(10,7),(10,16),-2.97473e-06 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.034999 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.233708 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.118022 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0356589 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0224118 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0217867 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0203488 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0491177 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0179416 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0382316 # DEPENDENCYPART_SIBL
(10,8),(10,20),0.0221817 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.0224118 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.0284187 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0295259 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0207361 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0390293 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0457673 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.0347617 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0186551 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.0178679 # DEPENDENCYPART_SIBL
(10,9),(10,21),-0.0295259 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.0926881 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0038876 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0144644 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0350875 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.048758 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0254716 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.00560437 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.149051 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.00447411 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.00511709 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0156431 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.022348 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.00795396 # DEPENDENCYPART_SIBL
(10,12),(10,20),-0.0216733 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0232146 # DEPENDENCYPART_SIBL
(10,12),(10,23),0.0244599 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.027535 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00946499 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0615832 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.0171487 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.00359369 # DEPENDENCYPART_SIBL
(10,13),(10,23),-0.0159819 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.00179396 # DEPENDENCYPART_SIBL
(10,14),(10,16),-0.0027126 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.00132221 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.0167619 # DEPENDENCYPART_SIBL
(10,14),(10,23),0.0307301 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0110188 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0192464 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.00475547 # DEPENDENCYPART_SIBL
(10,15),(10,23),0.00427373 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.00169756 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.00633364 # DEPENDENCYPART_SIBL
(10,16),(10,23),0.0761705 # DEPENDENCYPART_SIBL
(10,20),(10,21),-0.0234385 # DEPENDENCYPART_SIBL
(10,20),(10,23),0.0422439 # DEPENDENCYPART_SIBL
(10,21),(10,23),-0.00447411 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.058979 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0589335 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.122883 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.082842 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.00594208 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0329114 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.011058 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.127352 # DEPENDENCYPART_SIBL
(11,8),(11,10),0.0201183 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0587401 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0769092 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0128004 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0384312 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.00590357 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0592869 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0595818 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0789945 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0107373 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0399714 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.00300279 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0601286 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.00661071 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0136085 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0338454 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0466635 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.111249 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0837511 # DEPENDENCYPART_SIBL
(11,13),(11,15),0.0450568 # DEPENDENCYPART_SIBL
(11,13),(11,16),0.0311403 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0165313 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.0312179 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.00461722 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0276029 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.0200121 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0434266 # DEPENDENCYPART_SIBL
(11,16),(11,20),0.00167451 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.00465854 # DEPENDENCYPART_SIBL
(12,6),(12,8),0.0384713 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0342683 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0103899 # DEPENDENCYPART_SIBL
(12,6),(12,13),-0.0443878 # DEPENDENCYPART_SIBL
(12,6),(12,14),0.0181149 # DEPENDENCYPART_SIBL
(12,6),(12,15),-0.0355336 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.0306079 # DEPENDENCYPART_SIBL
(12,6),(12,20),-0.0354407 # DEPENDENCYPART_SIBL
(12,6),(12,21),0.00792206 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0414154 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0325494 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0284902 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0417885 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0395132 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.102028 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0175333 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0381022 # DEPENDENCYPART_SIBL
(12,7),(12,21),0.264584 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.00503145 # DEPENDENCYPART_SIBL
(12,8),(12,11),0.0148071 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0259481 # DEPENDENCYPART_SIBL
(12,8),(12,14),0.0428756 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0305688 # DEPENDENCYPART_SIBL
(12,8),(12,16),-0.068836 # DEPENDENCYPART_SIBL
(12,8),(12,20),0.0130404 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.0527136 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.00931719 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0225543 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0401536 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0379882 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0707204 # DEPENDENCYPART_SIBL
(12,10),(12,20),0.00441345 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.0451199 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.0781339 # DEPENDENCYPART_SIBL
(12,11),(12,14),0.0024564 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0410888 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.024087 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.040902 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.0469489 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0128018 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.00570998 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0453704 # DEPENDENCYPART_SIBL
(12,13),(12,20),0.0309572 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.0282184 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.00489485 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.00638708 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.00602407 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.0118577 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0120432 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.022856 # DEPENDENCYPART_SIBL
(12,15),(12,21),0.0131841 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.00483238 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.00135484 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.00079528 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.00832944 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.00404958 # DEPENDENCYPART_SIBL
(14,3),(14,8),-0.00832944 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.0127948 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0402592 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0106005 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.00404958 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0228458 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0141897 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.0838746 # DEPENDENCYPART_SIBL
(14,3),(14,21),0.0882695 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.117069 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.012749 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.0142179 # DEPENDENCYPART_SIBL
(14,4),(14,11),0.0329211 # DEPENDENCYPART_SIBL
(14,4),(14,12),-0.0132968 # DEPENDENCYPART_SIBL
(14,4),(14,13),0.117069 # DEPENDENCYPART_SIBL
(14,4),(14,15),0.0555543 # DEPENDENCYPART_SIBL
(14,4),(14,16),0.00338312 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.170767 # DEPENDENCYPART_SIBL
(14,4),(14,21),0.0632476 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.00918345 # DEPENDENCYPART_SIBL
(14,5),(14,10),0.00791088 # DEPENDENCYPART_SIBL
(14,5),(14,11),0.0426558 # DEPENDENCYPART_SIBL
(14,5),(14,12),0.00892085 # DEPENDENCYPART_SIBL
(14,5),(14,13),0.108704 # DEPENDENCYPART_SIBL
(14,5),(14,15),0.162018 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.121897 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.257885 # DEPENDENCYPART_SIBL
(14,5),(14,21),0.014861 # DEPENDENCYPART_SIBL
(14,8),(14,10),-0.0142179 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0329211 # DEPENDENCYPART_SIBL
(14,8),(14,12),-0.0132968 # DEPENDENCYPART_SIBL
(14,8),(14,13),0.117069 # DEPENDENCYPART_SIBL
(14,8),(14,15),0.0555543 # DEPENDENCYPART_SIBL
(14,8),(14,16),0.00338312 # DEPENDENCYPART_SIBL
(14,8),(14,20),0.170767 # DEPENDENCYPART_SIBL
(14,8),(14,21),0.0632476 # DEPENDENCYPART_SIBL
(14,10),(14,11),0.032615 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.015134 # DEPENDENCYPART_SIBL
(14,10),(14,13),0.117231 # DEPENDENCYPART_SIBL
(14,10),(14,15),0.0510665 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.00333636 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.164029 # DEPENDENCYPART_SIBL
(14,10),(14,21),0.0576491 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0334102 # DEPENDENCYPART_SIBL
(14,11),(14,13),0.00856829 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0314281 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0230304 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0613799 # DEPENDENCYPART_SIBL
(14,11),(14,21),0.0807661 # DEPENDENCYPART_SIBL
(14,12),(14,13),0.116254 # DEPENDENCYPART_SIBL
(14,12),(14,15),0.0516485 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.00333308 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.16997 # DEPENDENCYPART_SIBL
(14,12),(14,21),0.0630795 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.162018 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.121897 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.257885 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.014861 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0127394 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.00233588 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.0564432 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.0369747 # DEPENDENCYPART_SIBL
(14,16),(14,21),0.0201738 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.00565234 # DEPENDENCYPART_SIBL
(15,2),(15,3),-0.0429509 # DEPENDENCYPART_SIBL
(15,2),(15,4),-0.0167665 # DEPENDENCYPART_SIBL
(15,2),(15,5),0.00620574 # DEPENDENCYPART_SIBL
(15,2),(15,6),-0.0466714 # DEPENDENCYPART_SIBL
(15,2),(15,7),-0.0348532 # DEPENDENCYPART_SIBL
(15,2),(15,8),-0.0167665 # DEPENDENCYPART_SIBL
(15,2),(15,10),-0.0212841 # DEPENDENCYPART_SIBL
(15,2),(15,11),-0.0441808 # DEPENDENCYPART_SIBL
(15,2),(15,12),-0.0177911 # DEPENDENCYPART_SIBL
(15,2),(15,13),0.00620574 # DEPENDENCYPART_SIBL
(15,2),(15,14),-0.00351572 # DEPENDENCYPART_SIBL
(15,2),(15,16),-0.0462143 # DEPENDENCYPART_SIBL
(15,2),(15,17),-0.0625938 # DEPENDENCYPART_SIBL
(15,2),(15,18),-0.00671725 # DEPENDENCYPART_SIBL
(15,2),(15,19),-0.0239138 # DEPENDENCYPART_SIBL
(15,2),(15,20),-0.00857235 # DEPENDENCYPART_SIBL
(15,2),(15,21),-0.0365779 # DEPENDENCYPART_SIBL
(15,2),(15,22),-0.00175626 # DEPENDENCYPART_SIBL
(15,2),(15,23),0.00809962 # DEPENDENCYPART_SIBL
(15,3),(15,4),0.00603639 # DEPENDENCYPART_SIBL
(15,3),(15,5),0.0179044 # DEPENDENCYPART_SIBL
(15,3),(15,6),-0.0230111 # DEPENDENCYPART_SIBL
(15,3),(15,7),-0.0250816 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.00603639 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.00675584 # DEPENDENCYPART_SIBL
(15,3),(15,11),-0.0604476 # DEPENDENCYPART_SIBL
(15,3),(15,12),0.00189927 # DEPENDENCYPART_SIBL
(15,3),(15,13),0.0179044 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.0538552 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0832661 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0521778 # DEPENDENCYPART_SIBL
(15,3),(15,18),0.00786012 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0325389 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.00501914 # DEPENDENCYPART_SIBL
(15,3),(15,21),-0.0350114 # DEPENDENCYPART_SIBL
(15,3),(15,22),0.0216531 # DEPENDENCYPART_SIBL
(15,3),(15,23),-0.0176942 # DEPENDENCYPART_SIBL
(15,4),(15,5),0.0065951 # DEPENDENCYPART_SIBL
(15,4),(15,6),-0.00502308 # DEPENDENCYPART_SIBL
(15,4),(15,7),-0.0970505 # DEPENDENCYPART_SIBL
(15,4),(15,8),-0.0925036 # DEPENDENCYPART_SIBL
(15,4),(15,10),-0.0984708 # DEPENDENCYPART_SIBL
(15,4),(15,11),-0.0121553 # DEPENDENCYPART_SIBL
(15,4),(15,12),-0.0940636 # DEPENDENCYPART_SIBL
(15,4),(15,13),0.0065951 # DEPENDENCYPART_SIBL
(15,4),(15,14),-0.0314988 # DEPENDENCYPART_SIBL
(15,4),(15,16),0.00496278 # DEPENDENCYPART_SIBL
(15,4),(15,17),-0.0900006 # DEPENDENCYPART_SIBL
(15,4),(15,18),-0.0224542 # DEPENDENCYPART_SIBL
(15,4),(15,19),0.0364489 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.00781902 # DEPENDENCYPART_SIBL
(15,4),(15,21),0.0036096 # DEPENDENCYPART_SIBL
(15,4),(15,22),-0.00973628 # DEPENDENCYPART_SIBL
(15,4),(15,23),0.0211455 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.00948756 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0170564 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.00314675 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.00262249 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0103815 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.0017001 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.0252901 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.00498767 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.00980263 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.116984 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.00681101 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.107568 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.024232 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.117794 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.000858177 # DEPENDENCYPART_SIBL
(15,5),(15,23),0.0519199 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0253663 # DEPENDENCYPART_SIBL
(15,6),(15,8),0.00277846 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.00173916 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.034689 # DEPENDENCYPART_SIBL
(15,6),(15,12),0.00175382 # DEPENDENCYPART_SIBL
(15,6),(15,13),0.0357058 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.0059758 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.039102 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.0549405 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0101414 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.0163624 # DEPENDENCYPART_SIBL
