# _root_ ( After 1992 , the winter and summer Olympics will be held two years apart , with the revised schedule beginning with the winter games in 1994 and the summer games in 1996 . )
#goldHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,15,12,12,12,20,20,21,17,21,25,25,28,25,26,22,31,31,28,31,32,10,10,
#predictedHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,12,12,12,12,20,20,17,20,21,25,25,22,21,26,22,31,31,28,31,32,10,28,
(7,4),(7,14),-0.0319675 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0144882 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0260725 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.115473 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0185623 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0161295 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.115473 # DEPENDENCYPART_SIBL
(7,4),(7,25),-0.0220575 # DEPENDENCYPART_SIBL
(7,4),(7,34),0.011274 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0977977 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.227514 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.185822 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0987287 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0678002 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00087604 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.080523 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.18791 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0396477 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.033964 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0360326 # DEPENDENCYPART_SIBL
(7,5),(7,20),0.203752 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.0261948 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0360326 # DEPENDENCYPART_SIBL
(7,5),(7,25),0.197527 # DEPENDENCYPART_SIBL
(7,5),(7,34),-0.119036 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0659981 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0132258 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0264218 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.124168 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0662341 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0531687 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0143711 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0196162 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0062014 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.101707 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0501697 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0932007 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.101707 # DEPENDENCYPART_SIBL
(7,6),(7,25),0.0527879 # DEPENDENCYPART_SIBL
(7,6),(7,34),-0.014011 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00603815 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.00176926 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.00426143 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.00165085 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.00803715 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0120763 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.0502016 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0313483 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0157333 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.00604102 # DEPENDENCYPART_SIBL
(7,8),(7,21),0.0185925 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0157333 # DEPENDENCYPART_SIBL
(7,8),(7,25),-0.00612197 # DEPENDENCYPART_SIBL
(7,8),(7,34),-0.0248194 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0172667 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0258956 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0318079 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0278595 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0369416 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0305033 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.00044905 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.0388784 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0309063 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.0115646 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0388784 # DEPENDENCYPART_SIBL
(7,9),(7,25),-0.0309872 # DEPENDENCYPART_SIBL
(7,9),(7,34),-0.0524757 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0144869 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0298907 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.00448198 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.025795 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0486247 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.03197 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0360633 # DEPENDENCYPART_SIBL
(7,10),(7,20),-0.0227724 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.0294008 # DEPENDENCYPART_SIBL
(7,10),(7,22),-0.0360633 # DEPENDENCYPART_SIBL
(7,10),(7,25),-0.0228145 # DEPENDENCYPART_SIBL
(7,10),(7,34),0.0391376 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0494867 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0176529 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0239342 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.00576311 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.00312205 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.00244563 # DEPENDENCYPART_SIBL
(7,11),(7,20),-0.019512 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.0496455 # DEPENDENCYPART_SIBL
(7,11),(7,22),-0.00244563 # DEPENDENCYPART_SIBL
(7,11),(7,25),-0.0195632 # DEPENDENCYPART_SIBL
(7,11),(7,34),-0.00352949 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.00779609 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0104883 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.00505094 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.00154852 # DEPENDENCYPART_SIBL
(7,12),(7,17),-0.00669457 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.00606751 # DEPENDENCYPART_SIBL
(7,12),(7,21),-0.0404352 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.00669457 # DEPENDENCYPART_SIBL
(7,12),(7,25),-0.00611874 # DEPENDENCYPART_SIBL
(7,12),(7,34),0.0262422 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0258943 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.00189005 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0263347 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0647274 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.0216155 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0278813 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0647274 # DEPENDENCYPART_SIBL
(7,13),(7,25),-0.0216572 # DEPENDENCYPART_SIBL
(7,13),(7,34),-0.083874 # DEPENDENCYPART_SIBL
(7,14),(7,15),0.027882 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.00874166 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.0514066 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.0256335 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.00396661 # DEPENDENCYPART_SIBL
(7,14),(7,22),-0.0514066 # DEPENDENCYPART_SIBL
(7,14),(7,25),-0.0257145 # DEPENDENCYPART_SIBL
(7,14),(7,34),-0.0572269 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0052457 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0312792 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.00371335 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.0152723 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.0312792 # DEPENDENCYPART_SIBL
(7,15),(7,25),0.00366164 # DEPENDENCYPART_SIBL
(7,15),(7,34),-0.0554028 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.00134224 # DEPENDENCYPART_SIBL
(7,16),(7,20),0.0132957 # DEPENDENCYPART_SIBL
(7,16),(7,21),0.00855658 # DEPENDENCYPART_SIBL
(7,16),(7,22),-0.00134224 # DEPENDENCYPART_SIBL
(7,16),(7,25),0.0132436 # DEPENDENCYPART_SIBL
(7,16),(7,34),-0.00925661 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.02596 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.0310084 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.0362878 # DEPENDENCYPART_SIBL
(7,17),(7,25),-0.025548 # DEPENDENCYPART_SIBL
(7,17),(7,34),-0.0271274 # DEPENDENCYPART_SIBL
(7,20),(7,21),-0.00332952 # DEPENDENCYPART_SIBL
(7,20),(7,22),-0.0337462 # DEPENDENCYPART_SIBL
(7,20),(7,25),-0.0178497 # DEPENDENCYPART_SIBL
(7,20),(7,34),-0.0433796 # DEPENDENCYPART_SIBL
(7,21),(7,22),0.00283042 # DEPENDENCYPART_SIBL
(7,21),(7,25),-0.0100372 # DEPENDENCYPART_SIBL
(7,21),(7,34),0.00428426 # DEPENDENCYPART_SIBL
(7,22),(7,25),-0.025548 # DEPENDENCYPART_SIBL
(7,22),(7,34),-0.0271274 # DEPENDENCYPART_SIBL
(7,25),(7,34),-0.0441343 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.008076 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0206095 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0883589 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0655477 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0936832 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.00402079 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0652773 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0346616 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0109635 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0113138 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0443032 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.0339475 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.00766095 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0480077 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0296905 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0840936 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.103427 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0349453 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0141651 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.00375252 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.0189474 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.00212242 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.00548653 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0256199 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0178163 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.00661001 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.00530878 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.0367802 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.064512 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.494907 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0423457 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.212396 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0120995 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0358004 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.00400239 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.013135 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0879528 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.00188186 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.0213839 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.025875 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0213839 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.0213839 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0153182 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0522984 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0255787 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.0288918 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.024593 # DEPENDENCYPART_SIBL
(10,1),(10,28),0.0722147 # DEPENDENCYPART_SIBL
(10,1),(10,34),0.0348266 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0113639 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0127409 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0255623 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.00983549 # DEPENDENCYPART_SIBL
(10,2),(10,7),-2.776e-05 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.00995702 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.00804192 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.00830974 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0257753 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.00283788 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.00601833 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0108067 # DEPENDENCYPART_SIBL
(10,2),(10,28),0.0426554 # DEPENDENCYPART_SIBL
(10,2),(10,34),-0.0124542 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0210336 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0434606 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0117403 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0147939 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0180769 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0199622 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0104149 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0975423 # DEPENDENCYPART_SIBL
(10,3),(10,15),0.0147584 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0502811 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0859225 # DEPENDENCYPART_SIBL
(10,3),(10,28),0.0381435 # DEPENDENCYPART_SIBL
(10,3),(10,34),-0.0560695 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0267817 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.00417319 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.000785984 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.00427487 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.00225609 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.188076 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.0096488 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0756659 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.139867 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0944551 # DEPENDENCYPART_SIBL
(10,4),(10,28),0.0054442 # DEPENDENCYPART_SIBL
(10,4),(10,34),0.076333 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0139232 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.118861 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.01993 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0170342 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0104471 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.037114 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0513695 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0208761 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0464266 # DEPENDENCYPART_SIBL
(10,5),(10,28),0.0194701 # DEPENDENCYPART_SIBL
(10,5),(10,34),-0.121044 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.034241 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.11217 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.109428 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.103551 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.01437 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00893774 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0229204 # DEPENDENCYPART_SIBL
(10,6),(10,17),-0.0617428 # DEPENDENCYPART_SIBL
(10,6),(10,28),-0.0101887 # DEPENDENCYPART_SIBL
(10,6),(10,34),0.00690075 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.00932185 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0107492 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.14383 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0272962 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0242892 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0698645 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0799281 # DEPENDENCYPART_SIBL
(10,7),(10,28),0.122826 # DEPENDENCYPART_SIBL
(10,7),(10,34),0.114435 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.10043 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.106647 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0174654 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.00759055 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0273148 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0639309 # DEPENDENCYPART_SIBL
(10,8),(10,28),-0.0112346 # DEPENDENCYPART_SIBL
(10,8),(10,34),0.00909384 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.101548 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0123665 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.00893273 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0229185 # DEPENDENCYPART_SIBL
(10,9),(10,17),-0.0671871 # DEPENDENCYPART_SIBL
(10,9),(10,28),-0.00998989 # DEPENDENCYPART_SIBL
(10,9),(10,34),0.00547464 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.143369 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.127725 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.05907 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0777207 # DEPENDENCYPART_SIBL
(10,11),(10,28),-0.173107 # DEPENDENCYPART_SIBL
(10,11),(10,34),0.0141239 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.104532 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.066663 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.0788131 # DEPENDENCYPART_SIBL
(10,12),(10,28),-0.154324 # DEPENDENCYPART_SIBL
(10,12),(10,34),0.0258937 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0700734 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0280364 # DEPENDENCYPART_SIBL
(10,15),(10,28),-0.0608757 # DEPENDENCYPART_SIBL
(10,15),(10,34),-0.00840807 # DEPENDENCYPART_SIBL
(10,16),(10,17),-0.00668973 # DEPENDENCYPART_SIBL
(10,16),(10,28),-0.0331525 # DEPENDENCYPART_SIBL
(10,16),(10,34),-0.026701 # DEPENDENCYPART_SIBL
(10,17),(10,28),-0.0553892 # DEPENDENCYPART_SIBL
(10,17),(10,34),0.0169433 # DEPENDENCYPART_SIBL
(10,28),(10,34),-0.0055711 # DEPENDENCYPART_SIBL
(11,2),(11,3),0.0190508 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.0749998 # DEPENDENCYPART_SIBL
(11,2),(11,6),0.0551813 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.00337549 # DEPENDENCYPART_SIBL
(11,2),(11,8),0.0548415 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.0505268 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0041558 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0426684 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.0189201 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.00301873 # DEPENDENCYPART_SIBL
(11,2),(11,15),-0.057884 # DEPENDENCYPART_SIBL
(11,2),(11,16),-0.0644316 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.069905 # DEPENDENCYPART_SIBL
(11,2),(11,20),0.0126356 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0222548 # DEPENDENCYPART_SIBL
(11,2),(11,28),-0.0273674 # DEPENDENCYPART_SIBL
(11,2),(11,34),0.00331835 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.0595122 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.0104946 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.0303858 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.0174155 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0208619 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0385484 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0722948 # DEPENDENCYPART_SIBL
(11,3),(11,13),0.0584088 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.0466976 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0132946 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0499284 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.166643 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.034024 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.0791738 # DEPENDENCYPART_SIBL
(11,3),(11,28),-0.0197943 # DEPENDENCYPART_SIBL
(11,3),(11,34),-0.0256349 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.0187492 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.00655907 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0195334 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.0204093 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0620504 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0122155 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0717957 # DEPENDENCYPART_SIBL
(11,4),(11,14),-0.0536116 # DEPENDENCYPART_SIBL
(11,4),(11,15),-0.0671811 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.163736 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0869397 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0349198 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.00294558 # DEPENDENCYPART_SIBL
(11,4),(11,28),-0.032623 # DEPENDENCYPART_SIBL
(11,4),(11,34),0.026524 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0151328 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0774076 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0758583 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0351644 # DEPENDENCYPART_SIBL
(11,6),(11,12),0.0646198 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.000216393 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0664328 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.000963252 # DEPENDENCYPART_SIBL
(11,6),(11,16),0.0201176 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0838527 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0300492 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.0473591 # DEPENDENCYPART_SIBL
(11,6),(11,28),0.00213018 # DEPENDENCYPART_SIBL
(11,6),(11,34),0.0340419 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0298048 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0342208 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0616559 # DEPENDENCYPART_SIBL
(11,7),(11,12),0.0422608 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0105895 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0404566 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0356776 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.0224569 # DEPENDENCYPART_SIBL
(11,7),(11,17),-0.0166019 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.0323739 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.0390333 # DEPENDENCYPART_SIBL
(11,7),(11,28),-0.0291886 # DEPENDENCYPART_SIBL
(11,7),(11,34),0.0220902 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0408682 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0193493 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0778123 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0036954 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0675091 # DEPENDENCYPART_SIBL
(11,8),(11,15),0.00198749 # DEPENDENCYPART_SIBL
(11,8),(11,16),0.0186178 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0839363 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.0311255 # DEPENDENCYPART_SIBL
(11,8),(11,21),0.0605517 # DEPENDENCYPART_SIBL
(11,8),(11,28),0.00548169 # DEPENDENCYPART_SIBL
(11,8),(11,34),0.0451004 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.0351644 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0576866 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.00260528 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0676579 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.00378963 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0172984 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0921184 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.0312742 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.040426 # DEPENDENCYPART_SIBL
(11,9),(11,28),-0.000492237 # DEPENDENCYPART_SIBL
(11,9),(11,34),0.0283693 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0673035 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0448927 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0640544 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0481658 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.121857 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.122498 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0561563 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0760782 # DEPENDENCYPART_SIBL
(11,10),(11,28),-0.07065 # DEPENDENCYPART_SIBL
(11,10),(11,34),-0.0022682 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0422074 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0285172 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0421506 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.00121061 # DEPENDENCYPART_SIBL
