# _root_ Aaron Ment , Connecticut 's chief court administrator , declined to comment on the suit and the EEOC 's intervention .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
(8,6),(8,7),0.0575257 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.0591129 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0458246 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.040137 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.0710456 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0601914 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0177038 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0415659 # DEPENDENCYPART_SIBL
(8,6),(8,21),-0.0897985 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.000147037 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0136476 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.000422229 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.00709623 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0152904 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.00642157 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.00222199 # DEPENDENCYPART_SIBL
(8,7),(8,21),-0.00487939 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.019271 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0179533 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0710414 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0411596 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.0151261 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.0443143 # DEPENDENCYPART_SIBL
(8,9),(8,21),0.00518579 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0151291 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.0023513 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0119303 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.0246663 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0110426 # DEPENDENCYPART_SIBL
(8,10),(8,21),0.0253737 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0136922 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.00747434 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0260873 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.00658664 # DEPENDENCYPART_SIBL
(8,12),(8,21),0.0317591 # DEPENDENCYPART_SIBL
(8,13),(8,15),0.0533064 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0050358 # DEPENDENCYPART_SIBL
(8,13),(8,20),0.0545236 # DEPENDENCYPART_SIBL
(8,13),(8,21),0.084607 # DEPENDENCYPART_SIBL
(8,15),(8,16),-0.0441606 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0143412 # DEPENDENCYPART_SIBL
(8,15),(8,21),0.0347024 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0386533 # DEPENDENCYPART_SIBL
(8,16),(8,21),0.00447609 # DEPENDENCYPART_SIBL
(8,20),(8,21),0.0235495 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.106257 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0411499 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.106506 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.0214932 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0817888 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.106648 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.0411499 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.0267259 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.00567463 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.0311997 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.0195282 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.040307 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.0262136 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.033229 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0411499 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.106506 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.0214932 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0817888 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.106648 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.0411499 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0267259 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.00567463 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0311997 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0195282 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.040307 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0262136 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.033229 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.0299073 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0208017 # DEPENDENCYPART_SIBL
(10,3),(10,7),0.00847997 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.0309507 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.0381842 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0238286 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0818175 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0684071 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0515726 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0881909 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0732324 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.00738577 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0215128 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0808195 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.105679 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.041251 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0262326 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.00459695 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.033323 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0210097 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0408002 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.0276951 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0325837 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.020442 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0326897 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.0500547 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.00352829 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.0219988 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.0636822 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0168976 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0333698 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.0222648 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.00760748 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0766777 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.00354703 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0306487 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0283635 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0239002 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0280979 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.071316 # DEPENDENCYPART_SIBL
(10,7),(10,20),-0.0370782 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.00647966 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0417778 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0254696 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.00364664 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0299434 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.021102 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0420691 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0277874 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.0282631 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0238286 # DEPENDENCYPART_SIBL
(10,9),(10,12),-0.0818175 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0684071 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0515726 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0881909 # DEPENDENCYPART_SIBL
(10,9),(10,20),-0.0732324 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.00738577 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.0228951 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0624827 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.008411 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0319599 # DEPENDENCYPART_SIBL
(10,11),(10,20),-0.0101208 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0570529 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0025134 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.0411719 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0169747 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0391172 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.194243 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.0119892 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0309534 # DEPENDENCYPART_SIBL
(10,13),(10,20),-0.0135008 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.0349055 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0233598 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.0110448 # DEPENDENCYPART_SIBL
(10,15),(10,21),0.0718154 # DEPENDENCYPART_SIBL
(10,16),(10,20),-0.0507196 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0229807 # DEPENDENCYPART_SIBL
(10,20),(10,21),0.0200112 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.00741632 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0409879 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0454214 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0100519 # DEPENDENCYPART_SIBL
(11,9),(11,20),0.0395581 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.00168377 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0206744 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0714081 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.0208296 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0101561 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0456933 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0100026 # DEPENDENCYPART_SIBL
(11,15),(11,16),-0.108012 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.0978226 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0507165 # DEPENDENCYPART_SIBL
(12,1),(12,2),-0.113549 # DEPENDENCYPART_SIBL
(12,1),(12,3),-0.011878 # DEPENDENCYPART_SIBL
(12,1),(12,8),-0.11394 # DEPENDENCYPART_SIBL
(12,1),(12,9),-0.011878 # DEPENDENCYPART_SIBL
(12,1),(12,10),-0.0236618 # DEPENDENCYPART_SIBL
(12,1),(12,11),-0.0207769 # DEPENDENCYPART_SIBL
(12,1),(12,13),0.00854418 # DEPENDENCYPART_SIBL
(12,1),(12,14),-0.109057 # DEPENDENCYPART_SIBL
(12,1),(12,15),-0.0211593 # DEPENDENCYPART_SIBL
(12,1),(12,16),0.00565497 # DEPENDENCYPART_SIBL
(12,1),(12,17),-0.109057 # DEPENDENCYPART_SIBL
(12,1),(12,18),-0.0313243 # DEPENDENCYPART_SIBL
(12,1),(12,20),-0.0278447 # DEPENDENCYPART_SIBL
(12,1),(12,21),0.010183 # DEPENDENCYPART_SIBL
(12,2),(12,3),-0.011878 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.11394 # DEPENDENCYPART_SIBL
(12,2),(12,9),-0.011878 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0236618 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0207769 # DEPENDENCYPART_SIBL
(12,2),(12,13),0.00854418 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.109057 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0211593 # DEPENDENCYPART_SIBL
(12,2),(12,16),0.00565497 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.109057 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.0313243 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0278447 # DEPENDENCYPART_SIBL
(12,2),(12,21),0.010183 # DEPENDENCYPART_SIBL
(12,3),(12,8),-0.0029362 # DEPENDENCYPART_SIBL
(12,3),(12,9),0.0258338 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0129591 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0591119 # DEPENDENCYPART_SIBL
(12,3),(12,13),-0.0366179 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.11856 # DEPENDENCYPART_SIBL
(12,3),(12,15),0.000445522 # DEPENDENCYPART_SIBL
(12,3),(12,16),0.000983807 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.11856 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.0235877 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.0212142 # DEPENDENCYPART_SIBL
(12,3),(12,21),0.0526466 # DEPENDENCYPART_SIBL
(12,8),(12,9),-0.0125059 # DEPENDENCYPART_SIBL
(12,8),(12,10),-0.024027 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0208 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.00728787 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.110314 # DEPENDENCYPART_SIBL
(12,8),(12,15),-0.0227331 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.00389282 # DEPENDENCYPART_SIBL
(12,8),(12,17),-0.110314 # DEPENDENCYPART_SIBL
(12,8),(12,18),-0.032898 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0294185 # DEPENDENCYPART_SIBL
(12,8),(12,21),0.00521717 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.0129591 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0591119 # DEPENDENCYPART_SIBL
(12,9),(12,13),-0.0366179 # DEPENDENCYPART_SIBL
(12,9),(12,14),-0.11856 # DEPENDENCYPART_SIBL
(12,9),(12,15),0.000445522 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.000983807 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.11856 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0235877 # DEPENDENCYPART_SIBL
(12,9),(12,20),-0.0212142 # DEPENDENCYPART_SIBL
(12,9),(12,21),0.0526466 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0159156 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0318314 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0799116 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.00153096 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.00794561 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0799116 # DEPENDENCYPART_SIBL
(12,10),(12,18),-0.0126772 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.00941637 # DEPENDENCYPART_SIBL
(12,10),(12,21),0.0449325 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.00443798 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0278603 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.00447198 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.026107 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0278603 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0160226 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.0150085 # DEPENDENCYPART_SIBL
(12,11),(12,21),-0.264278 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0635236 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0508549 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0537635 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0635236 # DEPENDENCYPART_SIBL
(12,13),(12,18),-0.0524728 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0523664 # DEPENDENCYPART_SIBL
(12,13),(12,21),-0.0369996 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.0435117 # DEPENDENCYPART_SIBL
(12,14),(12,16),-0.037142 # DEPENDENCYPART_SIBL
(12,14),(12,17),-0.0331341 # DEPENDENCYPART_SIBL
(12,14),(12,18),-0.0453622 # DEPENDENCYPART_SIBL
(12,14),(12,20),-0.0452542 # DEPENDENCYPART_SIBL
(12,14),(12,21),-0.0405399 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.0289583 # DEPENDENCYPART_SIBL
(12,15),(12,17),-0.0177321 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.0275851 # DEPENDENCYPART_SIBL
(12,15),(12,20),-0.027478 # DEPENDENCYPART_SIBL
(12,15),(12,21),0.0318782 # DEPENDENCYPART_SIBL
(12,16),(12,17),0.00741057 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0329615 # DEPENDENCYPART_SIBL
(12,16),(12,20),-0.0328536 # DEPENDENCYPART_SIBL
(12,16),(12,21),0.00441429 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.0453622 # DEPENDENCYPART_SIBL
(12,17),(12,20),-0.0452542 # DEPENDENCYPART_SIBL
(12,17),(12,21),-0.0405399 # DEPENDENCYPART_SIBL
(12,18),(12,20),-0.0515184 # DEPENDENCYPART_SIBL
(12,18),(12,21),-0.013274 # DEPENDENCYPART_SIBL
(12,20),(12,21),-0.019926 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.00277757 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.00130291 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0450861 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.02038 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.0185101 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.016688 # DEPENDENCYPART_SIBL
(13,8),(13,20),-0.0163284 # DEPENDENCYPART_SIBL
(13,8),(13,21),-0.0414542 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.00354107 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0265313 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0261555 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.009841 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0255143 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0265691 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.147811 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.0107953 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0900763 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.00486766 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.0906517 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0905832 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.00926255 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0688141 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0859941 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0686577 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.0686577 # DEPENDENCYPART_SIBL
(13,14),(13,21),0.0415887 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.167777 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.103781 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.103781 # DEPENDENCYPART_SIBL
(13,15),(13,21),0.0592696 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0725476 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.0725476 # DEPENDENCYPART_SIBL
(13,16),(13,21),0.0761156 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.121188 # DEPENDENCYPART_SIBL
(13,18),(13,21),0.0315443 # DEPENDENCYPART_SIBL
(13,20),(13,21),0.0295067 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.00669548 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0200541 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.0102723 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.00927675 # DEPENDENCYPART_SIBL
(15,12),(15,20),0.00786497 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.00262028 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0131222 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0173159 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0159449 # DEPENDENCYPART_SIBL
(15,14),(15,20),0.00697794 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.0406541 # DEPENDENCYPART_SIBL
(16,1),(16,2),-0.0128457 # DEPENDENCYPART_SIBL
(16,1),(16,3),0.0265863 # DEPENDENCYPART_SIBL
(16,1),(16,4),-0.013011 # DEPENDENCYPART_SIBL
(16,1),(16,6),-0.045976 # DEPENDENCYPART_SIBL
(16,1),(16,7),0.0224778 # DEPENDENCYPART_SIBL
(16,1),(16,8),-0.014759 # DEPENDENCYPART_SIBL
(16,1),(16,9),0.0265863 # DEPENDENCYPART_SIBL
(16,1),(16,10),0.0391941 # DEPENDENCYPART_SIBL
(16,1),(16,11),-0.0331763 # DEPENDENCYPART_SIBL
(16,1),(16,12),-0.00668345 # DEPENDENCYPART_SIBL
(16,1),(16,13),-0.0330005 # DEPENDENCYPART_SIBL
(16,1),(16,14),-0.130209 # DEPENDENCYPART_SIBL
(16,1),(16,15),-0.0212353 # DEPENDENCYPART_SIBL
(16,1),(16,17),-0.0755391 # DEPENDENCYPART_SIBL
(16,1),(16,18),0.0566119 # DEPENDENCYPART_SIBL
(16,1),(16,19),-0.105532 # DEPENDENCYPART_SIBL
(16,1),(16,20),0.0567289 # DEPENDENCYPART_SIBL
(16,1),(16,21),-0.0156029 # DEPENDENCYPART_SIBL
(16,2),(16,3),0.0265863 # DEPENDENCYPART_SIBL
(16,2),(16,4),-0.013011 # DEPENDENCYPART_SIBL
(16,2),(16,6),-0.045976 # DEPENDENCYPART_SIBL
(16,2),(16,7),0.0224778 # DEPENDENCYPART_SIBL
(16,2),(16,8),-0.014759 # DEPENDENCYPART_SIBL
(16,2),(16,9),0.0265863 # DEPENDENCYPART_SIBL
(16,2),(16,10),0.0391941 # DEPENDENCYPART_SIBL
(16,2),(16,11),-0.0331763 # DEPENDENCYPART_SIBL
(16,2),(16,12),-0.00668345 # DEPENDENCYPART_SIBL
(16,2),(16,13),-0.0330005 # DEPENDENCYPART_SIBL
(16,2),(16,14),-0.130209 # DEPENDENCYPART_SIBL
(16,2),(16,15),-0.0212353 # DEPENDENCYPART_SIBL
(16,2),(16,17),-0.0755391 # DEPENDENCYPART_SIBL
(16,2),(16,18),0.0566119 # DEPENDENCYPART_SIBL
(16,2),(16,19),-0.105532 # DEPENDENCYPART_SIBL
(16,2),(16,20),0.0567289 # DEPENDENCYPART_SIBL
(16,2),(16,21),-0.0156029 # DEPENDENCYPART_SIBL
(16,3),(16,4),-0.001844 # DEPENDENCYPART_SIBL
(16,3),(16,6),-0.0499073 # DEPENDENCYPART_SIBL
(16,3),(16,7),0.033188 # DEPENDENCYPART_SIBL
(16,3),(16,8),-0.00458311 # DEPENDENCYPART_SIBL
(16,3),(16,9),0.0649963 # DEPENDENCYPART_SIBL
(16,3),(16,10),0.0649263 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0339975 # DEPENDENCYPART_SIBL
(16,3),(16,12),0.00737655 # DEPENDENCYPART_SIBL
(16,3),(16,13),-0.0351803 # DEPENDENCYPART_SIBL
(16,3),(16,14),-0.0870495 # DEPENDENCYPART_SIBL
(16,3),(16,15),-0.00973326 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.10948 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.0168291 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.113199 # DEPENDENCYPART_SIBL
(16,3),(16,20),-0.0173257 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.0143621 # DEPENDENCYPART_SIBL
(16,4),(16,6),-0.0459956 # DEPENDENCYPART_SIBL
(16,4),(16,7),0.0234471 # DEPENDENCYPART_SIBL
(16,4),(16,8),-0.0137897 # DEPENDENCYPART_SIBL
(16,4),(16,9),0.0264852 # DEPENDENCYPART_SIBL
(16,4),(16,10),0.0391936 # DEPENDENCYPART_SIBL
(16,4),(16,11),-0.0331763 # DEPENDENCYPART_SIBL
(16,4),(16,12),-0.00668396 # DEPENDENCYPART_SIBL
(16,4),(16,13),-0.0330005 # DEPENDENCYPART_SIBL
(16,4),(16,14),-0.130209 # DEPENDENCYPART_SIBL
(16,4),(16,15),-0.020266 # DEPENDENCYPART_SIBL
(16,4),(16,17),-0.0755391 # DEPENDENCYPART_SIBL
(16,4),(16,18),0.0559101 # DEPENDENCYPART_SIBL
(16,4),(16,19),-0.105422 # DEPENDENCYPART_SIBL
(16,4),(16,20),0.0560271 # DEPENDENCYPART_SIBL
(16,4),(16,21),-0.0156679 # DEPENDENCYPART_SIBL
(16,6),(16,7),-0.017039 # DEPENDENCYPART_SIBL
(16,6),(16,8),-0.0339628 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.0987626 # DEPENDENCYPART_SIBL
(16,6),(16,10),0.00595128 # DEPENDENCYPART_SIBL
(16,6),(16,11),-0.0388812 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.0364566 # DEPENDENCYPART_SIBL
(16,6),(16,13),-0.0525114 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.112978 # DEPENDENCYPART_SIBL
(16,6),(16,15),-0.0513928 # DEPENDENCYPART_SIBL
(16,6),(16,17),-0.0694653 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.0381226 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0925555 # DEPENDENCYPART_SIBL
(16,6),(16,20),-0.0381881 # DEPENDENCYPART_SIBL
(16,6),(16,21),-0.0880794 # DEPENDENCYPART_SIBL
(16,7),(16,8),-0.0172368 # DEPENDENCYPART_SIBL
(16,7),(16,9),0.029258 # DEPENDENCYPART_SIBL
(16,7),(16,10),0.0240236 # DEPENDENCYPART_SIBL
(16,7),(16,11),-0.043786 # DEPENDENCYPART_SIBL
(16,7),(16,12),-0.0218539 # DEPENDENCYPART_SIBL
(16,7),(16,13),-0.0368118 # DEPENDENCYPART_SIBL
(16,7),(16,14),-0.137714 # DEPENDENCYPART_SIBL
(16,7),(16,15),-0.0237618 # DEPENDENCYPART_SIBL
(16,7),(16,17),-0.0714294 # DEPENDENCYPART_SIBL
(16,7),(16,18),0.062653 # DEPENDENCYPART_SIBL
(16,7),(16,19),-0.101434 # DEPENDENCYPART_SIBL
(16,7),(16,20),0.06277 # DEPENDENCYPART_SIBL
(16,7),(16,21),-0.0320014 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.0233362 # DEPENDENCYPART_SIBL
(16,8),(16,10),0.0365428 # DEPENDENCYPART_SIBL
(16,8),(16,11),-0.0349158 # DEPENDENCYPART_SIBL
