# _root_ `` It 's the whole uncertainty about what 's happening around us , '' said Valentin Von Korff , a trader at Credit Suisse First Boston in Frankfurt .
#goldHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
#predictedHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
(6,9),(6,19),0.00931942 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0176643 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.00321976 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0186722 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.0725714 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0111067 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0104591 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0186722 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.00248247 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0386689 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.00622418 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0128241 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.00293707 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0386689 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.0572569 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.0777678 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.00729306 # DEPENDENCYPART_SIBL
(6,13),(6,18),0.0393167 # DEPENDENCYPART_SIBL
(6,13),(6,19),0.0297639 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.0172802 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0227417 # DEPENDENCYPART_SIBL
(6,14),(6,18),0.0336456 # DEPENDENCYPART_SIBL
(6,14),(6,19),0.0226693 # DEPENDENCYPART_SIBL
(6,14),(6,22),0.025639 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.00467721 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0609759 # DEPENDENCYPART_SIBL
(6,15),(6,22),0.00395972 # DEPENDENCYPART_SIBL
(6,18),(6,19),0.0110969 # DEPENDENCYPART_SIBL
(6,18),(6,22),0.00158103 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.0172802 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0852413 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0713024 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.014822 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0227185 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.06056 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.167907 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.0529368 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.0231148 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0218634 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0598451 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.000936606 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0277783 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0288691 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0510819 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.103012 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.000224867 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0127057 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.00436236 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0305812 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.001205 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00526185 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0245937 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0114001 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0478576 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.00565468 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0368328 # DEPENDENCYPART_SIBL
(7,8),(7,22),0.0310379 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00212253 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0709659 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0834083 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.079053 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0135425 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0230521 # DEPENDENCYPART_SIBL
(7,9),(7,22),0.0778209 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.064865 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0838538 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0645743 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0194811 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0204944 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.07209 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0107619 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0315227 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0111517 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0126089 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.0661744 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0548649 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.0262422 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0136617 # DEPENDENCYPART_SIBL
(7,13),(7,22),0.0740064 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.031049 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0328424 # DEPENDENCYPART_SIBL
(7,14),(7,22),0.0225577 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0232917 # DEPENDENCYPART_SIBL
(7,15),(7,22),0.0688819 # DEPENDENCYPART_SIBL
(7,18),(7,22),0.0486174 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.109835 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.125309 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0365127 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0277734 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0435542 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0122217 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0118234 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0300478 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0430707 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.088803 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.423873 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0494649 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.088803 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.00559022 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.00653511 # DEPENDENCYPART_SIBL
(9,1),(9,27),0.105503 # DEPENDENCYPART_SIBL
(9,1),(9,29),0.141315 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0571277 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0567632 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.177541 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.0406621 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.108277 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0252163 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.247107 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0689066 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.155701 # DEPENDENCYPART_SIBL
(9,2),(9,14),0.129646 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.232531 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.155701 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.184648 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.139371 # DEPENDENCYPART_SIBL
(9,2),(9,27),0.205758 # DEPENDENCYPART_SIBL
(9,2),(9,29),0.237706 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0238743 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.00469276 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.00237045 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0161207 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0322827 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0175414 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0328931 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0357156 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0872699 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0306261 # DEPENDENCYPART_SIBL
(9,3),(9,19),-0.0357156 # DEPENDENCYPART_SIBL
(9,3),(9,21),2.21646e-05 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0496748 # DEPENDENCYPART_SIBL
(9,3),(9,27),0.0170125 # DEPENDENCYPART_SIBL
(9,3),(9,29),0.071593 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0523577 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0471885 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0680239 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.106786 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0551029 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0122276 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0481188 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0228764 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0964581 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.0481188 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0485613 # DEPENDENCYPART_SIBL
(9,4),(9,22),0.0125049 # DEPENDENCYPART_SIBL
(9,4),(9,27),0.100774 # DEPENDENCYPART_SIBL
(9,4),(9,29),0.0502947 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.00627333 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0064051 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.045888 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0217202 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.00700363 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0178361 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.024815 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0219762 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0178361 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.00767993 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.0091054 # DEPENDENCYPART_SIBL
(9,5),(9,27),0.039495 # DEPENDENCYPART_SIBL
(9,5),(9,29),0.0563007 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0299098 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0699981 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0951516 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0823805 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0505739 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0738127 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0723278 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0505739 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.103812 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0443662 # DEPENDENCYPART_SIBL
(9,6),(9,27),-0.038664 # DEPENDENCYPART_SIBL
(9,6),(9,29),-0.0221415 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.153206 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.138344 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0561697 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0685662 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0724255 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.144046 # DEPENDENCYPART_SIBL
(9,7),(9,19),-0.0685662 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0663707 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0885559 # DEPENDENCYPART_SIBL
(9,7),(9,27),-0.00660161 # DEPENDENCYPART_SIBL
(9,7),(9,29),-0.0501501 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.281452 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0645945 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.248356 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.154532 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.318661 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.248356 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.198446 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0574885 # DEPENDENCYPART_SIBL
(9,8),(9,27),-0.02033 # DEPENDENCYPART_SIBL
(9,8),(9,29),-0.241282 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0146207 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.0155847 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0339706 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0396452 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0155847 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.022621 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0224342 # DEPENDENCYPART_SIBL
(9,10),(9,27),-0.00236335 # DEPENDENCYPART_SIBL
(9,10),(9,29),-0.0137328 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.00339541 # DEPENDENCYPART_SIBL
(9,11),(9,14),0.0400936 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0248885 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.00339541 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0202777 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0341444 # DEPENDENCYPART_SIBL
(9,11),(9,27),-0.0241318 # DEPENDENCYPART_SIBL
(9,11),(9,29),-0.070425 # DEPENDENCYPART_SIBL
(9,13),(9,14),0.0634239 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00869994 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.0191676 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.0188881 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0309563 # DEPENDENCYPART_SIBL
(9,13),(9,27),-0.033078 # DEPENDENCYPART_SIBL
(9,13),(9,29),-0.0334108 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0143961 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.00846167 # DEPENDENCYPART_SIBL
(9,14),(9,21),0.0303827 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0384519 # DEPENDENCYPART_SIBL
(9,14),(9,27),-0.00617803 # DEPENDENCYPART_SIBL
(9,14),(9,29),-0.0405534 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.0721903 # DEPENDENCYPART_SIBL
(9,15),(9,21),0.00846551 # DEPENDENCYPART_SIBL
(9,15),(9,22),0.0102747 # DEPENDENCYPART_SIBL
(9,15),(9,27),0.0276964 # DEPENDENCYPART_SIBL
(9,15),(9,29),0.0546544 # DEPENDENCYPART_SIBL
(9,19),(9,21),-0.0188881 # DEPENDENCYPART_SIBL
(9,19),(9,22),-0.0309563 # DEPENDENCYPART_SIBL
(9,19),(9,27),-0.033078 # DEPENDENCYPART_SIBL
(9,19),(9,29),-0.0334108 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.00214754 # DEPENDENCYPART_SIBL
(9,21),(9,27),-0.0071709 # DEPENDENCYPART_SIBL
(9,21),(9,29),-0.0230077 # DEPENDENCYPART_SIBL
(9,22),(9,27),0.0248987 # DEPENDENCYPART_SIBL
(9,22),(9,29),-0.0293938 # DEPENDENCYPART_SIBL
(9,27),(9,29),-0.0194894 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0244104 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0579288 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.000678755 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0308027 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.00726556 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.000141457 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.00723072 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00525249 # DEPENDENCYPART_SIBL
(10,6),(10,18),-0.0226308 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.000141457 # DEPENDENCYPART_SIBL
(10,6),(10,21),-0.0267015 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.0115367 # DEPENDENCYPART_SIBL
(10,6),(10,27),-0.0137517 # DEPENDENCYPART_SIBL
(10,6),(10,29),0.0104037 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.13633 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0714302 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0643248 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0664348 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0836427 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0515144 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.12001 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0466502 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0836427 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.050619 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0968316 # DEPENDENCYPART_SIBL
(10,7),(10,27),-0.0532365 # DEPENDENCYPART_SIBL
(10,7),(10,29),-0.0847398 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.0219128 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0763962 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.122454 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.264664 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.138261 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.315704 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.17816 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.264664 # DEPENDENCYPART_SIBL
(10,8),(10,21),-0.188017 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0664946 # DEPENDENCYPART_SIBL
(10,8),(10,27),-0.0603958 # DEPENDENCYPART_SIBL
(10,8),(10,29),-0.279599 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.040929 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.00823199 # DEPENDENCYPART_SIBL
(10,9),(10,13),-0.0590454 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0698192 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0277755 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.00260706 # DEPENDENCYPART_SIBL
(10,9),(10,19),-0.0590454 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.00680631 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0549081 # DEPENDENCYPART_SIBL
(10,9),(10,27),-0.017858 # DEPENDENCYPART_SIBL
(10,9),(10,29),0.038108 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.0340081 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00610759 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0079267 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0224972 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0151791 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.00610759 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.0193541 # DEPENDENCYPART_SIBL
(10,11),(10,22),-0.00319231 # DEPENDENCYPART_SIBL
(10,11),(10,27),0.00607194 # DEPENDENCYPART_SIBL
(10,11),(10,29),-0.0518684 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.00692962 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0504954 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0221564 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.00288594 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.00692962 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.00120668 # DEPENDENCYPART_SIBL
(10,12),(10,22),0.0144659 # DEPENDENCYPART_SIBL
(10,12),(10,27),-0.0367029 # DEPENDENCYPART_SIBL
(10,12),(10,29),-0.0167149 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0263823 # DEPENDENCYPART_SIBL
(10,13),(10,15),-0.00177088 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.00503607 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0222297 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.00667766 # DEPENDENCYPART_SIBL
(10,13),(10,22),0.0117403 # DEPENDENCYPART_SIBL
(10,13),(10,27),0.00705398 # DEPENDENCYPART_SIBL
(10,13),(10,29),0.00389465 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.00261333 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.0307755 # DEPENDENCYPART_SIBL
(10,14),(10,19),-0.00230196 # DEPENDENCYPART_SIBL
(10,14),(10,21),0.0264849 # DEPENDENCYPART_SIBL
(10,14),(10,22),0.0706549 # DEPENDENCYPART_SIBL
(10,14),(10,27),0.022976 # DEPENDENCYPART_SIBL
(10,14),(10,29),-0.044219 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.00459055 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0423064 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0102641 # DEPENDENCYPART_SIBL
(10,15),(10,22),0.00636016 # DEPENDENCYPART_SIBL
(10,15),(10,27),0.0135902 # DEPENDENCYPART_SIBL
(10,15),(10,29),0.0408104 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.00769117 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0418525 # DEPENDENCYPART_SIBL
(10,18),(10,22),0.0399893 # DEPENDENCYPART_SIBL
(10,18),(10,27),0.0223601 # DEPENDENCYPART_SIBL
(10,18),(10,29),-0.00271126 # DEPENDENCYPART_SIBL
(10,19),(10,21),-0.00667766 # DEPENDENCYPART_SIBL
(10,19),(10,22),0.0117403 # DEPENDENCYPART_SIBL
(10,19),(10,27),0.00705398 # DEPENDENCYPART_SIBL
(10,19),(10,29),0.00389465 # DEPENDENCYPART_SIBL
(10,21),(10,22),0.0278152 # DEPENDENCYPART_SIBL
(10,21),(10,27),0.00968179 # DEPENDENCYPART_SIBL
(10,21),(10,29),-0.00167616 # DEPENDENCYPART_SIBL
(10,22),(10,27),0.0523907 # DEPENDENCYPART_SIBL
(10,22),(10,29),-0.00902198 # DEPENDENCYPART_SIBL
(10,27),(10,29),-0.0179702 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.0295489 # DEPENDENCYPART_SIBL
(11,6),(11,8),0.00620226 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0037199 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.000583453 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.104578 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0126499 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.00541676 # DEPENDENCYPART_SIBL
(11,6),(11,18),0.0221143 # DEPENDENCYPART_SIBL
(11,6),(11,21),0.0236086 # DEPENDENCYPART_SIBL
(11,7),(11,8),0.014563 # DEPENDENCYPART_SIBL
(11,7),(11,10),0.0047617 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0139705 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.13106 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0183317 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0603314 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0201879 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0204754 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.0226563 # DEPENDENCYPART_SIBL
(11,8),(11,12),0.0054205 # DEPENDENCYPART_SIBL
(11,8),(11,13),0.0816535 # DEPENDENCYPART_SIBL
(11,8),(11,14),0.0252454 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0808971 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0553429 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0585796 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0040614 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.11516 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.0102246 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0292927 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0647578 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0609557 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.00722053 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0056014 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.0272123 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.031418 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.031418 # DEPENDENCYPART_SIBL
(11,13),(11,14),0.0350446 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.0152492 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.0247125 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.0205253 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0441432 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0318725 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0320501 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0345309 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.0355857 # DEPENDENCYPART_SIBL
(11,18),(11,21),-0.0884584 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.0140779 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0148315 # DEPENDENCYPART_SIBL
(15,1),(15,2),0.0473797 # DEPENDENCYPART_SIBL
(15,1),(15,3),0.0264433 # DEPENDENCYPART_SIBL
(15,1),(15,6),-0.0344245 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0512014 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.0314895 # DEPENDENCYPART_SIBL
(15,1),(15,9),0.0264433 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.00681214 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.0486134 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.0106076 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.0723889 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.454982 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.00934286 # DEPENDENCYPART_SIBL
(15,1),(15,17),-0.00934286 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.00934286 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.0202166 # DEPENDENCYPART_SIBL
(15,1),(15,21),-0.0206074 # DEPENDENCYPART_SIBL
(15,1),(15,22),-0.0892738 # DEPENDENCYPART_SIBL
(15,1),(15,26),-0.0105426 # DEPENDENCYPART_SIBL
(15,1),(15,27),0.0399834 # DEPENDENCYPART_SIBL
(15,1),(15,29),0.0275365 # DEPENDENCYPART_SIBL
(15,2),(15,3),0.0163115 # DEPENDENCYPART_SIBL
(15,2),(15,6),0.0284033 # DEPENDENCYPART_SIBL
(15,2),(15,7),0.0865838 # DEPENDENCYPART_SIBL
