# _root_ For holders who decide not to tender their shares , Sea Containers will issue one share of preferred stock with a stated value of $ 25 , plus a cash dividend on the common stock .
#goldHeads=13,1,4,2,7,7,4,9,7,13,12,13,0,13,16,28,16,19,17,19,23,23,20,23,26,24,28,14,31,31,28,31,35,35,32,13,
#predictedHeads=13,1,4,2,4,7,4,9,7,13,12,13,0,13,16,14,16,19,17,14,23,23,28,23,26,24,28,20,31,31,28,31,35,35,32,13,
(4,6),(4,13),-0.0803105 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.024366 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0258271 # DEPENDENCYPART_SIBL
(4,6),(4,27),0.0140829 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0670607 # DEPENDENCYPART_SIBL
(4,6),(4,32),0.0464548 # DEPENDENCYPART_SIBL
(4,6),(4,36),-0.0150335 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0106675 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0265108 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0534746 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0236949 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0401552 # DEPENDENCYPART_SIBL
(4,7),(4,27),0.0265108 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.0701481 # DEPENDENCYPART_SIBL
(4,7),(4,32),-0.00497012 # DEPENDENCYPART_SIBL
(4,7),(4,36),0.00716827 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0342159 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0151673 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0112527 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.104635 # DEPENDENCYPART_SIBL
(4,9),(4,27),0.0342159 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.0413294 # DEPENDENCYPART_SIBL
(4,9),(4,32),0.0669602 # DEPENDENCYPART_SIBL
(4,9),(4,36),0.020733 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0186925 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0281164 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0545495 # DEPENDENCYPART_SIBL
(4,10),(4,27),0.027346 # DEPENDENCYPART_SIBL
(4,10),(4,28),-0.0187542 # DEPENDENCYPART_SIBL
(4,10),(4,32),0.0629365 # DEPENDENCYPART_SIBL
(4,10),(4,36),-0.000759577 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0101904 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0503874 # DEPENDENCYPART_SIBL
(4,13),(4,27),0.0166392 # DEPENDENCYPART_SIBL
(4,13),(4,28),-0.0682152 # DEPENDENCYPART_SIBL
(4,13),(4,32),-0.0433066 # DEPENDENCYPART_SIBL
(4,13),(4,36),0.0156678 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.00503314 # DEPENDENCYPART_SIBL
(4,14),(4,27),0.0264228 # DEPENDENCYPART_SIBL
(4,14),(4,28),-0.0582539 # DEPENDENCYPART_SIBL
(4,14),(4,32),0.0148642 # DEPENDENCYPART_SIBL
(4,14),(4,36),0.0228728 # DEPENDENCYPART_SIBL
(4,20),(4,27),0.000629163 # DEPENDENCYPART_SIBL
(4,20),(4,28),-0.0446681 # DEPENDENCYPART_SIBL
(4,20),(4,32),0.071665 # DEPENDENCYPART_SIBL
(4,20),(4,36),-0.0118185 # DEPENDENCYPART_SIBL
(4,27),(4,28),-0.0187542 # DEPENDENCYPART_SIBL
(4,27),(4,32),0.0629365 # DEPENDENCYPART_SIBL
(4,27),(4,36),-0.000759577 # DEPENDENCYPART_SIBL
(4,28),(4,32),0.0319623 # DEPENDENCYPART_SIBL
(4,28),(4,36),-0.0397792 # DEPENDENCYPART_SIBL
(4,32),(4,36),-0.000516027 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.049464 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0440211 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0116485 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0156137 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0803666 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.150812 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0985561 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.000290546 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0397985 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0773548 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0911636 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.142966 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.346006 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.177763 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0365403 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0108869 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.022357 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.10809 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.174152 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0523515 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0118195 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.112688 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.250659 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.201191 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.157217 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0549468 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.107858 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0603794 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0110456 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0252139 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.057393 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0391561 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0357623 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00128221 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0120595 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0555845 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0213205 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0105676 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0114374 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0339467 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.00709488 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0278716 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0448393 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0115505 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.125611 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0201835 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0164678 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.042165 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0350627 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0039849 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.636364 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0229178 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0533598 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0393418 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0218256 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0227991 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00546559 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0192741 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0350508 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0392549 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.0417304 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.0393418 # DEPENDENCYPART_SIBL
(7,1),(7,28),0.0186202 # DEPENDENCYPART_SIBL
(7,1),(7,32),0.010308 # DEPENDENCYPART_SIBL
(7,1),(7,36),0.0431002 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0721768 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00631888 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00136303 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0318624 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0347179 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0232899 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0245389 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0393166 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0356594 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0249454 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.00314359 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0244308 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0241071 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.0466773 # DEPENDENCYPART_SIBL
(7,2),(7,27),-0.0245389 # DEPENDENCYPART_SIBL
(7,2),(7,28),-0.0369776 # DEPENDENCYPART_SIBL
(7,2),(7,32),0.0370202 # DEPENDENCYPART_SIBL
(7,2),(7,36),0.0182168 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0195827 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0175887 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00724664 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0304844 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0397184 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.15412 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0045546 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00552827 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0405052 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00879801 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0403107 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0104376 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0806867 # DEPENDENCYPART_SIBL
(7,3),(7,27),-0.15412 # DEPENDENCYPART_SIBL
(7,3),(7,28),0.00862716 # DEPENDENCYPART_SIBL
(7,3),(7,32),-0.0405779 # DEPENDENCYPART_SIBL
(7,3),(7,36),-0.165509 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0343138 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00712621 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00546069 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0168966 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0481749 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.00121498 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00222986 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0420568 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.00718606 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0443983 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0171642 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0585452 # DEPENDENCYPART_SIBL
(7,4),(7,27),-0.0481749 # DEPENDENCYPART_SIBL
(7,4),(7,28),-0.0184984 # DEPENDENCYPART_SIBL
(7,4),(7,32),-0.00676724 # DEPENDENCYPART_SIBL
(7,4),(7,36),0.0194826 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.228777 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0607711 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00386707 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0381818 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0116797 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00975278 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0889685 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00401957 # DEPENDENCYPART_SIBL
(7,5),(7,15),0.00446508 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.00395065 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0429041 # DEPENDENCYPART_SIBL
(7,5),(7,27),-0.0381818 # DEPENDENCYPART_SIBL
(7,5),(7,28),-0.0249536 # DEPENDENCYPART_SIBL
(7,5),(7,32),-0.00234974 # DEPENDENCYPART_SIBL
(7,5),(7,36),-0.0217096 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0240921 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0833809 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0127077 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.053589 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0539602 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.00445087 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0288159 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0817351 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0415188 # DEPENDENCYPART_SIBL
(7,6),(7,20),0.0933707 # DEPENDENCYPART_SIBL
(7,6),(7,27),-0.0127077 # DEPENDENCYPART_SIBL
(7,6),(7,28),0.0305593 # DEPENDENCYPART_SIBL
(7,6),(7,32),0.0754061 # DEPENDENCYPART_SIBL
(7,6),(7,36),-0.21643 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0109354 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00331486 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0160324 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0177198 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0241159 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0228331 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0325416 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.0109668 # DEPENDENCYPART_SIBL
(7,8),(7,20),0.00692587 # DEPENDENCYPART_SIBL
(7,8),(7,27),-0.00331486 # DEPENDENCYPART_SIBL
(7,8),(7,28),-0.0215017 # DEPENDENCYPART_SIBL
(7,8),(7,32),-0.00643831 # DEPENDENCYPART_SIBL
(7,8),(7,36),-0.0366995 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0317324 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00784941 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0143642 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0157876 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.00272732 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.00366292 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.00354096 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.105307 # DEPENDENCYPART_SIBL
(7,9),(7,27),0.0317324 # DEPENDENCYPART_SIBL
(7,9),(7,28),-0.0380635 # DEPENDENCYPART_SIBL
(7,9),(7,32),0.0673112 # DEPENDENCYPART_SIBL
(7,9),(7,36),0.026923 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.000726782 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00835941 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0125 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0357742 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0194617 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0049353 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.056011 # DEPENDENCYPART_SIBL
(7,10),(7,27),0.0271318 # DEPENDENCYPART_SIBL
(7,10),(7,28),-0.014128 # DEPENDENCYPART_SIBL
(7,10),(7,32),0.0640793 # DEPENDENCYPART_SIBL
(7,10),(7,36),0.00704393 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0538517 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0447998 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.023041 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0260603 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0382001 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0463683 # DEPENDENCYPART_SIBL
(7,11),(7,27),0.00703386 # DEPENDENCYPART_SIBL
(7,11),(7,28),-0.0537543 # DEPENDENCYPART_SIBL
(7,11),(7,32),0.00754044 # DEPENDENCYPART_SIBL
(7,11),(7,36),-0.00483624 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0431071 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.0232855 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.0243676 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0298057 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.0480618 # DEPENDENCYPART_SIBL
(7,12),(7,27),0.0110062 # DEPENDENCYPART_SIBL
(7,12),(7,28),-0.0522625 # DEPENDENCYPART_SIBL
(7,12),(7,32),0.00923394 # DEPENDENCYPART_SIBL
(7,12),(7,36),-0.000539737 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.00632637 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0390978 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0332244 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.0531205 # DEPENDENCYPART_SIBL
(7,13),(7,27),0.0110862 # DEPENDENCYPART_SIBL
(7,13),(7,28),-0.0680179 # DEPENDENCYPART_SIBL
(7,13),(7,32),-0.0463583 # DEPENDENCYPART_SIBL
(7,13),(7,36),0.0187875 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0306576 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.00666338 # DEPENDENCYPART_SIBL
(7,14),(7,20),-0.0126513 # DEPENDENCYPART_SIBL
(7,14),(7,27),0.00549815 # DEPENDENCYPART_SIBL
(7,14),(7,28),-0.0631698 # DEPENDENCYPART_SIBL
(7,14),(7,32),0.00692738 # DEPENDENCYPART_SIBL
(7,14),(7,36),0.0230324 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0330143 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.011428 # DEPENDENCYPART_SIBL
(7,15),(7,27),-0.0121264 # DEPENDENCYPART_SIBL
(7,15),(7,28),-0.0310173 # DEPENDENCYPART_SIBL
(7,15),(7,32),0.0172977 # DEPENDENCYPART_SIBL
(7,15),(7,36),0.0027711 # DEPENDENCYPART_SIBL
(7,16),(7,20),-0.00602141 # DEPENDENCYPART_SIBL
(7,16),(7,27),-0.00186138 # DEPENDENCYPART_SIBL
(7,16),(7,28),-0.0541631 # DEPENDENCYPART_SIBL
(7,16),(7,32),-0.0423115 # DEPENDENCYPART_SIBL
(7,16),(7,36),0.00369041 # DEPENDENCYPART_SIBL
(7,20),(7,27),-0.0106345 # DEPENDENCYPART_SIBL
(7,20),(7,28),-0.0503476 # DEPENDENCYPART_SIBL
(7,20),(7,32),0.0569168 # DEPENDENCYPART_SIBL
(7,20),(7,36),-0.0145527 # DEPENDENCYPART_SIBL
(7,27),(7,28),-0.014128 # DEPENDENCYPART_SIBL
(7,27),(7,32),0.0640793 # DEPENDENCYPART_SIBL
(7,27),(7,36),0.00704393 # DEPENDENCYPART_SIBL
(7,28),(7,32),0.0328618 # DEPENDENCYPART_SIBL
(7,28),(7,36),-0.0322763 # DEPENDENCYPART_SIBL
(7,32),(7,36),-0.00846517 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.011056 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0508497 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.0217095 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.233985 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00853778 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.0180648 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.00422837 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.00118281 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.00142344 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.0233632 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0141491 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0202431 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0161734 # DEPENDENCYPART_SIBL
(9,1),(9,19),-0.00909678 # DEPENDENCYPART_SIBL
(9,1),(9,27),-0.00422837 # DEPENDENCYPART_SIBL
(9,1),(9,36),0.00996628 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0286089 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.0323323 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0123807 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0206888 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0332882 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.00715513 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.051359 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.053536 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0513702 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0210474 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.00742731 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0718315 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.0685871 # DEPENDENCYPART_SIBL
(9,2),(9,27),-0.00715513 # DEPENDENCYPART_SIBL
(9,2),(9,36),-0.00758676 # DEPENDENCYPART_SIBL
(9,3),(9,5),0.0123559 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0410323 # DEPENDENCYPART_SIBL
(9,3),(9,7),0.00420494 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0320865 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0141877 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.0196325 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.0170263 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.0067977 # DEPENDENCYPART_SIBL
(9,3),(9,14),0.0303487 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0283511 # DEPENDENCYPART_SIBL
(9,3),(9,16),0.016999 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.0101979 # DEPENDENCYPART_SIBL
(9,3),(9,27),-0.0141877 # DEPENDENCYPART_SIBL
(9,3),(9,36),-0.0650119 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.120278 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.00612203 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0437094 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0652008 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0549349 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0528118 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00325857 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.0091229 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0161213 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0556965 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0478688 # DEPENDENCYPART_SIBL
(9,5),(9,27),0.0652008 # DEPENDENCYPART_SIBL
(9,5),(9,36),0.0887863 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.00681314 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.0480026 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0371791 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.215535 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.212625 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0234234 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0528596 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0551878 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.201718 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.194617 # DEPENDENCYPART_SIBL
(9,6),(9,27),-0.0371791 # DEPENDENCYPART_SIBL
(9,6),(9,36),-0.0728651 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.00955275 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0346771 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.014351 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0103034 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0085059 # DEPENDENCYPART_SIBL
(9,7),(9,14),0.00186104 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0393973 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0196143 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.00298287 # DEPENDENCYPART_SIBL
(9,7),(9,27),0.0346771 # DEPENDENCYPART_SIBL
(9,7),(9,36),0.0432682 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.158142 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.026904 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0242998 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0164541 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0870681 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0946405 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.0109255 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0144935 # DEPENDENCYPART_SIBL
(9,8),(9,27),0.158142 # DEPENDENCYPART_SIBL
(9,8),(9,36),-0.00631043 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0240897 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0115549 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.015351 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0316043 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.130095 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.0037378 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0240881 # DEPENDENCYPART_SIBL
(9,10),(9,27),0.0159047 # DEPENDENCYPART_SIBL
(9,10),(9,36),0.0110514 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.052663 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0321851 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0317128 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.00365567 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0538376 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.04789 # DEPENDENCYPART_SIBL
(9,11),(9,27),-0.0307861 # DEPENDENCYPART_SIBL
(9,11),(9,36),0.014068 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0324989 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0329952 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.00396948 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0488332 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0428855 # DEPENDENCYPART_SIBL
(9,12),(9,27),-0.0308891 # DEPENDENCYPART_SIBL
(9,12),(9,36),0.0150435 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0145706 # DEPENDENCYPART_SIBL
(9,13),(9,15),0.00653557 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0371179 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0315773 # DEPENDENCYPART_SIBL
(9,13),(9,27),-0.00571776 # DEPENDENCYPART_SIBL
(9,13),(9,36),0.0469734 # DEPENDENCYPART_SIBL
(9,14),(9,15),0.00548728 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0385686 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.0325016 # DEPENDENCYPART_SIBL
