# _root_ The issue is one of a judge 's experience , his competence and his physical ability to serve on the bench , '' Justice Rubin said .
#goldHeads=2,3,26,3,4,7,9,7,13,13,12,13,5,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
#predictedHeads=2,3,26,3,4,7,9,7,5,4,12,13,4,16,16,13,18,16,18,21,19,26,26,25,26,0,26,
(4,16),(4,22),0.0398835 # DEPENDENCYPART_SIBL
(4,16),(4,27),-0.0356683 # DEPENDENCYPART_SIBL
(4,19),(4,22),0.0414624 # DEPENDENCYPART_SIBL
(4,19),(4,27),-0.0282002 # DEPENDENCYPART_SIBL
(4,22),(4,27),0.0258578 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0047695 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00220554 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0998166 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.103869 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0889961 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.100913 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0483777 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0947889 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.16764 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.11522 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.111253 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.108371 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.112474 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0128623 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.112499 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0150533 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0151323 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0339994 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0152869 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0627416 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0152083 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.116501 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00677188 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.116631 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.203382 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.115882 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00569343 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.113403 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.201711 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.112655 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0231436 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0695683 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0237869 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.201679 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.112317 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0711592 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.014175 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.032973 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00811814 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0619786 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0666757 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00353894 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.046522 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00804809 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0287986 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0139828 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0695902 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00599647 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00439364 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0396682 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0104192 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.104445 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.000138646 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00558391 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.00373613 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00941925 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00429091 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.00376871 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0634531 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0274445 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0932106 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.040029 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00489257 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0741185 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0053799 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0620861 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.00518077 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0442555 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.041101 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0132156 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0993974 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.019796 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0783671 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.020256 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.00241942 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0201628 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0409881 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0401935 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.118879 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0349755 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.142577 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0344647 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0858077 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0318262 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.10472 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.272131 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0287813 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0478831 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0286196 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0147929 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.029124 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0269098 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0233676 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00303525 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0142104 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0391801 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0139504 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.000644375 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0207751 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0229888 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.00344429 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0212337 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.0379299 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.010884 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0391531 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0136181 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.00113642 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0216825 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0402639 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0258205 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0147656 # DEPENDENCYPART_SIBL
(7,16),(7,17),-0.000653668 # DEPENDENCYPART_SIBL
(7,16),(7,18),-0.0236969 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.0145221 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0309435 # DEPENDENCYPART_SIBL
(9,2),(9,5),0.011436 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0585195 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0162185 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0207646 # DEPENDENCYPART_SIBL
(9,2),(9,10),0.0378219 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.00852655 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0193713 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.00290296 # DEPENDENCYPART_SIBL
(9,2),(9,16),0.0144612 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0791672 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.00556276 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0351816 # DEPENDENCYPART_SIBL
(9,2),(9,21),-0.00123285 # DEPENDENCYPART_SIBL
(9,2),(9,22),0.0378219 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.0380887 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0267923 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0918381 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0309077 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0221178 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0704924 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.0132856 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0622346 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0371065 # DEPENDENCYPART_SIBL
(9,4),(9,16),0.0130865 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0442545 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.039611 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.000695975 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.0132856 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0704924 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.00675292 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0223237 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0598253 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0208422 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0742607 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00941962 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.00179025 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0446514 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.00932633 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0405085 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0441601 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.00700048 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.00941964 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.0742607 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.0173165 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0206812 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0365165 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.114123 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0131673 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0990631 # DEPENDENCYPART_SIBL
(9,6),(9,15),0.0858727 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0105288 # DEPENDENCYPART_SIBL
(9,6),(9,17),0.117561 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.288577 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.201836 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0131673 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.114123 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.176872 # DEPENDENCYPART_SIBL
(9,7),(9,8),0.0411922 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0909669 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0180659 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0278412 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.00779838 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0240006 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.0682881 # DEPENDENCYPART_SIBL
(9,7),(9,18),-0.00226827 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0538299 # DEPENDENCYPART_SIBL
(9,7),(9,21),0.00830651 # DEPENDENCYPART_SIBL
(9,7),(9,22),0.0909669 # DEPENDENCYPART_SIBL
(9,7),(9,23),0.0523052 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0790415 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.0010214 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0259761 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.00794125 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.000823566 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.00163932 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.00969911 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0204412 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.00102138 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0790415 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.00602819 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0181491 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.00942806 # DEPENDENCYPART_SIBL
(9,10),(9,15),0.0075789 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.016394 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0439688 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.0108422 # DEPENDENCYPART_SIBL
(9,10),(9,19),0.0165662 # DEPENDENCYPART_SIBL
(9,10),(9,21),0.0181491 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0100424 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0582678 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0489389 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.00899323 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0233496 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.00877335 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0318387 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0156049 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.0236096 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.0249365 # DEPENDENCYPART_SIBL
(9,12),(9,23),0.0152154 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0101377 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0421297 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0278754 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0159279 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0141351 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.0416078 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.00214953 # DEPENDENCYPART_SIBL
(9,13),(9,23),0.0442973 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.00750842 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.00707753 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.00495712 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0261158 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.00699204 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0100835 # DEPENDENCYPART_SIBL
(9,15),(9,23),0.0141991 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0105634 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0338531 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0158381 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.0245805 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.0120488 # DEPENDENCYPART_SIBL
(9,16),(9,23),0.0151873 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.0136347 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0334848 # DEPENDENCYPART_SIBL
(9,17),(9,21),0.00572235 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.0152406 # DEPENDENCYPART_SIBL
(9,17),(9,23),0.0271676 # DEPENDENCYPART_SIBL
(9,18),(9,19),-0.0206071 # DEPENDENCYPART_SIBL
(9,18),(9,21),-0.0112857 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.00233674 # DEPENDENCYPART_SIBL
(9,18),(9,23),0.0737448 # DEPENDENCYPART_SIBL
(9,19),(9,21),0.0481751 # DEPENDENCYPART_SIBL
(9,19),(9,22),0.00956532 # DEPENDENCYPART_SIBL
(9,19),(9,23),0.0546067 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.0258368 # DEPENDENCYPART_SIBL
(9,21),(9,23),0.0152154 # DEPENDENCYPART_SIBL
(9,22),(9,23),0.0582678 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.0924839 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0320059 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.057076 # DEPENDENCYPART_SIBL
(12,4),(12,10),0.0155208 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0446061 # DEPENDENCYPART_SIBL
(12,4),(12,15),0.0373199 # DEPENDENCYPART_SIBL
(12,4),(12,16),0.0118366 # DEPENDENCYPART_SIBL
(12,4),(12,17),0.0442556 # DEPENDENCYPART_SIBL
(12,4),(12,18),0.0413477 # DEPENDENCYPART_SIBL
(12,6),(12,7),-0.0218053 # DEPENDENCYPART_SIBL
(12,6),(12,9),0.0350786 # DEPENDENCYPART_SIBL
(12,6),(12,10),0.0473669 # DEPENDENCYPART_SIBL
(12,6),(12,11),-0.0735331 # DEPENDENCYPART_SIBL
(12,6),(12,15),0.0830856 # DEPENDENCYPART_SIBL
(12,6),(12,16),-0.014347 # DEPENDENCYPART_SIBL
(12,6),(12,17),0.11456 # DEPENDENCYPART_SIBL
(12,6),(12,18),0.2883 # DEPENDENCYPART_SIBL
(12,7),(12,9),0.067291 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.0538319 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0615526 # DEPENDENCYPART_SIBL
(12,7),(12,15),0.0126681 # DEPENDENCYPART_SIBL
(12,7),(12,16),0.0261022 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0637358 # DEPENDENCYPART_SIBL
(12,7),(12,18),0.00401983 # DEPENDENCYPART_SIBL
(12,9),(12,10),0.040684 # DEPENDENCYPART_SIBL
(12,9),(12,11),-0.0775712 # DEPENDENCYPART_SIBL
(12,9),(12,15),-0.00372579 # DEPENDENCYPART_SIBL
(12,9),(12,16),0.0232902 # DEPENDENCYPART_SIBL
(12,9),(12,17),-0.078168 # DEPENDENCYPART_SIBL
(12,9),(12,18),-0.0225544 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.0099685 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.0569432 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0203002 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.000682064 # DEPENDENCYPART_SIBL
(12,10),(12,18),0.0109999 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0826112 # DEPENDENCYPART_SIBL
(12,11),(12,16),0.0815187 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.160415 # DEPENDENCYPART_SIBL
(12,11),(12,18),-0.0815084 # DEPENDENCYPART_SIBL
(12,15),(12,16),-0.00628034 # DEPENDENCYPART_SIBL
(12,15),(12,17),0.00742042 # DEPENDENCYPART_SIBL
(12,15),(12,18),-0.00088592 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.00036726 # DEPENDENCYPART_SIBL
(12,16),(12,18),-0.0187906 # DEPENDENCYPART_SIBL
(12,17),(12,18),-0.00990782 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.0521035 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.00322062 # DEPENDENCYPART_SIBL
(13,1),(13,4),-0.00168009 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.0135444 # DEPENDENCYPART_SIBL
(13,1),(13,6),-0.215558 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.0505707 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0820631 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.0990466 # DEPENDENCYPART_SIBL
(13,1),(13,11),-0.0857529 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0873228 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.00753784 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.143273 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.232217 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.00906256 # DEPENDENCYPART_SIBL
(13,1),(13,18),-0.0170879 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.186946 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.208726 # DEPENDENCYPART_SIBL
(13,1),(13,22),0.0156439 # DEPENDENCYPART_SIBL
(13,1),(13,23),0.0333282 # DEPENDENCYPART_SIBL
(13,1),(13,25),0.208727 # DEPENDENCYPART_SIBL
(13,1),(13,26),-0.0378374 # DEPENDENCYPART_SIBL
(13,1),(13,27),-0.0893287 # DEPENDENCYPART_SIBL
(13,2),(13,3),0.00345162 # DEPENDENCYPART_SIBL
(13,2),(13,4),-0.0645808 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.028666 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.120916 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.049971 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0478785 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.00270875 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.0942117 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.041737 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0410937 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.0139254 # DEPENDENCYPART_SIBL
(13,2),(13,16),0.0484646 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.162527 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0819005 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0230102 # DEPENDENCYPART_SIBL
(13,2),(13,21),0.0121884 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.0168878 # DEPENDENCYPART_SIBL
(13,2),(13,23),-0.0266134 # DEPENDENCYPART_SIBL
(13,2),(13,25),0.0217106 # DEPENDENCYPART_SIBL
(13,2),(13,26),-0.00203185 # DEPENDENCYPART_SIBL
(13,2),(13,27),7.79143e-05 # DEPENDENCYPART_SIBL
(13,3),(13,4),-0.0900582 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.0749738 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.0969029 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.09457 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.0936158 # DEPENDENCYPART_SIBL
(13,3),(13,10),0.0119409 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.057434 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.0893116 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.0956973 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.200594 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.41241 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.146813 # DEPENDENCYPART_SIBL
(13,3),(13,18),0.295864 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.082602 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.426231 # DEPENDENCYPART_SIBL
(13,3),(13,22),-0.0203709 # DEPENDENCYPART_SIBL
(13,3),(13,23),-0.069486 # DEPENDENCYPART_SIBL
(13,3),(13,25),-0.42623 # DEPENDENCYPART_SIBL
(13,3),(13,26),0.319141 # DEPENDENCYPART_SIBL
(13,3),(13,27),0.0459323 # DEPENDENCYPART_SIBL
(13,4),(13,5),-0.0244015 # DEPENDENCYPART_SIBL
(13,4),(13,6),-0.097474 # DEPENDENCYPART_SIBL
(13,4),(13,7),-0.0200548 # DEPENDENCYPART_SIBL
(13,4),(13,9),-0.0157353 # DEPENDENCYPART_SIBL
(13,4),(13,10),-0.00635326 # DEPENDENCYPART_SIBL
(13,4),(13,11),-0.0593068 # DEPENDENCYPART_SIBL
(13,4),(13,12),-0.0117694 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.0298474 # DEPENDENCYPART_SIBL
(13,4),(13,15),0.0758289 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.00437824 # DEPENDENCYPART_SIBL
(13,4),(13,17),0.0341251 # DEPENDENCYPART_SIBL
(13,4),(13,18),-0.114241 # DEPENDENCYPART_SIBL
(13,4),(13,19),0.0126612 # DEPENDENCYPART_SIBL
(13,4),(13,21),-0.0185474 # DEPENDENCYPART_SIBL
(13,4),(13,22),-0.0288655 # DEPENDENCYPART_SIBL
(13,4),(13,23),-0.0243246 # DEPENDENCYPART_SIBL
(13,4),(13,25),-0.0185471 # DEPENDENCYPART_SIBL
(13,4),(13,26),-0.0853844 # DEPENDENCYPART_SIBL
(13,4),(13,27),-0.0260874 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.032731 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0437547 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.0490039 # DEPENDENCYPART_SIBL
(13,5),(13,10),0.0398895 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.00901737 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.0461695 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.0603192 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.0627154 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.135667 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0397593 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0510505 # DEPENDENCYPART_SIBL
(13,5),(13,19),0.236287 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.150132 # DEPENDENCYPART_SIBL
(13,5),(13,22),-0.0938691 # DEPENDENCYPART_SIBL
(13,5),(13,23),-0.0122154 # DEPENDENCYPART_SIBL
(13,5),(13,25),-0.150132 # DEPENDENCYPART_SIBL
(13,5),(13,26),-0.0095324 # DEPENDENCYPART_SIBL
(13,5),(13,27),-0.0044724 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.00738684 # DEPENDENCYPART_SIBL
(13,6),(13,9),0.013236 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0309905 # DEPENDENCYPART_SIBL
(13,6),(13,11),-0.106373 # DEPENDENCYPART_SIBL
(13,6),(13,12),0.0179185 # DEPENDENCYPART_SIBL
(13,6),(13,14),-0.0745557 # DEPENDENCYPART_SIBL
(13,6),(13,15),0.0613178 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0804968 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.00271894 # DEPENDENCYPART_SIBL
(13,6),(13,18),-0.12043 # DEPENDENCYPART_SIBL
(13,6),(13,19),0.0294429 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.056929 # DEPENDENCYPART_SIBL
(13,6),(13,22),-0.148358 # DEPENDENCYPART_SIBL
