# _root_ Meanwhile , the average yield on taxable funds dropped nearly a tenth of a percentage point , the largest drop since midsummer .
#goldHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,9,20,20,9,20,21,9,
#predictedHeads=9,9,5,5,9,5,8,6,0,12,12,9,12,16,16,13,16,20,20,16,20,21,9,
(7,6),(7,12),-0.030412 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00966239 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0479513 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.031371 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0309953 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0153476 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0155467 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0204319 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.00328259 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0156177 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0255578 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.0125964 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.00647073 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0621806 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.00733245 # DEPENDENCYPART_SIBL
(8,1),(8,17),-0.00713968 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0207279 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0589486 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0675499 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.00528699 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0553829 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0647316 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0236724 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0604303 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0120787 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.138612 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0232312 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.170995 # DEPENDENCYPART_SIBL
(8,2),(8,20),-0.0146146 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0902988 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0729864 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0118689 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0880444 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.169877 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.017019 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.00252712 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.292352 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.00499435 # DEPENDENCYPART_SIBL
(8,3),(8,17),0.0614722 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0397671 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0923411 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.013075 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.054102 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0728441 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0390208 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0315593 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.077406 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0275686 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.064034 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.00560881 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0322027 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0439489 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.016116 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0204309 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0275472 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.0535737 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.0273939 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0794516 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.00288626 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0130041 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.00877691 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00824833 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0281956 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.00450907 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.040286 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.0100472 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.045369 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0753789 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.028913 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0135758 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.036514 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.00958567 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0444059 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0123747 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0117573 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.01668 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0115458 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.0169785 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0168131 # DEPENDENCYPART_SIBL
(8,9),(8,20),-0.0198394 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.0079407 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.00153514 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.00522593 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.0230114 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.00437993 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0144913 # DEPENDENCYPART_SIBL
(8,12),(8,16),-0.0193498 # DEPENDENCYPART_SIBL
(8,12),(8,17),0.00469585 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0142465 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.00337639 # DEPENDENCYPART_SIBL
(8,13),(8,17),0.000700717 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.00850479 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.00193706 # DEPENDENCYPART_SIBL
(8,16),(8,20),-0.0162214 # DEPENDENCYPART_SIBL
(8,17),(8,20),0.0366172 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.0868479 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.00130879 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.00888185 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.00829571 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.0100342 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.00713082 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0109976 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.0448252 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0670978 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.0172665 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0102541 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0407083 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0208498 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0575984 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.0133322 # DEPENDENCYPART_SIBL
(9,1),(9,21),-0.0391555 # DEPENDENCYPART_SIBL
(9,1),(9,22),-0.0172665 # DEPENDENCYPART_SIBL
(9,1),(9,23),0.0711836 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0192922 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.0192236 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.00212087 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0108355 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0163453 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0109384 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0942546 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.138834 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00455952 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.122093 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0200384 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0270768 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.155545 # DEPENDENCYPART_SIBL
(9,2),(9,20),0.0139588 # DEPENDENCYPART_SIBL
(9,2),(9,21),-0.0783303 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.00455952 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.0464171 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0452845 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0401585 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0512711 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0428827 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0416128 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.147158 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.10036 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.0576448 # DEPENDENCYPART_SIBL
(9,3),(9,13),0.255772 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0676692 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0669783 # DEPENDENCYPART_SIBL
(9,3),(9,17),0.0222621 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0720893 # DEPENDENCYPART_SIBL
(9,3),(9,21),-0.0260884 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0576448 # DEPENDENCYPART_SIBL
(9,3),(9,23),-0.106759 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.00963769 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.00255399 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.0188653 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.01817 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0436915 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0462321 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0157142 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0456558 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0316552 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0234203 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.00909125 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.0217366 # DEPENDENCYPART_SIBL
(9,4),(9,21),-0.0506244 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0157142 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.00911043 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.00954114 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.0232332 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.0972355 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0547854 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.087554 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.00292313 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.00834812 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0268049 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.000337385 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.00569126 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.012404 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.0235145 # DEPENDENCYPART_SIBL
(9,5),(9,22),-0.00292313 # DEPENDENCYPART_SIBL
(9,5),(9,23),0.0389253 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.000265376 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.012701 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.108229 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0707986 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0322589 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.044328 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0480054 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0569409 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0845543 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0304948 # DEPENDENCYPART_SIBL
(9,6),(9,21),-0.0422817 # DEPENDENCYPART_SIBL
(9,6),(9,22),-0.0322589 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.0354941 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0194075 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0320636 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0301012 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.00516081 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0366553 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.0211018 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0128663 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.00779009 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.0111832 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0357753 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.00516081 # DEPENDENCYPART_SIBL
(9,7),(9,23),0.00636859 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0527565 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0906706 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.00729618 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.00588055 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0317577 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.00291962 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0177569 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.0167772 # DEPENDENCYPART_SIBL
(9,8),(9,21),-0.0356537 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.00729618 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.0332159 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0434769 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.082337 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0684123 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0825344 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0943898 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0401098 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0774824 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.0838958 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.082337 # DEPENDENCYPART_SIBL
(9,10),(9,23),-0.0522968 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.0332408 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0582175 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0336169 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0427983 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.0436793 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.0279926 # DEPENDENCYPART_SIBL
(9,11),(9,21),-0.0584055 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.0332408 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.0182664 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0141644 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0276581 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0444757 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0129463 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0150521 # DEPENDENCYPART_SIBL
(9,12),(9,21),-0.00839165 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.0272394 # DEPENDENCYPART_SIBL
(9,12),(9,23),0.01058 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.041532 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0524573 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0347711 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0361936 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.144997 # DEPENDENCYPART_SIBL
(9,13),(9,22),-0.0411537 # DEPENDENCYPART_SIBL
(9,13),(9,23),-0.0313185 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0528197 # DEPENDENCYPART_SIBL
(9,15),(9,17),0.00820426 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.0232272 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.0192369 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.0354145 # DEPENDENCYPART_SIBL
(9,15),(9,23),-0.019659 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.010263 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.0171617 # DEPENDENCYPART_SIBL
(9,16),(9,21),-0.00286381 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.029349 # DEPENDENCYPART_SIBL
(9,16),(9,23),0.0477381 # DEPENDENCYPART_SIBL
(9,17),(9,20),0.00715311 # DEPENDENCYPART_SIBL
(9,17),(9,21),-0.0261984 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.00296365 # DEPENDENCYPART_SIBL
(9,17),(9,23),0.0280445 # DEPENDENCYPART_SIBL
(9,20),(9,21),-0.0349787 # DEPENDENCYPART_SIBL
(9,20),(9,22),-0.0399032 # DEPENDENCYPART_SIBL
(9,20),(9,23),-0.000587358 # DEPENDENCYPART_SIBL
(9,21),(9,22),-0.0389729 # DEPENDENCYPART_SIBL
(9,21),(9,23),0.0171447 # DEPENDENCYPART_SIBL
(9,22),(9,23),0.01058 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.0116286 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0287029 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.0260103 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.0128027 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.0336857 # DEPENDENCYPART_SIBL
(10,2),(10,12),0.226745 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.0201942 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.225359 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.21824 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.569389 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.0449471 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0324254 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0207402 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0268561 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.014663 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.152125 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0608481 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.147371 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.156122 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.0997858 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.00578482 # DEPENDENCYPART_SIBL
(10,6),(10,7),7.14936e-05 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0266391 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0133464 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0506446 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0894702 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0492507 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0414921 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.0930641 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.115291 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0035597 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.00945422 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0450761 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.00366221 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0422658 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0442369 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0888306 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.0109568 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0143642 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.152245 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0542218 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.146908 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.156799 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.110007 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.000491898 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00343763 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.0610431 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.00325247 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.000303615 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.0157004 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.0169479 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0135241 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0350672 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0420649 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.00683693 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.0255907 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0330219 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.0271276 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.025031 # DEPENDENCYPART_SIBL
(10,13),(10,21),-0.00337726 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.0433071 # DEPENDENCYPART_SIBL
(10,15),(10,17),0.00938859 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.0296819 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.00757155 # DEPENDENCYPART_SIBL
(10,16),(10,21),-0.0215878 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.0148818 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.0149423 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0226166 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0182756 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.059046 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0481008 # DEPENDENCYPART_SIBL
(12,2),(12,8),-0.0254674 # DEPENDENCYPART_SIBL
(12,2),(12,10),0.0954588 # DEPENDENCYPART_SIBL
(12,2),(12,11),0.0459615 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.147431 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.134564 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0180939 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0267915 # DEPENDENCYPART_SIBL
(12,2),(12,17),0.140625 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.018174 # DEPENDENCYPART_SIBL
(12,2),(12,21),-0.0937036 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0156391 # DEPENDENCYPART_SIBL
(12,2),(12,23),0.027459 # DEPENDENCYPART_SIBL
(12,3),(12,7),0.0556685 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0446079 # DEPENDENCYPART_SIBL
(12,3),(12,10),0.0080212 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.293519 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.267873 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.102044 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0072009 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0171324 # DEPENDENCYPART_SIBL
(12,3),(12,17),0.00872017 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.051904 # DEPENDENCYPART_SIBL
(12,3),(12,21),-0.0688992 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.00961088 # DEPENDENCYPART_SIBL
(12,3),(12,23),-0.116465 # DEPENDENCYPART_SIBL
(12,7),(12,8),0.0444202 # DEPENDENCYPART_SIBL
(12,7),(12,10),0.00293982 # DEPENDENCYPART_SIBL
(12,7),(12,11),-0.0598923 # DEPENDENCYPART_SIBL
(12,7),(12,13),-0.0149167 # DEPENDENCYPART_SIBL
(12,7),(12,14),-0.0249483 # DEPENDENCYPART_SIBL
(12,7),(12,15),-0.0178253 # DEPENDENCYPART_SIBL
(12,7),(12,16),-0.0167184 # DEPENDENCYPART_SIBL
(12,7),(12,17),-0.0191423 # DEPENDENCYPART_SIBL
(12,7),(12,20),-0.0386775 # DEPENDENCYPART_SIBL
(12,7),(12,21),0.00557023 # DEPENDENCYPART_SIBL
(12,7),(12,22),-0.0127282 # DEPENDENCYPART_SIBL
(12,7),(12,23),-0.0250251 # DEPENDENCYPART_SIBL
(12,8),(12,10),0.00943399 # DEPENDENCYPART_SIBL
(12,8),(12,11),-0.0597551 # DEPENDENCYPART_SIBL
(12,8),(12,13),0.0265955 # DEPENDENCYPART_SIBL
(12,8),(12,14),-0.0907083 # DEPENDENCYPART_SIBL
(12,8),(12,15),0.00436602 # DEPENDENCYPART_SIBL
(12,8),(12,16),0.0111795 # DEPENDENCYPART_SIBL
(12,8),(12,17),0.0479711 # DEPENDENCYPART_SIBL
(12,8),(12,20),-0.0138853 # DEPENDENCYPART_SIBL
(12,8),(12,21),-0.0603724 # DEPENDENCYPART_SIBL
(12,8),(12,22),0.0107747 # DEPENDENCYPART_SIBL
(12,8),(12,23),0.00908127 # DEPENDENCYPART_SIBL
(12,10),(12,11),-0.00591256 # DEPENDENCYPART_SIBL
(12,10),(12,13),0.0670979 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0463842 # DEPENDENCYPART_SIBL
(12,10),(12,15),-0.00733891 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0019931 # DEPENDENCYPART_SIBL
(12,10),(12,17),-0.0424578 # DEPENDENCYPART_SIBL
(12,10),(12,20),-0.0152767 # DEPENDENCYPART_SIBL
(12,10),(12,21),-0.00785464 # DEPENDENCYPART_SIBL
(12,10),(12,22),-0.00102045 # DEPENDENCYPART_SIBL
(12,10),(12,23),0.0248501 # DEPENDENCYPART_SIBL
(12,11),(12,13),0.205985 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0358645 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0213037 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0335927 # DEPENDENCYPART_SIBL
(12,11),(12,17),-0.0629704 # DEPENDENCYPART_SIBL
(12,11),(12,20),-0.057442 # DEPENDENCYPART_SIBL
(12,11),(12,21),0.0386988 # DEPENDENCYPART_SIBL
(12,11),(12,22),-0.0277489 # DEPENDENCYPART_SIBL
(12,11),(12,23),-0.0355171 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0786395 # DEPENDENCYPART_SIBL
(12,13),(12,15),0.00290137 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.00169048 # DEPENDENCYPART_SIBL
(12,13),(12,17),0.0225044 # DEPENDENCYPART_SIBL
(12,13),(12,20),-0.0034379 # DEPENDENCYPART_SIBL
(12,13),(12,21),0.026687 # DEPENDENCYPART_SIBL
(12,13),(12,22),0.00422187 # DEPENDENCYPART_SIBL
(12,13),(12,23),-0.0112069 # DEPENDENCYPART_SIBL
(12,14),(12,15),-0.00574462 # DEPENDENCYPART_SIBL
