# _root_ The explosion sent shards of metal flying , severing the DC-10 's hydraulic or control systems , and led to the crash that killed 112 people .
#goldHeads=2,18,18,7,4,5,3,3,3,11,16,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
#predictedHeads=2,18,18,3,4,5,3,18,18,11,9,11,14,16,14,9,18,0,18,19,22,20,24,22,26,24,18,
(4,7),(4,18),-0.028763 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0135251 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0234086 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0419113 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0443375 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.036982 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0177935 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.0232965 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0170252 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00239629 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0188328 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0268508 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.00948112 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00737278 # DEPENDENCYPART_SIBL
(4,11),(4,17),0.0155455 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0368826 # DEPENDENCYPART_SIBL
(4,11),(4,24),-0.0139421 # DEPENDENCYPART_SIBL
(4,13),(4,17),0.0165135 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0285799 # DEPENDENCYPART_SIBL
(4,13),(4,24),0.00187941 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.0177935 # DEPENDENCYPART_SIBL
(4,17),(4,24),0.0232965 # DEPENDENCYPART_SIBL
(4,18),(4,24),-0.0119641 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0706475 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.03735 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0328905 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0356271 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.11119 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0612615 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0458988 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0242082 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.129119 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0085651 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.00982355 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0021685 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0085651 # DEPENDENCYPART_SIBL
(6,1),(6,18),-0.00582033 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.015883 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0201522 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0511935 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0187716 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0219263 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0511935 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.00926745 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.027841 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0537076 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.025469 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0241217 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0537076 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.0133072 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00566606 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0195658 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0237446 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.00566606 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0287631 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0415759 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0244257 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0368198 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0176884 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0143161 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0153367 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.0369844 # DEPENDENCYPART_SIBL
(6,16),(6,17),0.000270546 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0331536 # DEPENDENCYPART_SIBL
(6,17),(6,18),0.0176884 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00269607 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0884485 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.012158 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0901839 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0332475 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00856968 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0104881 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0100868 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00254871 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.00375469 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0332475 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00958087 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0209811 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.00338221 # DEPENDENCYPART_SIBL
(7,2),(7,27),0.0236662 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.00393604 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0381186 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00580424 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0315281 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.00291682 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.00197849 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00145416 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.00504677 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.00597811 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0315281 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0191701 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0089412 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0467804 # DEPENDENCYPART_SIBL
(7,3),(7,27),0.0203209 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0121553 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0898738 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0332534 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.00903761 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.010418 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0106942 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.00254596 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.00376241 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0332534 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.00959356 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.021449 # DEPENDENCYPART_SIBL
(7,4),(7,20),0.00338502 # DEPENDENCYPART_SIBL
(7,4),(7,27),0.0236692 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0682021 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0887239 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0349109 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.013024 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0400703 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0212751 # DEPENDENCYPART_SIBL
(7,5),(7,14),0.00253345 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0887239 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0219001 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0307725 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0785877 # DEPENDENCYPART_SIBL
(7,5),(7,27),-0.00659237 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0223548 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00402299 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0148944 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.00567959 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0063213 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.000902652 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0223548 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.00492747 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0164344 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.000390045 # DEPENDENCYPART_SIBL
(7,6),(7,27),0.0198674 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0367358 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.00158348 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0340897 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00957887 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.024503 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0318929 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.00262404 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0358334 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.00613013 # DEPENDENCYPART_SIBL
(7,8),(7,27),0.00512087 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0178956 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.00901508 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0421745 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0711667 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.00417316 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0572307 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0199004 # DEPENDENCYPART_SIBL
(7,9),(7,20),-0.0501677 # DEPENDENCYPART_SIBL
(7,9),(7,27),0.00629904 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.00164315 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0272538 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0340428 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.0127921 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0328007 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.00216578 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.00162223 # DEPENDENCYPART_SIBL
(7,11),(7,27),-0.0038444 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0456337 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.065147 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.00891593 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0580337 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.0237282 # DEPENDENCYPART_SIBL
(7,12),(7,20),-0.0457494 # DEPENDENCYPART_SIBL
(7,12),(7,27),0.00739749 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0284805 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0214414 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.019915 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.000508546 # DEPENDENCYPART_SIBL
(7,13),(7,20),0.0187137 # DEPENDENCYPART_SIBL
(7,13),(7,27),-0.0099118 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.00361983 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0185557 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.0157717 # DEPENDENCYPART_SIBL
(7,14),(7,20),0.0071509 # DEPENDENCYPART_SIBL
(7,14),(7,27),0.00835441 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.00262404 # DEPENDENCYPART_SIBL
(7,17),(7,19),0.0358334 # DEPENDENCYPART_SIBL
(7,17),(7,20),-0.00613013 # DEPENDENCYPART_SIBL
(7,17),(7,27),0.00512087 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.00153788 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.00242283 # DEPENDENCYPART_SIBL
(7,18),(7,27),0.00460656 # DEPENDENCYPART_SIBL
(7,19),(7,20),-0.0520921 # DEPENDENCYPART_SIBL
(7,19),(7,27),0.00940171 # DEPENDENCYPART_SIBL
(7,20),(7,27),-0.00664351 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.00830083 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0381183 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.010169 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0236601 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0595724 # DEPENDENCYPART_SIBL
(9,3),(9,11),0.00137244 # DEPENDENCYPART_SIBL
(9,3),(9,12),0.00148897 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.00504476 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.00597648 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0138404 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.00892587 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0488294 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0191685 # DEPENDENCYPART_SIBL
(9,3),(9,19),0.00897601 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.0434025 # DEPENDENCYPART_SIBL
(9,3),(9,27),0.0203281 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0121553 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0942389 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.0065951 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0900006 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.0121956 # DEPENDENCYPART_SIBL
(9,4),(9,12),0.00823223 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.00507387 # DEPENDENCYPART_SIBL
(9,4),(9,14),0.00123456 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.0166247 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0183595 # DEPENDENCYPART_SIBL
(9,4),(9,17),0.0048485 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.00706571 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.018987 # DEPENDENCYPART_SIBL
(9,4),(9,20),0.00496278 # DEPENDENCYPART_SIBL
(9,4),(9,27),0.0211455 # DEPENDENCYPART_SIBL
(9,5),(9,6),-0.0725671 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.021086 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.0559024 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0223026 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0467419 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0279803 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.00417188 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.0292859 # DEPENDENCYPART_SIBL
(9,5),(9,16),-0.0309058 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.112732 # DEPENDENCYPART_SIBL
(9,5),(9,18),-0.0286054 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0374441 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0792701 # DEPENDENCYPART_SIBL
(9,5),(9,27),-0.0132945 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.00635945 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0937756 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0166719 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.00321762 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00884921 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.0034305 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0211011 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0228358 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.00605016 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.00239962 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0139724 # DEPENDENCYPART_SIBL
(9,6),(9,20),0.00118772 # DEPENDENCYPART_SIBL
(9,6),(9,27),0.0173438 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.116984 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.00171466 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0269394 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.027223 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.0343011 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0184891 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.00830767 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.158081 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.00832005 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0250041 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.00980263 # DEPENDENCYPART_SIBL
(9,8),(9,27),0.0519199 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.0423734 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.0326973 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0445473 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0409815 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0448166 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0487149 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0394711 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.042579 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0387015 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.022422 # DEPENDENCYPART_SIBL
(9,10),(9,27),-0.0197928 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.000708386 # DEPENDENCYPART_SIBL
(9,11),(9,13),-0.0296294 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0361228 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.0291031 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0313597 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.0104208 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.0345847 # DEPENDENCYPART_SIBL
(9,11),(9,19),-0.00451732 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0101452 # DEPENDENCYPART_SIBL
(9,11),(9,27),-0.00614634 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0456311 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0648488 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.0236488 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0264046 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.00892536 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0574396 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.0237046 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0363326 # DEPENDENCYPART_SIBL
(9,12),(9,27),0.00746444 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0281821 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0233845 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.0246834 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.0214485 # DEPENDENCYPART_SIBL
(9,13),(9,18),-0.0193206 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.000484767 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.0281308 # DEPENDENCYPART_SIBL
(9,13),(9,27),-0.00984577 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0174667 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.0213882 # DEPENDENCYPART_SIBL
(9,14),(9,17),0.00377903 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0178093 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.0159475 # DEPENDENCYPART_SIBL
(9,14),(9,20),0.01672 # DEPENDENCYPART_SIBL
(9,14),(9,27),0.00858338 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.0313191 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.00295453 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0440165 # DEPENDENCYPART_SIBL
(9,15),(9,19),-0.0146196 # DEPENDENCYPART_SIBL
(9,15),(9,20),0.0232905 # DEPENDENCYPART_SIBL
(9,15),(9,27),-0.0505209 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.0168657 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0332029 # DEPENDENCYPART_SIBL
(9,16),(9,19),-0.0237045 # DEPENDENCYPART_SIBL
(9,16),(9,20),-3.12163e-05 # DEPENDENCYPART_SIBL
(9,16),(9,27),-0.0349476 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.00198852 # DEPENDENCYPART_SIBL
(9,17),(9,19),0.0359336 # DEPENDENCYPART_SIBL
(9,17),(9,20),0.00332754 # DEPENDENCYPART_SIBL
(9,17),(9,27),0.00522725 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.00186796 # DEPENDENCYPART_SIBL
(9,18),(9,20),0.0121462 # DEPENDENCYPART_SIBL
(9,18),(9,27),0.00499534 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.0426752 # DEPENDENCYPART_SIBL
(9,19),(9,27),0.00946866 # DEPENDENCYPART_SIBL
(9,20),(9,27),-0.00657564 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00131321 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.0840981 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.0495272 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.0276389 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.0133725 # DEPENDENCYPART_SIBL
(11,10),(11,12),0.302064 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0849779 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.068751 # DEPENDENCYPART_SIBL
(11,10),(11,16),0.00238117 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.0168689 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0264871 # DEPENDENCYPART_SIBL
(11,12),(11,16),-0.0136168 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0254959 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0123436 # DEPENDENCYPART_SIBL
(11,14),(11,16),-0.0332781 # DEPENDENCYPART_SIBL
(12,2),(12,3),0.00509893 # DEPENDENCYPART_SIBL
(12,2),(12,4),-0.0996563 # DEPENDENCYPART_SIBL
(12,2),(12,5),-0.00713129 # DEPENDENCYPART_SIBL
(12,2),(12,6),-0.101392 # DEPENDENCYPART_SIBL
(12,2),(12,7),0.0168533 # DEPENDENCYPART_SIBL
(12,2),(12,8),0.0106337 # DEPENDENCYPART_SIBL
(12,2),(12,9),0.00613933 # DEPENDENCYPART_SIBL
(12,2),(12,10),-0.0972374 # DEPENDENCYPART_SIBL
(12,2),(12,11),-0.0996563 # DEPENDENCYPART_SIBL
(12,2),(12,13),-0.0131661 # DEPENDENCYPART_SIBL
(12,2),(12,14),-0.0364442 # DEPENDENCYPART_SIBL
(12,2),(12,15),-0.0639766 # DEPENDENCYPART_SIBL
(12,2),(12,16),-0.0657117 # DEPENDENCYPART_SIBL
(12,2),(12,17),-0.0494897 # DEPENDENCYPART_SIBL
(12,2),(12,18),-0.00267603 # DEPENDENCYPART_SIBL
(12,2),(12,19),-0.0412779 # DEPENDENCYPART_SIBL
(12,2),(12,20),-0.0264626 # DEPENDENCYPART_SIBL
(12,2),(12,22),-0.0533576 # DEPENDENCYPART_SIBL
(12,2),(12,24),-0.0595602 # DEPENDENCYPART_SIBL
(12,2),(12,27),0.0150653 # DEPENDENCYPART_SIBL
(12,3),(12,4),-0.0124634 # DEPENDENCYPART_SIBL
(12,3),(12,5),-0.0245746 # DEPENDENCYPART_SIBL
(12,3),(12,6),-0.0143316 # DEPENDENCYPART_SIBL
(12,3),(12,7),-0.0212815 # DEPENDENCYPART_SIBL
(12,3),(12,8),0.0113316 # DEPENDENCYPART_SIBL
(12,3),(12,9),-0.0241104 # DEPENDENCYPART_SIBL
(12,3),(12,10),-0.0301679 # DEPENDENCYPART_SIBL
(12,3),(12,11),-0.0124634 # DEPENDENCYPART_SIBL
(12,3),(12,13),0.000897425 # DEPENDENCYPART_SIBL
(12,3),(12,14),-0.0200779 # DEPENDENCYPART_SIBL
(12,3),(12,15),-0.0257878 # DEPENDENCYPART_SIBL
(12,3),(12,16),-0.0208737 # DEPENDENCYPART_SIBL
(12,3),(12,17),-0.0875358 # DEPENDENCYPART_SIBL
(12,3),(12,18),-0.00415661 # DEPENDENCYPART_SIBL
(12,3),(12,19),-0.0146152 # DEPENDENCYPART_SIBL
(12,3),(12,20),-0.0591092 # DEPENDENCYPART_SIBL
(12,3),(12,22),-0.00772625 # DEPENDENCYPART_SIBL
(12,3),(12,24),-0.0312873 # DEPENDENCYPART_SIBL
(12,3),(12,27),0.0404546 # DEPENDENCYPART_SIBL
(12,4),(12,5),-0.0071286 # DEPENDENCYPART_SIBL
(12,4),(12,6),-0.101082 # DEPENDENCYPART_SIBL
(12,4),(12,7),0.0168567 # DEPENDENCYPART_SIBL
(12,4),(12,8),0.0107972 # DEPENDENCYPART_SIBL
(12,4),(12,9),0.0061427 # DEPENDENCYPART_SIBL
(12,4),(12,10),-0.0972373 # DEPENDENCYPART_SIBL
(12,4),(12,11),-0.0993463 # DEPENDENCYPART_SIBL
(12,4),(12,13),-0.0131634 # DEPENDENCYPART_SIBL
(12,4),(12,14),-0.0364365 # DEPENDENCYPART_SIBL
(12,4),(12,15),-0.0639065 # DEPENDENCYPART_SIBL
(12,4),(12,16),-0.0656416 # DEPENDENCYPART_SIBL
(12,4),(12,17),-0.0494837 # DEPENDENCYPART_SIBL
(12,4),(12,18),-0.00266334 # DEPENDENCYPART_SIBL
(12,4),(12,19),-0.04081 # DEPENDENCYPART_SIBL
(12,4),(12,20),-0.0264598 # DEPENDENCYPART_SIBL
(12,4),(12,22),-0.0532875 # DEPENDENCYPART_SIBL
(12,4),(12,24),-0.0590923 # DEPENDENCYPART_SIBL
(12,4),(12,27),0.0150683 # DEPENDENCYPART_SIBL
(12,5),(12,6),-0.0830241 # DEPENDENCYPART_SIBL
(12,5),(12,7),-0.0446101 # DEPENDENCYPART_SIBL
(12,5),(12,8),0.0295716 # DEPENDENCYPART_SIBL
(12,5),(12,9),-0.0477957 # DEPENDENCYPART_SIBL
(12,5),(12,10),-0.056756 # DEPENDENCYPART_SIBL
(12,5),(12,11),-0.0782842 # DEPENDENCYPART_SIBL
(12,5),(12,13),0.0160984 # DEPENDENCYPART_SIBL
(12,5),(12,14),0.00746911 # DEPENDENCYPART_SIBL
(12,5),(12,15),-0.0114045 # DEPENDENCYPART_SIBL
(12,5),(12,16),-0.0130248 # DEPENDENCYPART_SIBL
(12,5),(12,17),-0.113409 # DEPENDENCYPART_SIBL
(12,5),(12,18),0.0107749 # DEPENDENCYPART_SIBL
(12,5),(12,19),-0.0245927 # DEPENDENCYPART_SIBL
(12,5),(12,20),-0.0668707 # DEPENDENCYPART_SIBL
(12,5),(12,22),0.00110068 # DEPENDENCYPART_SIBL
(12,5),(12,24),-0.0312876 # DEPENDENCYPART_SIBL
(12,5),(12,27),0.0499664 # DEPENDENCYPART_SIBL
(12,6),(12,7),0.016722 # DEPENDENCYPART_SIBL
