# _root_ Directors of Bergen Bank and Den Norske Creditbank , two of Norway 's leading banks , announced they had agreed to the formal merger of the banks .
#goldHeads=17,1,4,5,2,8,8,5,5,5,10,15,12,15,11,5,0,19,17,19,20,24,24,21,24,27,25,17,
#predictedHeads=17,1,4,5,2,8,8,5,8,8,10,15,12,15,11,8,0,19,17,19,20,24,24,21,24,27,25,17,
(5,2),(5,19),-0.0218043 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0603587 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.170604 # DEPENDENCYPART_SIBL
(5,2),(5,28),-0.0245397 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0653779 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0510683 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0510683 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0510683 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.00619323 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0531629 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.00499147 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.051068 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00191743 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.0105292 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00619323 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.059874 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0186825 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.101513 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0400599 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.0140052 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.067069 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.067069 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.067069 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0449151 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.040954 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0069147 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0670687 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00356502 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0265296 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0449151 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0446546 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0031263 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0859107 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0546483 # DEPENDENCYPART_SIBL
(5,4),(5,28),-0.0242048 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0177659 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0177659 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00708256 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.021226 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.047976 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0177659 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.00325534 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0274895 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.00708256 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0297558 # DEPENDENCYPART_SIBL
(5,6),(5,19),0.012908 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0163103 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0213609 # DEPENDENCYPART_SIBL
(5,6),(5,28),-0.0433798 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0177659 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00708256 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.021226 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.047976 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0177659 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00325534 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0274895 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.00708256 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0297558 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.012908 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0163103 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0213609 # DEPENDENCYPART_SIBL
(5,7),(5,28),-0.0433798 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.00708256 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.021226 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.047976 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0177659 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.00325534 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0274895 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.00708256 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0297558 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.012908 # DEPENDENCYPART_SIBL
(5,8),(5,20),-0.0163103 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.0213609 # DEPENDENCYPART_SIBL
(5,8),(5,28),-0.0433798 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0225243 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0218698 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0132964 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0821671 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00239566 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.074718 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.00645927 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.012927 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0127519 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.0114583 # DEPENDENCYPART_SIBL
(5,9),(5,28),-0.00925661 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0167565 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0216124 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0253432 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0304585 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0263347 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0310339 # DEPENDENCYPART_SIBL
(5,10),(5,19),-0.0181243 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0281034 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0229738 # DEPENDENCYPART_SIBL
(5,10),(5,28),-0.083874 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00368233 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.00152415 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00457654 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0103279 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0184866 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0254245 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0337122 # DEPENDENCYPART_SIBL
(5,11),(5,24),0.00179603 # DEPENDENCYPART_SIBL
(5,11),(5,28),-0.0280171 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.00325534 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0274895 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.00708256 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0297558 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.012908 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.0163103 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.0213609 # DEPENDENCYPART_SIBL
(5,12),(5,28),-0.0433807 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0204867 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.00508526 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0117485 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.00422545 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.012129 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.00439964 # DEPENDENCYPART_SIBL
(5,14),(5,28),-0.122093 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0283135 # DEPENDENCYPART_SIBL
(5,15),(5,17),-0.0138832 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.0287806 # DEPENDENCYPART_SIBL
(5,15),(5,20),-0.000437673 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.0177548 # DEPENDENCYPART_SIBL
(5,15),(5,28),-0.0411504 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.00645927 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.012927 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0127519 # DEPENDENCYPART_SIBL
(5,16),(5,24),0.0114583 # DEPENDENCYPART_SIBL
(5,16),(5,28),-0.00925661 # DEPENDENCYPART_SIBL
(5,17),(5,19),-0.0228123 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0421519 # DEPENDENCYPART_SIBL
(5,17),(5,24),-0.0106893 # DEPENDENCYPART_SIBL
(5,17),(5,28),0.0190306 # DEPENDENCYPART_SIBL
(5,19),(5,20),-0.000457173 # DEPENDENCYPART_SIBL
(5,19),(5,24),0.0102316 # DEPENDENCYPART_SIBL
(5,19),(5,28),0.0555404 # DEPENDENCYPART_SIBL
(5,20),(5,24),-0.0105994 # DEPENDENCYPART_SIBL
(5,20),(5,28),0.0129459 # DEPENDENCYPART_SIBL
(5,24),(5,28),-0.0440438 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00707006 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.00707006 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0114945 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00960694 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.032176 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.207892 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.00960694 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0248618 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0566905 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0791742 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.041386 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0761519 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0039352 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0566905 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0360966 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.212269 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0135275 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0206921 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0529988 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0766343 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0416675 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0787308 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.00810482 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0529988 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.212686 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0102456 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.116804 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.183017 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0177756 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.110858 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.13029 # DEPENDENCYPART_SIBL
(7,4),(7,15),0.0880066 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.183017 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.034365 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00707006 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.00132064 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0533993 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0502223 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0525477 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0202619 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.00132064 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0206921 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0529988 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0766343 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0416675 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0787308 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.00810482 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0529988 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0155455 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0180084 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.00858164 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.00748489 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0145717 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0155455 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.025014 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0346147 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0179416 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0380299 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.036982 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0121536 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.00843533 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0408736 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.00119543 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0193183 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.00150074 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0225044 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.00579118 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.000380137 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.0136658 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0360966 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.212269 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0135275 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0135275 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0529988 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0766343 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0416675 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0206905 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0787308 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.00810482 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.0529988 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0143108 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0297739 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0132879 # DEPENDENCYPART_SIBL
(8,3),(8,24),0.0166306 # DEPENDENCYPART_SIBL
(8,3),(8,28),0.0102006 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.212686 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0102456 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0102456 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.183017 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0177756 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.110858 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.116802 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.13029 # DEPENDENCYPART_SIBL
(8,4),(8,15),0.0880066 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.183017 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.0368361 # DEPENDENCYPART_SIBL
(8,4),(8,19),0.0220872 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0386241 # DEPENDENCYPART_SIBL
(8,4),(8,24),0.112036 # DEPENDENCYPART_SIBL
(8,4),(8,28),0.0459222 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.034365 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.034365 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.00132064 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0533993 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0502223 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.00707112 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.0525477 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0202619 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.00132064 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.0577767 # DEPENDENCYPART_SIBL
(8,5),(8,19),0.0521325 # DEPENDENCYPART_SIBL
(8,5),(8,20),0.0286368 # DEPENDENCYPART_SIBL
(8,5),(8,24),-0.00792714 # DEPENDENCYPART_SIBL
(8,5),(8,28),0.00937437 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0135275 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0529988 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0766343 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0416675 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0206905 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.0787308 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.00810482 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.0529988 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.0143108 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.0297739 # DEPENDENCYPART_SIBL
(8,6),(8,20),-0.0132879 # DEPENDENCYPART_SIBL
(8,6),(8,24),0.0166306 # DEPENDENCYPART_SIBL
(8,6),(8,28),0.0102006 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0529988 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0766343 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0416675 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0206905 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0787308 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.00810482 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0529988 # DEPENDENCYPART_SIBL
(8,7),(8,17),-0.0143108 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0297739 # DEPENDENCYPART_SIBL
(8,7),(8,20),-0.0132879 # DEPENDENCYPART_SIBL
(8,7),(8,24),0.0166306 # DEPENDENCYPART_SIBL
(8,7),(8,28),0.0102006 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.025014 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.0346147 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.0419061 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.0179416 # DEPENDENCYPART_SIBL
(8,9),(8,15),0.0380299 # DEPENDENCYPART_SIBL
(8,9),(8,16),0.036982 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.0527999 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.0350464 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.00178383 # DEPENDENCYPART_SIBL
(8,9),(8,24),0.0402094 # DEPENDENCYPART_SIBL
(8,9),(8,28),-0.00261008 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0121536 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0376366 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.00843533 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.0408736 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.00119543 # DEPENDENCYPART_SIBL
(8,10),(8,17),-1.71717e-05 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.00921094 # DEPENDENCYPART_SIBL
(8,10),(8,20),-0.0158067 # DEPENDENCYPART_SIBL
(8,10),(8,24),-0.0383171 # DEPENDENCYPART_SIBL
(8,10),(8,28),0.0116735 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.00422032 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0193183 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.00150074 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0225044 # DEPENDENCYPART_SIBL
(8,11),(8,17),0.00656906 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.0402448 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0470211 # DEPENDENCYPART_SIBL
(8,11),(8,24),0.0024893 # DEPENDENCYPART_SIBL
(8,11),(8,28),-0.0112069 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0074844 # DEPENDENCYPART_SIBL
(8,12),(8,15),-0.0145721 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.015545 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.00967971 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.0037809 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.0163447 # DEPENDENCYPART_SIBL
(8,12),(8,24),-0.0131117 # DEPENDENCYPART_SIBL
(8,12),(8,28),0.0201964 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.00579118 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.000380137 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0154004 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.023266 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.0317593 # DEPENDENCYPART_SIBL
(8,13),(8,24),-0.00385839 # DEPENDENCYPART_SIBL
(8,13),(8,28),-0.0109964 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.0136658 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.0131031 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.00720432 # DEPENDENCYPART_SIBL
(8,15),(8,20),-0.0197681 # DEPENDENCYPART_SIBL
(8,15),(8,24),-0.0209486 # DEPENDENCYPART_SIBL
(8,15),(8,28),0.00676383 # DEPENDENCYPART_SIBL
(8,16),(8,17),0.0527999 # DEPENDENCYPART_SIBL
(8,16),(8,19),0.0350464 # DEPENDENCYPART_SIBL
(8,16),(8,20),0.00178383 # DEPENDENCYPART_SIBL
(8,16),(8,24),0.0402094 # DEPENDENCYPART_SIBL
(8,16),(8,28),-0.00261008 # DEPENDENCYPART_SIBL
(8,17),(8,19),0.00359063 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.00914544 # DEPENDENCYPART_SIBL
(8,17),(8,24),-0.0135994 # DEPENDENCYPART_SIBL
(8,17),(8,28),-0.00032667 # DEPENDENCYPART_SIBL
(8,19),(8,20),-0.00535228 # DEPENDENCYPART_SIBL
(8,19),(8,24),-0.0143492 # DEPENDENCYPART_SIBL
(8,19),(8,28),0.0128283 # DEPENDENCYPART_SIBL
(8,20),(8,24),-0.0188383 # DEPENDENCYPART_SIBL
(8,20),(8,28),-0.0050872 # DEPENDENCYPART_SIBL
(8,24),(8,28),0.0201986 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.00237841 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.15716 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0783503 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0984156 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0257111 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0357445 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.027329 # DEPENDENCYPART_SIBL
(10,7),(10,25),0.0783503 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.15716 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0783503 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0984156 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0257111 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0357445 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.027329 # DEPENDENCYPART_SIBL
(10,8),(10,25),0.0783503 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.122256 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0403074 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0456712 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.204501 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0086041 # DEPENDENCYPART_SIBL
(10,9),(10,25),-0.122256 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.14115 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0719157 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.159765 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.090368 # DEPENDENCYPART_SIBL
(10,11),(10,25),-0.0563697 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0116669 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0360712 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.000689964 # DEPENDENCYPART_SIBL
(10,12),(10,25),-0.0101965 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0328839 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.0156518 # DEPENDENCYPART_SIBL
(10,14),(10,25),0.00770665 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.108748 # DEPENDENCYPART_SIBL
(10,16),(10,25),0.0669565 # DEPENDENCYPART_SIBL
(10,17),(10,25),0.0195193 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.00340314 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0208478 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0344661 # DEPENDENCYPART_SIBL
(11,9),(11,15),0.0161415 # DEPENDENCYPART_SIBL
(11,9),(11,21),0.128044 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0737933 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.031039 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0755795 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.0262552 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.0367141 # DEPENDENCYPART_SIBL
(11,12),(11,15),-0.10963 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.0497884 # DEPENDENCYPART_SIBL
(11,14),(11,15),-0.0439745 # DEPENDENCYPART_SIBL
(11,14),(11,21),0.00327555 # DEPENDENCYPART_SIBL
(11,15),(11,21),-0.0633757 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.0146634 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.0405589 # DEPENDENCYPART_SIBL
(12,10),(12,14),0.0585086 # DEPENDENCYPART_SIBL
(12,10),(12,15),0.0358722 # DEPENDENCYPART_SIBL
(12,10),(12,16),0.079378 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.0778449 # DEPENDENCYPART_SIBL
(12,10),(12,19),0.0575141 # DEPENDENCYPART_SIBL
(12,11),(12,13),-0.097048 # DEPENDENCYPART_SIBL
(12,11),(12,14),-0.0505831 # DEPENDENCYPART_SIBL
(12,11),(12,15),-0.0388249 # DEPENDENCYPART_SIBL
(12,11),(12,16),-0.0535523 # DEPENDENCYPART_SIBL
(12,11),(12,17),0.0016694 # DEPENDENCYPART_SIBL
(12,11),(12,19),-0.0396508 # DEPENDENCYPART_SIBL
(12,13),(12,14),-0.0357657 # DEPENDENCYPART_SIBL
(12,13),(12,15),-0.00579118 # DEPENDENCYPART_SIBL
(12,13),(12,16),0.000380137 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0154004 # DEPENDENCYPART_SIBL
(12,13),(12,19),-0.023266 # DEPENDENCYPART_SIBL
