# _root_ `` We must do more to help the Japanese here in Baja if we want them to invest elsewhere , '' says Mr. Ruffo , the governor-elect of the National Action Party and himself a succesful businessman .
#goldHeads=22,3,22,3,4,7,4,9,7,7,10,11,15,15,4,18,18,15,18,22,22,0,24,22,24,27,33,27,32,32,32,28,24,33,37,37,34,22,
#predictedHeads=22,3,22,3,4,7,4,9,7,7,7,11,15,15,7,18,18,15,18,22,22,0,24,22,24,27,24,27,32,32,32,33,28,37,37,37,33,22,
(4,7),(4,10),-0.0624238 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0223493 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0433737 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0748899 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.000665286 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0602628 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0265336 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0662689 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0352263 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0202642 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.047854 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0352263 # DEPENDENCYPART_SIBL
(4,7),(4,33),-0.0646231 # DEPENDENCYPART_SIBL
(4,7),(4,38),-0.0178663 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0320773 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.00531437 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0424898 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0283408 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0596519 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0118984 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.00935266 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00658966 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0105011 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0403524 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.00696571 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.00956068 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0403524 # DEPENDENCYPART_SIBL
(4,8),(4,33),-0.0178864 # DEPENDENCYPART_SIBL
(4,8),(4,38),0.0114064 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00713904 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.034214 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0359594 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0685768 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0290585 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.00391339 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.00466316 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0219357 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0227303 # DEPENDENCYPART_SIBL
(4,9),(4,21),-0.0314743 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.00901683 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0227303 # DEPENDENCYPART_SIBL
(4,9),(4,33),-0.0209222 # DEPENDENCYPART_SIBL
(4,9),(4,38),-0.00517271 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0318705 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0233781 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0274852 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0923954 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0129318 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0631492 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.00190566 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0115279 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0120551 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.0405321 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0115279 # DEPENDENCYPART_SIBL
(4,10),(4,33),-0.00432962 # DEPENDENCYPART_SIBL
(4,10),(4,38),0.0227173 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.0069637 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0665102 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.022318 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0405561 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.00919348 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.00293796 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.00100726 # DEPENDENCYPART_SIBL
(4,11),(4,21),-0.0653467 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0486527 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.00100726 # DEPENDENCYPART_SIBL
(4,11),(4,33),-0.0193342 # DEPENDENCYPART_SIBL
(4,11),(4,38),-0.0112662 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0588897 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0440532 # DEPENDENCYPART_SIBL
(4,12),(4,17),0.0132301 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0103316 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0107563 # DEPENDENCYPART_SIBL
(4,12),(4,20),-6.8428e-05 # DEPENDENCYPART_SIBL
(4,12),(4,21),-0.0222608 # DEPENDENCYPART_SIBL
(4,12),(4,22),0.0240116 # DEPENDENCYPART_SIBL
(4,12),(4,25),-6.8428e-05 # DEPENDENCYPART_SIBL
(4,12),(4,33),-0.0117094 # DEPENDENCYPART_SIBL
(4,12),(4,38),0.00211442 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.00339812 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0177981 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0109734 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0402082 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0380469 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0557622 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.0143205 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.0380469 # DEPENDENCYPART_SIBL
(4,13),(4,33),-0.0365218 # DEPENDENCYPART_SIBL
(4,13),(4,38),-0.0303788 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0300195 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.00879295 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0360326 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0482734 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.0432119 # DEPENDENCYPART_SIBL
(4,15),(4,22),-0.0125403 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.0482734 # DEPENDENCYPART_SIBL
(4,15),(4,33),-0.0343083 # DEPENDENCYPART_SIBL
(4,15),(4,38),0.0417967 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.00163182 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0207847 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0127398 # DEPENDENCYPART_SIBL
(4,17),(4,21),-0.0478506 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.000546823 # DEPENDENCYPART_SIBL
(4,17),(4,25),-0.0127398 # DEPENDENCYPART_SIBL
(4,17),(4,33),-0.0383359 # DEPENDENCYPART_SIBL
(4,17),(4,38),0.000351638 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.0685853 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.030771 # DEPENDENCYPART_SIBL
(4,18),(4,21),-0.0157064 # DEPENDENCYPART_SIBL
(4,18),(4,22),-0.0498357 # DEPENDENCYPART_SIBL
(4,18),(4,25),-0.030771 # DEPENDENCYPART_SIBL
(4,18),(4,33),-0.0707299 # DEPENDENCYPART_SIBL
(4,18),(4,38),-0.0136328 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.0125388 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.027217 # DEPENDENCYPART_SIBL
(4,19),(4,22),0.00683339 # DEPENDENCYPART_SIBL
(4,19),(4,25),-0.0125388 # DEPENDENCYPART_SIBL
(4,19),(4,33),-0.019945 # DEPENDENCYPART_SIBL
(4,19),(4,38),-0.0143453 # DEPENDENCYPART_SIBL
(4,20),(4,21),0.0301463 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.0123934 # DEPENDENCYPART_SIBL
(4,20),(4,25),-0.00988778 # DEPENDENCYPART_SIBL
(4,20),(4,33),-0.0207496 # DEPENDENCYPART_SIBL
(4,20),(4,38),-0.0255732 # DEPENDENCYPART_SIBL
(4,21),(4,22),0.0107223 # DEPENDENCYPART_SIBL
(4,21),(4,25),-0.0341326 # DEPENDENCYPART_SIBL
(4,21),(4,33),0.0138701 # DEPENDENCYPART_SIBL
(4,21),(4,38),-0.066433 # DEPENDENCYPART_SIBL
(4,22),(4,25),0.0151147 # DEPENDENCYPART_SIBL
(4,22),(4,33),-0.00665818 # DEPENDENCYPART_SIBL
(4,22),(4,38),0.0240907 # DEPENDENCYPART_SIBL
(4,25),(4,33),-0.0207496 # DEPENDENCYPART_SIBL
(4,25),(4,38),-0.0255732 # DEPENDENCYPART_SIBL
(4,33),(4,38),0.0207629 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00225238 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00640384 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0167391 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0451857 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0344793 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0206724 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0285097 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0285054 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0740261 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0173668 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.012294 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0266185 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0228297 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.00376535 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0428325 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00766044 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.056456 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0327144 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.00253678 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0458974 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0180145 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.00841636 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.000629226 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0650453 # DEPENDENCYPART_SIBL
(7,1),(7,20),0.0694078 # DEPENDENCYPART_SIBL
(7,1),(7,21),0.451096 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.02733 # DEPENDENCYPART_SIBL
(7,1),(7,25),0.0694078 # DEPENDENCYPART_SIBL
(7,1),(7,33),-0.00115739 # DEPENDENCYPART_SIBL
(7,1),(7,38),0.0290778 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.020998 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0169015 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0849835 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.119571 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0423087 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0518942 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0246831 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00995939 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0481899 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0736905 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.00331519 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0905734 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.0179271 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.00663742 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.0153194 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.0348772 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0118329 # DEPENDENCYPART_SIBL
(7,2),(7,25),0.0153194 # DEPENDENCYPART_SIBL
(7,2),(7,33),-0.00395979 # DEPENDENCYPART_SIBL
(7,2),(7,38),0.0591569 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0495407 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.011371 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0179216 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0781707 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0504036 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0483974 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0776364 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0463979 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.117043 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.121913 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0804943 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.106543 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0623988 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.123072 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.0474691 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.111796 # DEPENDENCYPART_SIBL
(7,3),(7,25),-0.123072 # DEPENDENCYPART_SIBL
(7,3),(7,33),-0.0561562 # DEPENDENCYPART_SIBL
(7,3),(7,38),0.0187625 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0069666 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0171513 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0779482 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0381482 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0307471 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0271042 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0343433 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0799775 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0472281 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0618397 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0398328 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0395693 # DEPENDENCYPART_SIBL
(7,4),(7,20),-0.0531477 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.061235 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0644645 # DEPENDENCYPART_SIBL
(7,4),(7,25),-0.0531477 # DEPENDENCYPART_SIBL
(7,4),(7,33),-0.0332361 # DEPENDENCYPART_SIBL
(7,4),(7,38),0.014966 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0103605 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0493828 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0642697 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.000887631 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0433778 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0712535 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0210847 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0792638 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.0147452 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0594205 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.031249 # DEPENDENCYPART_SIBL
(7,5),(7,20),-0.0423296 # DEPENDENCYPART_SIBL
(7,5),(7,21),-0.00294416 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.0713486 # DEPENDENCYPART_SIBL
(7,5),(7,25),-0.0423296 # DEPENDENCYPART_SIBL
(7,5),(7,33),0.0047827 # DEPENDENCYPART_SIBL
(7,5),(7,38),-0.0400278 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0178993 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0340491 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0187643 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0733778 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0372419 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0733236 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0113145 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0995082 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.00812809 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0132968 # DEPENDENCYPART_SIBL
(7,6),(7,20),-0.0552997 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0663641 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.00287817 # DEPENDENCYPART_SIBL
(7,6),(7,25),-0.0552997 # DEPENDENCYPART_SIBL
(7,6),(7,33),0.0792623 # DEPENDENCYPART_SIBL
(7,6),(7,38),-0.246522 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0507393 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0149878 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0387222 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0470027 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0678766 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0455535 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0224686 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0555491 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0201767 # DEPENDENCYPART_SIBL
(7,8),(7,20),-0.0323635 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.0103054 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0524134 # DEPENDENCYPART_SIBL
(7,8),(7,25),-0.0323635 # DEPENDENCYPART_SIBL
(7,8),(7,33),-0.0250571 # DEPENDENCYPART_SIBL
(7,8),(7,38),-0.0158864 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.00997721 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0656868 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0339466 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0552761 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0155257 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.00963498 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0407578 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.00482159 # DEPENDENCYPART_SIBL
(7,9),(7,20),0.00228602 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.00486494 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0209707 # DEPENDENCYPART_SIBL
(7,9),(7,25),0.00228602 # DEPENDENCYPART_SIBL
(7,9),(7,33),-0.0181835 # DEPENDENCYPART_SIBL
(7,9),(7,38),0.00185236 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0576567 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0258637 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0152866 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.0218782 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.0123749 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.00350044 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.00319694 # DEPENDENCYPART_SIBL
(7,10),(7,20),0.0329354 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.00168942 # DEPENDENCYPART_SIBL
(7,10),(7,22),-0.0106889 # DEPENDENCYPART_SIBL
(7,10),(7,25),0.0329354 # DEPENDENCYPART_SIBL
(7,10),(7,33),0.00196811 # DEPENDENCYPART_SIBL
(7,10),(7,38),0.0057081 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0164686 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0415953 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0172111 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0292499 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0218432 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0234734 # DEPENDENCYPART_SIBL
(7,11),(7,20),0.0333809 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.0397243 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.0239668 # DEPENDENCYPART_SIBL
(7,11),(7,25),0.0333809 # DEPENDENCYPART_SIBL
(7,11),(7,33),-0.00251305 # DEPENDENCYPART_SIBL
(7,11),(7,38),-0.00794934 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.045589 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.000530965 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0189517 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.0257631 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.00635786 # DEPENDENCYPART_SIBL
(7,12),(7,20),0.0249479 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.00434864 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.00597592 # DEPENDENCYPART_SIBL
(7,12),(7,25),0.0249479 # DEPENDENCYPART_SIBL
(7,12),(7,33),-0.00897067 # DEPENDENCYPART_SIBL
(7,12),(7,38),0.00913949 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.0409074 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.0110546 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.0467865 # DEPENDENCYPART_SIBL
(7,13),(7,19),-0.0242326 # DEPENDENCYPART_SIBL
(7,13),(7,20),-0.00823249 # DEPENDENCYPART_SIBL
(7,13),(7,21),-0.0348864 # DEPENDENCYPART_SIBL
(7,13),(7,22),-0.0151419 # DEPENDENCYPART_SIBL
(7,13),(7,25),-0.00823249 # DEPENDENCYPART_SIBL
(7,13),(7,33),-0.0241672 # DEPENDENCYPART_SIBL
(7,13),(7,38),-0.0321349 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.0252503 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.0156601 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0242341 # DEPENDENCYPART_SIBL
(7,15),(7,20),0.0682548 # DEPENDENCYPART_SIBL
(7,15),(7,21),0.0510908 # DEPENDENCYPART_SIBL
(7,15),(7,22),-0.0288997 # DEPENDENCYPART_SIBL
(7,15),(7,25),0.0682548 # DEPENDENCYPART_SIBL
(7,15),(7,33),-0.0236002 # DEPENDENCYPART_SIBL
(7,15),(7,38),0.0364098 # DEPENDENCYPART_SIBL
(7,17),(7,18),-0.030588 # DEPENDENCYPART_SIBL
(7,17),(7,19),-0.0104231 # DEPENDENCYPART_SIBL
(7,17),(7,20),0.0112355 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.0339207 # DEPENDENCYPART_SIBL
(7,17),(7,22),-0.0266592 # DEPENDENCYPART_SIBL
(7,17),(7,25),0.0112355 # DEPENDENCYPART_SIBL
(7,17),(7,33),-0.0279105 # DEPENDENCYPART_SIBL
(7,17),(7,38),-0.00266928 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0456711 # DEPENDENCYPART_SIBL
(7,18),(7,20),0.0044883 # DEPENDENCYPART_SIBL
(7,18),(7,21),0.00722901 # DEPENDENCYPART_SIBL
(7,18),(7,22),-0.0554459 # DEPENDENCYPART_SIBL
(7,18),(7,25),0.0044883 # DEPENDENCYPART_SIBL
(7,18),(7,33),-0.0489061 # DEPENDENCYPART_SIBL
(7,18),(7,38),-0.00420099 # DEPENDENCYPART_SIBL
(7,19),(7,20),0.00885598 # DEPENDENCYPART_SIBL
(7,19),(7,21),-0.0168628 # DEPENDENCYPART_SIBL
(7,19),(7,22),-0.0444009 # DEPENDENCYPART_SIBL
(7,19),(7,25),0.00885598 # DEPENDENCYPART_SIBL
(7,19),(7,33),-0.0136587 # DEPENDENCYPART_SIBL
(7,19),(7,38),-0.031365 # DEPENDENCYPART_SIBL
(7,20),(7,21),0.0504822 # DEPENDENCYPART_SIBL
(7,20),(7,22),0.00178778 # DEPENDENCYPART_SIBL
(7,20),(7,25),0.0438488 # DEPENDENCYPART_SIBL
(7,20),(7,33),0.0366187 # DEPENDENCYPART_SIBL
(7,20),(7,38),0.0124348 # DEPENDENCYPART_SIBL
(7,21),(7,22),-0.0125887 # DEPENDENCYPART_SIBL
(7,21),(7,25),-0.00870445 # DEPENDENCYPART_SIBL
(7,21),(7,33),0.025753 # DEPENDENCYPART_SIBL
(7,21),(7,38),-0.0671696 # DEPENDENCYPART_SIBL
(7,22),(7,25),0.0528194 # DEPENDENCYPART_SIBL
(7,22),(7,33),0.0176101 # DEPENDENCYPART_SIBL
(7,22),(7,38),0.0380665 # DEPENDENCYPART_SIBL
(7,25),(7,33),0.0366187 # DEPENDENCYPART_SIBL
(7,25),(7,38),0.0124348 # DEPENDENCYPART_SIBL
(7,33),(7,38),-0.00144304 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.0787055 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0124089 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0190703 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.0115233 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0030714 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0112014 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.0124872 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.0249148 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.0264194 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.00601163 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0122062 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.014829 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0485203 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0617019 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0641691 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.162949 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.0515691 # DEPENDENCYPART_SIBL
(10,4),(10,20),0.132032 # DEPENDENCYPART_SIBL
(10,4),(10,22),0.137773 # DEPENDENCYPART_SIBL
(10,6),(10,7),0.056221 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0375044 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.148396 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.0788786 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.137485 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.2535 # DEPENDENCYPART_SIBL
(10,6),(10,20),0.090284 # DEPENDENCYPART_SIBL
(10,6),(10,22),0.135585 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.0541215 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0693881 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0675092 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.176783 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0488655 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.124034 # DEPENDENCYPART_SIBL
(10,7),(10,22),0.151672 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.00704502 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.00165568 # DEPENDENCYPART_SIBL
